# Balance Sheet data for GOOGL (quarterly)
# Data retrieved on: 2026-09-13 21:10:49

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,12229934831.0,12116000000.0,12088000000.0,12077000000.0,12104000000.0,,
Share Issued,12229934831.0,12116000000.0,12088000000.0,12077000000.0,12104000000.0,,
Net Debt,42254000000.0,39438000000.0,15839000000.0,,2571000000.0,,
Total Debt,112756000000.0,,,,,,22574000000.0
Tangible Book Value,555524000000.0,411528000000.0,381885000000.0,353598000000.0,330581000000.0,,
Invested Capital,720622000000.0,556247000000.0,461812000000.0,408474000000.0,386523000000.0,,
Working Capital,217413000000.0,102565000000.0,103293000000.0,74397000000.0,78906000000.0,,
Net Tangible Assets,573547000000.0,411528000000.0,381885000000.0,353598000000.0,330581000000.0,,
Capital Lease Obligations,14591000000.0,12983000000.0,12744000000.0,12106000000.0,11952000000.0,,
Common Stock Equity,622457000000.0,478746000000.0,415265000000.0,386867000000.0,362916000000.0,,
Preferred Stock Equity,18023000000.0,,,,,,
Total Capitalization,738645000000.0,556247000000.0,461812000000.0,408474000000.0,386523000000.0,,
Total Equity Gross Minority Interest,640480000000.0,478746000000.0,415265000000.0,386867000000.0,362916000000.0,,
Stockholders Equity,640480000000.0,478746000000.0,415265000000.0,386867000000.0,362916000000.0,,
Gains Losses Not Affecting Retained Earnings,-2285000000.0,-2180000000.0,-1916000000.0,-2054000000.0,-2127000000.0,,
Other Equity Adjustments,-2285000000.0,-2180000000.0,-1916000000.0,-2054000000.0,-2127000000.0,,
Retained Earnings,493371000000.0,384024000000.0,324055000000.0,297226000000.0,275760000000.0,,
Capital Stock,149394000000.0,96902000000.0,93126000000.0,91695000000.0,89283000000.0,,
Common Stock,131371000000.0,96902000000.0,93126000000.0,91695000000.0,89283000000.0,,
Preferred Stock,18023000000.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,281503000000.0,225173000000.0,180016000000.0,149602000000.0,139137000000.0,,
Total Non Current Liabilities Net Minority Interest,155392000000.0,113985000000.0,77271000000.0,50052000000.0,51827000000.0,,
Other Non Current Liabilities,8511000000.0,11044000000.0,8449000000.0,6267000000.0,6241000000.0,,
Tradeand Other Payables Non Current,11306000000.0,12457000000.0,9531000000.0,10072000000.0,10027000000.0,,
Non Current Deferred Liabilities,22819000000.0,,,,,,
Non Current Deferred Taxes Liabilities,22819000000.0,,,,,,
Long Term Debt And Capital Lease Obligation,112756000000.0,90484000000.0,59291000000.0,33713000000.0,35559000000.0,,
Long Term Capital Lease Obligation,14591000000.0,12983000000.0,12744000000.0,12106000000.0,11952000000.0,,
Long Term Debt,98165000000.0,77501000000.0,46547000000.0,21607000000.0,23607000000.0,,
Current Liabilities,126111000000.0,111188000000.0,102745000000.0,99550000000.0,87310000000.0,,
Other Current Liabilities,,,,10564000000.0,7099000000.0,6534000000.0,6322000000.0
Current Deferred Liabilities,7154000000.0,7162000000.0,6578000000.0,5542000000.0,4969000000.0,,
Current Deferred Revenue,7154000000.0,7162000000.0,6578000000.0,5542000000.0,4969000000.0,,
Current Debt And Capital Lease Obligation,,,,,,1000000000.0,2887000000.0
Current Capital Lease Obligation,,,,,,,2887000000.0
Current Debt,,,,,,1000000000.0,
Other Current Borrowings,,,,,,1000000000.0,
Pensionand Other Post Retirement Benefit Plans Current,15086000000.0,13947000000.0,17546000000.0,13944000000.0,12168000000.0,,
Payables And Accrued Expenses,103871000000.0,90079000000.0,78621000000.0,69500000000.0,63074000000.0,,
Current Accrued Expenses,77558000000.0,68691000000.0,64948000000.0,54399000000.0,50829000000.0,,
Payables,26313000000.0,21388000000.0,13673000000.0,15101000000.0,12245000000.0,,
Other Payable,822000000.0,631000000.0,950000000.0,4004000000.0,3112000000.0,,
Total Tax Payable,5233000000.0,3905000000.0,523000000.0,551000000.0,786000000.0,,
Income Tax Payable,5233000000.0,3905000000.0,523000000.0,551000000.0,786000000.0,,
Accounts Payable,20258000000.0,16852000000.0,12200000000.0,10546000000.0,8347000000.0,,
Total Assets,921983000000.0,703919000000.0,595281000000.0,536469000000.0,502053000000.0,,
Total Non Current Assets,578459000000.0,490166000000.0,389243000000.0,362522000000.0,335837000000.0,,
Other Non Current Assets,39711000000.0,17478000000.0,16245000000.0,16811000000.0,14153000000.0,,
Non Current Deferred Assets,1448000000.0,1995000000.0,9113000000.0,10331000000.0,19289000000.0,,
Non Current Deferred Taxes Assets,1448000000.0,1995000000.0,9113000000.0,10331000000.0,19289000000.0,,
Investments And Advances,131461000000.0,106946000000.0,68687000000.0,63800000000.0,52574000000.0,,
Investmentin Financial Assets,131461000000.0,106946000000.0,68687000000.0,63800000000.0,52574000000.0,,
Available For Sale Securities,131461000000.0,106946000000.0,68687000000.0,63800000000.0,52574000000.0,,
Goodwill And Other Intangible Assets,66933000000.0,67218000000.0,33380000000.0,33269000000.0,32335000000.0,,
Other Intangible Assets,9105000000.0,9444000000.0,,,,,
Goodwill,57828000000.0,57774000000.0,33380000000.0,33269000000.0,32335000000.0,,
Net PPE,338906000000.0,296529000000.0,261818000000.0,238311000000.0,217486000000.0,,
Accumulated Depreciation,-105912000000.0,-100180000000.0,-98485000000.0,-93950000000.0,-89349000000.0,,
Gross PPE,444818000000.0,396709000000.0,360303000000.0,332261000000.0,306835000000.0,,
Other Properties,394183000000.0,347937000000.0,311955000000.0,286546000000.0,261342000000.0,,
Buildings And Improvements,50635000000.0,48772000000.0,48348000000.0,45715000000.0,45493000000.0,,
Properties,0.0,0.0,0.0,0.0,0.0,,
Current Assets,343524000000.0,213753000000.0,206038000000.0,173947000000.0,166216000000.0,,
Other Current Assets,21884000000.0,23914000000.0,16309000000.0,18303000000.0,16020000000.0,,
Inventory,9991000000.0,,,,,,
Receivables,69175000000.0,62999000000.0,62886000000.0,57148000000.0,55048000000.0,,
Accounts Receivable,69175000000.0,62999000000.0,62886000000.0,57148000000.0,55048000000.0,,
Allowance For Doubtful Accounts Receivable,-995000000.0,-962000000.0,-924000000.0,-918000000.0,-878000000.0,,
Gross Accounts Receivable,70170000000.0,63961000000.0,63810000000.0,58066000000.0,55926000000.0,,
Cash Cash Equivalents And Short Term Investments,242474000000.0,126840000000.0,126843000000.0,98496000000.0,95148000000.0,,
Other Short Term Investments,186563000000.0,88777000000.0,96135000000.0,75406000000.0,74112000000.0,,
Cash And Cash Equivalents,55911000000.0,38063000000.0,30708000000.0,23090000000.0,21036000000.0,,
Cash Equivalents,43088000000.0,22655000000.0,,11040000000.0,9413000000.0,13319000000.0,
Cash Financial,12823000000.0,15408000000.0,,12050000000.0,11623000000.0,9945000000.0,
