# Cash Flow data for GOOGL (quarterly)
# Data retrieved on: 2026-09-13 21:10:49

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30
Free Cash Flow,-5855000000.0,10116000000.0,24551000000.0,24461000000.0,5301000000.0
Repurchase Of Capital Stock,0.0,0.0,-5499000000.0,-11904000000.0,-13238000000.0
Repayment Of Debt,-3776000000.0,-1477000000.0,-6333000000.0,-7697000000.0,-13876000000.0
Issuance Of Debt,24847000000.0,31379000000.0,26562000000.0,6624000000.0,26846000000.0
Capital Expenditure,-44924000000.0,-35674000000.0,-27851000000.0,-23953000000.0,-22446000000.0
End Cash Position,55911000000.0,38063000000.0,30708000000.0,23090000000.0,21036000000.0
Beginning Cash Position,38063000000.0,30708000000.0,23090000000.0,21036000000.0,23264000000.0
Effect Of Exchange Rate Changes,-31000000.0,-123000000.0,-36000000.0,-200000000.0,401000000.0
Changes In Cash,17879000000.0,7478000000.0,7654000000.0,2254000000.0,-2629000000.0
Financing Cash Flow,61243000000.0,25077000000.0,7028000000.0,-18383000000.0,-5832000000.0
Cash Flow From Continuing Financing Activities,61243000000.0,25077000000.0,7028000000.0,-18383000000.0,-5832000000.0
Net Other Financing Charges,-128000000.0,3200000000.0,0.0,0.0,0.0
Proceeds From Stock Option Exercised,-6573000000.0,-5483000000.0,-5166000000.0,-3270000000.0,-2621000000.0
Cash Dividends Paid,-2689000000.0,-2542000000.0,-2536000000.0,-2536000000.0,-2543000000.0
Common Stock Dividend Paid,-2689000000.0,-2542000000.0,-2536000000.0,-2536000000.0,-2543000000.0
Net Common Stock Issuance,30499000000.0,0.0,-5499000000.0,-11904000000.0,-13238000000.0
Common Stock Payments,0.0,0.0,-5499000000.0,-11904000000.0,-13238000000.0
Net Issuance Payments Of Debt,21071000000.0,29902000000.0,20229000000.0,-1073000000.0,12970000000.0
Net Long Term Debt Issuance,21071000000.0,29902000000.0,20229000000.0,-1073000000.0,12970000000.0
Long Term Debt Payments,-3776000000.0,-1477000000.0,-6333000000.0,-7697000000.0,-13876000000.0
Long Term Debt Issuance,24847000000.0,31379000000.0,26562000000.0,6624000000.0,26846000000.0
Investing Cash Flow,-82433000000.0,-63389000000.0,-51776000000.0,-27777000000.0,-24544000000.0
Cash Flow From Continuing Investing Activities,-82433000000.0,-63389000000.0,-51776000000.0,-27777000000.0,-24544000000.0
Net Other Investing Changes,-363000000.0,-996000000.0,-525000000.0,-1482000000.0,-513000000.0
Net Investment Purchase And Sale,-37070000000.0,6902000000.0,-23233000000.0,-1270000000.0,-1572000000.0
Sale Of Investment,29514000000.0,38849000000.0,22110000000.0,20694000000.0,21199000000.0
Purchase Of Investment,-66584000000.0,-31947000000.0,-45343000000.0,-21964000000.0,-22771000000.0
Net Business Purchase And Sale,-76000000.0,-33621000000.0,-167000000.0,-1072000000.0,-13000000.0
Purchase Of Business,-76000000.0,-33621000000.0,-167000000.0,-1072000000.0,-13000000.0
Net PPE Purchase And Sale,-44924000000.0,-35674000000.0,-27851000000.0,-23953000000.0,-22446000000.0
Purchase Of PPE,-44924000000.0,-35674000000.0,-27851000000.0,-23953000000.0,-22446000000.0
Operating Cash Flow,39069000000.0,45790000000.0,52402000000.0,48414000000.0,27747000000.0
Cash Flow From Continuing Operating Activities,39069000000.0,45790000000.0,52402000000.0,48414000000.0,27747000000.0
Change In Working Capital,-11700000000.0,-1402000000.0,4707000000.0,3783000000.0,-10110000000.0
Change In Other Working Capital,487000000.0,8606000000.0,-2123000000.0,3115000000.0,-9495000000.0
Change In Other Current Assets,-6547000000.0,-3403000000.0,-482000000.0,-1921000000.0,-851000000.0
Change In Payables And Accrued Expense,901000000.0,-6242000000.0,12509000000.0,4970000000.0,3075000000.0
Change In Accrued Expense,6310000000.0,-6002000000.0,7539000000.0,8078000000.0,3150000000.0
Change In Payable,-5409000000.0,-240000000.0,4970000000.0,-3108000000.0,-75000000.0
Change In Account Payable,2330000000.0,-240000000.0,1678000000.0,-444000000.0,553000000.0
Change In Tax Payable,,,,-2664000000.0,
Change In Income Tax Payable,,,,-2664000000.0,
Change In Receivables,-6541000000.0,-363000000.0,-5197000000.0,-2381000000.0,-2839000000.0
Changes In Account Receivables,-6541000000.0,-363000000.0,-5197000000.0,-2381000000.0,-2839000000.0
Other Non Cash Items,1896000000.0,1265000000.0,1265000000.0,-198000000.0,560000000.0
Stock Based Compensation,7957000000.0,6751000000.0,7071000000.0,6368000000.0,5998000000.0
Deferred Tax,20618000000.0,6920000000.0,1218000000.0,8726000000.0,-444000000.0
Deferred Income Tax,20618000000.0,6920000000.0,1218000000.0,8726000000.0,-444000000.0
Depreciation Amortization Depletion,7104000000.0,6482000000.0,6040000000.0,5611000000.0,4998000000.0
Depreciation And Amortization,7104000000.0,6482000000.0,6040000000.0,5611000000.0,4998000000.0
Depreciation,7104000000.0,6482000000.0,6040000000.0,5611000000.0,4998000000.0
Operating Gains Losses,-98999000000.0,-36804000000.0,-2354000000.0,-10855000000.0,-1451000000.0
Gain Loss On Investment Securities,-98999000000.0,-36804000000.0,-2354000000.0,-10855000000.0,-1451000000.0
Net Income From Continuing Operations,112193000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0
