# Income Statement data for GOOGL (quarterly)
# Data retrieved on: 2026-09-13 21:10:49

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,18878249000.0,7080508189.944711,272805123.092262,2196165000.0,233652609.554121,,
Tax Rate For Calcs,0.191,0.191624,0.119181,0.205,0.169068,,
Normalized EBITDA,48296000000.0,47477000000.0,43166000000.0,39028000000.0,37810000000.0,,
Total Unusual Items,98839000000.0,36950000000.0,2289000000.0,10713000000.0,1382000000.0,,
Total Unusual Items Excluding Goodwill,98839000000.0,36950000000.0,2289000000.0,10713000000.0,1382000000.0,,
Net Income From Continuing Operation Net Minority Interest,112193000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Reconciled Depreciation,7104000000.0,6482000000.0,6040000000.0,5611000000.0,4998000000.0,,
Reconciled Cost Of Revenue,45943000000.0,41271000000.0,45767000000.0,41369000000.0,39039000000.0,,
EBITDA,147135000000.0,84427000000.0,45455000000.0,49741000000.0,39192000000.0,,
EBIT,140031000000.0,77945000000.0,39415000000.0,44130000000.0,34194000000.0,,
Net Interest Income,152000000.0,848000000.0,911000000.0,933000000.0,789000000.0,,
Interest Expense,1278000000.0,533000000.0,298000000.0,143000000.0,261000000.0,,
Interest Income,1430000000.0,1381000000.0,1209000000.0,1076000000.0,1050000000.0,,
Normalized Income,32232249000.0,32708508189.94471,32438805123.092262,26462165000.0,27047652609.55412,,
Net Income From Continuing And Discontinued Operation,112193000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Total Expenses,79026000000.0,70200000000.0,77895000000.0,71118000000.0,65157000000.0,,
Total Operating Income As Reported,40770000000.0,39696000000.0,35934000000.0,31228000000.0,31271000000.0,,
Diluted Average Shares,12309000000.0,12238000000.0,12228000000.0,12203000000.0,12198000000.0,,
Basic Average Shares,12151000000.0,12099000000.0,12073000000.0,12086000000.0,12122000000.0,,
Diluted EPS,9.11,5.11,2.82,2.87,2.31,,
Basic EPS,9.23,5.17,2.85,2.89,2.33,,
Diluted NI Availto Com Stockholders,112107000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Average Dilution Earnings,,0.0,,,,0.0,
Net Income Common Stockholders,112107000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Otherunder Preferred Stock Dividend,86000000.0,,,,0.0,,
Net Income,112193000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Net Income Including Noncontrolling Interests,112193000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Net Income Continuous Operations,112193000000.0,62578000000.0,34455000000.0,34979000000.0,28196000000.0,,
Tax Provision,26560000000.0,14834000000.0,4662000000.0,9008000000.0,5737000000.0,,
Pretax Income,138753000000.0,77412000000.0,39117000000.0,43987000000.0,33933000000.0,,
Other Income Expense,97831000000.0,36868000000.0,2272000000.0,11826000000.0,1873000000.0,,
Other Non Operating Income Expenses,-973000000.0,-142000000.0,69000000.0,1143000000.0,72000000.0,,
Special Income Charges,,,-86000000.0,-30000000.0,419000000.0,-22000000.0,-87000000.0
Write Off,,,86000000.0,30000000.0,-419000000.0,22000000.0,87000000.0
Earnings From Equity Interest,-35000000.0,60000000.0,-86000000.0,-30000000.0,419000000.0,,
Gain On Sale Of Security,98839000000.0,36950000000.0,2289000000.0,10713000000.0,1382000000.0,,
Net Non Operating Interest Income Expense,152000000.0,848000000.0,911000000.0,933000000.0,789000000.0,,
Interest Expense Non Operating,1278000000.0,533000000.0,298000000.0,143000000.0,261000000.0,,
Interest Income Non Operating,1430000000.0,1381000000.0,1209000000.0,1076000000.0,1050000000.0,,
Operating Income,40770000000.0,39696000000.0,35934000000.0,31228000000.0,31271000000.0,,
Operating Expense,33083000000.0,28929000000.0,32128000000.0,29749000000.0,26118000000.0,,
Research And Development,18219000000.0,17032000000.0,18572000000.0,15151000000.0,13808000000.0,,
Selling General And Administration,14864000000.0,11897000000.0,13556000000.0,14598000000.0,12310000000.0,,
Selling And Marketing Expense,8403000000.0,7606000000.0,8215000000.0,7205000000.0,7101000000.0,,
General And Administrative Expense,6461000000.0,4291000000.0,5341000000.0,7393000000.0,5209000000.0,,
Other Gand A,6461000000.0,4291000000.0,5341000000.0,7393000000.0,5209000000.0,,
Gross Profit,73853000000.0,68625000000.0,68062000000.0,60977000000.0,57389000000.0,,
Cost Of Revenue,45943000000.0,41271000000.0,45767000000.0,41369000000.0,39039000000.0,,
Total Revenue,119796000000.0,109896000000.0,113829000000.0,102346000000.0,96428000000.0,,
Operating Revenue,119796000000.0,109896000000.0,113829000000.0,102346000000.0,96428000000.0,,
