# Stock data for GOOGL from 2025-03-01 to 2026-09-13
# Total records: 385
# Data retrieved on: 2026-09-13 21:07:16

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-03,170.93,172.36,164.96,166.04,40770500,0.0,0.0
2025-03-04,165.27,172.28,164.83,169.92,45388000,0.0,0.0
2025-03-05,169.52,172.77,168.07,172.01,30954900,0.0,0.0
2025-03-06,169.53,173.79,169.51,171.34,28302000,0.0,0.0
2025-03-07,170.26,173.95,169.28,172.85,27385800,0.0,0.0
2025-03-10,167.47,167.67,162.92,165.09,43604000,0.2,0.0
2025-03-11,164.14,165.97,160.61,163.27,39587400,0.0,0.0
2025-03-12,165.8,166.85,162.76,166.33,28372400,0.0,0.0
2025-03-13,165.26,165.35,161.35,162.0,31756200,0.0,0.0
2025-03-14,162.5,165.71,161.69,164.71,31995900,0.0,0.0
2025-03-17,164.26,165.52,162.9,163.52,31184300,0.0,0.0
2025-03-18,162.91,163.48,155.98,159.92,42074800,0.0,0.0
2025-03-19,161.0,165.09,160.24,163.12,34275600,0.0,0.0
2025-03-20,160.81,164.12,160.21,162.04,28138500,0.0,0.0
2025-03-21,160.45,163.47,160.14,163.22,36625800,0.0,0.0
2025-03-24,166.29,167.53,164.37,166.89,30879100,0.0,0.0
2025-03-25,168.19,169.83,167.53,169.76,24174400,0.0,0.0
2025-03-26,168.21,168.81,164.07,164.29,28901600,0.0,0.0
2025-03-27,163.86,164.64,161.24,161.48,24508300,0.0,0.0
2025-03-28,159.74,161.06,152.91,153.61,48669300,0.0,0.0
2025-03-31,152.39,154.81,149.95,153.91,54603500,0.0,0.0
2025-04-01,152.9,157.36,152.9,156.33,30672900,0.0,0.0
2025-04-02,154.42,157.67,153.97,156.3,25041700,0.0,0.0
2025-04-03,150.4,152.06,149.68,150.01,46883400,0.0,0.0
2025-04-04,147.32,150.36,144.7,144.92,62259500,0.0,0.0
2025-04-07,140.89,152.13,139.87,146.06,76794100,0.0,0.0
2025-04-08,150.51,151.53,142.36,144.02,52200200,0.0,0.0
2025-04-09,143.74,158.8,143.24,157.97,70406200,0.0,0.0
