# Stock data for JPM from 2026-03-01 to 2026-09-13
# Total records: 135
# Data retrieved on: 2026-09-13 21:07:15

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-02,291.99,297.11,290.41,294.72,8508900,0.0,0.0
2026-03-03,289.5,299.5,286.73,297.39,10278200,0.0,0.0
2026-03-04,297.12,298.12,292.99,296.53,8055700,0.0,0.0
2026-03-05,295.13,298.36,289.64,290.75,12732500,0.0,0.0
2026-03-06,283.6,287.22,281.0,286.71,13496500,0.0,0.0
2026-03-09,282.77,288.32,277.77,287.15,12241100,0.0,0.0
2026-03-10,286.53,289.95,284.44,285.97,8344900,0.0,0.0
2026-03-11,286.05,287.7,282.14,284.77,10205000,0.0,0.0
2026-03-12,280.13,281.17,276.43,280.19,13760500,0.0,0.0
2026-03-13,281.95,284.45,280.25,280.73,9091200,0.0,0.0
2026-03-16,283.6,286.51,281.89,283.43,8149000,0.0,0.0
2026-03-17,286.24,288.97,283.22,284.15,8961200,0.0,0.0
2026-03-18,284.09,286.65,282.4,284.99,10057000,0.0,0.0
2026-03-19,284.14,286.74,281.9,285.22,9846700,0.0,0.0
2026-03-20,285.33,287.93,282.54,283.82,22436500,0.0,0.0
2026-03-23,291.5,292.92,285.22,287.14,11470800,0.0,0.0
2026-03-24,283.44,292.66,282.64,289.61,11092300,0.0,0.0
2026-03-25,291.34,294.8,289.65,292.6,12188200,0.0,0.0
2026-03-26,289.78,292.17,287.95,288.87,8669200,0.0,0.0
2026-03-27,286.38,287.34,279.06,280.14,9873300,0.0,0.0
2026-03-30,282.02,284.51,279.63,281.06,11734400,0.0,0.0
2026-03-31,285.71,292.25,282.23,291.35,12956900,0.0,0.0
2026-04-01,292.57,295.87,290.11,292.56,11267200,0.0,0.0
2026-04-02,289.12,292.8,285.96,291.79,6669300,0.0,0.0
2026-04-06,292.74,295.5,291.89,294.12,7142600,1.5,0.0
2026-04-07,291.83,296.84,291.39,296.07,7849100,0.0,0.0
2026-04-08,306.59,309.86,303.96,306.59,10590200,0.0,0.0
2026-04-09,305.57,309.86,304.74,308.94,6586600,0.0,0.0
2026-04-10,308.61,308.96,305.34,308.48,6069700,0.0,0.0
2026-04-13,306.09,312.33,304.09,312.27,8318200,0.0,0.0
2026-04-14,308.43,312.91,307.48,309.72,11455500,0.0,0.0
2026-04-15,312.54,312.83,302.9,304.56,9885800,0.0,0.0
2026-04-16,303.98,308.56,303.83,308.56,8208600,0.0,0.0
