# Stock data for AMZN from 2026-06-01 to 2026-09-13
# Total records: 72
# Data retrieved on: 2026-09-13 21:15:58

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-01,266.29,266.63,260.7,261.26,53604400,0.0,0.0
2026-06-02,257.16,261.2,254.37,256.52,41811000,0.0,0.0
2026-06-03,254.7,257.09,247.71,250.02,51394200,0.0,0.0
2026-06-04,253.12,255.83,251.75,253.79,35609800,0.0,0.0
2026-06-05,254.26,256.38,245.78,246.03,55607800,0.0,0.0
2026-06-08,246.68,249.42,243.36,245.22,33899500,0.0,0.0
2026-06-09,247.73,250.43,240.4,244.19,44425400,0.0,0.0
2026-06-10,243.61,244.07,237.45,238.0,38590200,0.0,0.0
2026-06-11,237.93,242.14,235.18,241.51,41335400,0.0,0.0
2026-06-12,243.21,243.36,233.59,238.55,51186600,0.0,0.0
2026-06-15,245.02,247.81,244.73,246.02,41711600,0.0,0.0
2026-06-16,248.0,249.51,245.45,246.0,35187400,0.0,0.0
2026-06-17,244.9,245.91,236.0,237.5,44780800,0.0,0.0
2026-06-18,240.12,245.73,236.02,244.39,75624400,0.0,0.0
2026-06-22,240.08,242.0,232.24,232.79,68388500,0.0,0.0
2026-06-23,232.55,236.87,232.0,234.11,60492600,0.0,0.0
2026-06-24,233.85,242.42,232.95,234.27,70282600,0.0,0.0
2026-06-25,232.02,232.32,225.55,227.01,77674100,0.0,0.0
2026-06-26,227.21,233.9,226.13,232.69,248372100,0.0,0.0
2026-06-29,234.22,249.71,233.8,240.14,77619200,0.0,0.0
2026-06-30,237.35,241.54,237.17,238.34,66228300,0.0,0.0
2026-07-01,239.75,244.9,234.9,241.7,53829900,0.0,0.0
2026-07-02,241.61,246.72,241.08,242.67,48246400,0.0,0.0
2026-07-06,243.8,246.04,240.88,244.16,40044000,0.0,0.0
2026-07-07,246.98,248.93,242.7,245.98,40579600,0.0,0.0
2026-07-08,244.27,244.8,240.52,243.62,29653000,0.0,0.0
2026-07-09,239.82,247.5,238.25,247.04,38091700,0.0,0.0
2026-07-10,249.55,251.03,244.41,245.34,31654000,0.0,0.0
2026-07-13,244.68,249.65,244.18,247.31,34636100,0.0,0.0
2026-07-14,245.55,248.56,243.8,247.49,30108100,0.0,0.0
2026-07-15,249.75,256.48,249.75,254.96,45240600,0.0,0.0
2026-07-16,255.12,258.08,248.0,249.89,45343700,0.0,0.0
2026-07-17,244.46,250.24,243.59,247.23,43572400,0.0,0.0
2026-07-20,248.76,252.89,248.0,249.99,32406500,0.0,0.0
2026-07-21,249.11,249.34,246.42,247.55,27732100,0.0,0.0
2026-07-22,248.27,248.45,242.45,244.85,34112700,0.0,0.0
2026-07-23,236.26,238.35,232.05,233.66,47465300,0.0,0.0
2026-07-24,234.38,234.95,231.34,232.11,35017400,0.0,0.0
2026-07-27,235.67,235.89,230.99,231.39,34999500,0.0,0.0
2026-07-28,232.85,233.11,228.1,230.86,44521600,0.0,0.0
2026-07-29,229.32,232.82,226.16,226.65,44957500,0.0,0.0
2026-07-30,233.35,239.82,231.06,235.5,101839800,0.0,0.0
2026-07-31,265.0,273.23,262.01,271.58,129054800,0.0,0.0
2026-08-03,278.29,287.2,278.0,284.02,90830200,0.0,0.0
2026-08-04,276.06,281.07,275.82,277.42,69748100,0.0,0.0
2026-08-05,281.59,282.79,270.73,272.65,45119800,0.0,0.0
2026-08-06,272.77,275.48,271.06,272.26,30672900,0.0,0.0
2026-08-07,272.87,278.31,272.75,274.48,33861400,0.0,0.0
2026-08-10,274.01,280.14,273.6,278.09,35731900,0.0,0.0
2026-08-11,278.69,278.84,271.36,272.27,31895700,0.0,0.0
2026-08-12,273.18,273.46,267.1,267.28,29941100,0.0,0.0
2026-08-13,267.24,269.58,264.71,265.13,32170200,0.0,0.0
2026-08-14,264.88,265.81,262.42,262.65,27251700,0.0,0.0
2026-08-17,265.44,265.75,258.34,261.31,43896500,0.0,0.0
2026-08-18,260.63,262.18,257.73,259.45,33171300,0.0,0.0
2026-08-19,260.85,266.4,258.58,265.84,35762400,0.0,0.0
2026-08-20,263.16,263.84,259.52,260.11,28374100,0.0,0.0
2026-08-21,260.74,261.09,257.04,258.63,35723000,0.0,0.0
2026-08-24,259.6,263.32,259.05,262.07,28070500,0.0,0.0
2026-08-25,262.51,263.89,259.83,261.06,25550200,0.0,0.0
2026-08-26,261.28,262.05,258.24,260.28,21528400,0.0,0.0
2026-08-27,259.23,259.66,255.02,256.26,35927800,0.0,0.0
2026-08-28,258.32,267.56,257.78,266.43,49547400,0.0,0.0
2026-08-31,263.83,264.36,257.12,259.77,46089400,0.0,0.0
2026-09-01,254.83,255.82,251.93,254.92,31700100,0.0,0.0
2026-09-02,254.26,256.24,253.4,254.98,24013300,0.0,0.0
2026-09-03,256.2,259.5,256.0,258.9,26891500,0.0,0.0
2026-09-04,259.07,261.12,255.29,258.51,30749900,0.0,0.0
2026-09-08,256.68,257.99,254.75,256.97,29398000,0.0,0.0
2026-09-09,253.12,254.69,250.65,252.4,33055500,0.0,0.0
2026-09-10,250.11,253.15,249.58,251.89,25484800,0.0,0.0
2026-09-11,254.09,257.59,253.14,256.78,26682800,0.0,0.0
