# Balance Sheet data for NVDA (quarterly)
# Data retrieved on: 2026-09-13 21:49:19

,2026-07-31,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Ordinary Shares Number,24147000000.0,24220525225.0,24304000000.0,24305000000.0,24347000000.0,,
Share Issued,24147000000.0,24220525225.0,24304000000.0,24305000000.0,24347000000.0,,
Net Debt,10923000000.0,,,,,,
Total Debt,38351000000.0,12348000000.0,11040000000.0,10481000000.0,10598000000.0,,
Tangible Book Value,204861000000.0,171460000000.0,133155000000.0,111700000000.0,93621000000.0,,
Invested Capital,262350000000.0,203944000000.0,165761000000.0,127364000000.0,108597000000.0,,
Working Capital,154393000000.0,107111000000.0,93442000000.0,90417000000.0,77962000000.0,,
Net Tangible Assets,204861000000.0,171460000000.0,133155000000.0,111700000000.0,93621000000.0,,
Capital Lease Obligations,4985000000.0,3878000000.0,2572000000.0,2014000000.0,2132000000.0,,
Common Stock Equity,228984000000.0,195474000000.0,157293000000.0,118897000000.0,100131000000.0,,
Total Capitalization,261350000000.0,202944000000.0,164762000000.0,126365000000.0,108597000000.0,,
Total Equity Gross Minority Interest,228984000000.0,195474000000.0,157293000000.0,118897000000.0,100131000000.0,,
Stockholders Equity,228984000000.0,195474000000.0,157293000000.0,118897000000.0,100131000000.0,,
Gains Losses Not Affecting Retained Earnings,-25000000.0,137000000.0,178000000.0,339000000.0,170000000.0,,
Other Equity Adjustments,-25000000.0,137000000.0,178000000.0,339000000.0,170000000.0,,
Retained Earnings,219157000000.0,185038000000.0,146973000000.0,107908000000.0,88737000000.0,,
Additional Paid In Capital,9828000000.0,10275000000.0,10118000000.0,10626000000.0,11200000000.0,,
Capital Stock,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0,,
Common Stock,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,91288000000.0,64000000000.0,49510000000.0,42251000000.0,40609000000.0,,
Total Non Current Liabilities Net Minority Interest,48269000000.0,20116000000.0,17347000000.0,16176000000.0,16352000000.0,,
Other Non Current Liabilities,1901000000.0,737000000.0,381000000.0,376000000.0,243000000.0,,
Tradeand Other Payables Non Current,5602000000.0,4830000000.0,3958000000.0,3532000000.0,3406000000.0,,
Non Current Deferred Liabilities,3415000000.0,3201000000.0,2967000000.0,2786000000.0,2406000000.0,,
Non Current Deferred Revenue,1796000000.0,1403000000.0,1193000000.0,1165000000.0,1055000000.0,,
Non Current Deferred Taxes Liabilities,1619000000.0,1798000000.0,1774000000.0,1621000000.0,1351000000.0,,
Long Term Debt And Capital Lease Obligation,37351000000.0,11348000000.0,10041000000.0,9482000000.0,10297000000.0,,
Long Term Capital Lease Obligation,4985000000.0,3878000000.0,2572000000.0,2014000000.0,1831000000.0,,
Long Term Debt,32366000000.0,7470000000.0,7469000000.0,7468000000.0,8466000000.0,,
Current Liabilities,43019000000.0,43884000000.0,32163000000.0,26075000000.0,24257000000.0,,
Other Current Liabilities,2479000000.0,2194000000.0,1373000000.0,1196000000.0,202000000.0,,
Current Deferred Liabilities,4616000000.0,1714000000.0,1379000000.0,1248000000.0,980000000.0,,
Current Deferred Revenue,4616000000.0,1714000000.0,1379000000.0,1248000000.0,980000000.0,,
Current Debt And Capital Lease Obligation,1000000000.0,1000000000.0,999000000.0,999000000.0,301000000.0,,
Current Capital Lease Obligation,,,,,301000000.0,300000000.0,288000000.0
Current Debt,1000000000.0,1000000000.0,999000000.0,999000000.0,,,
Other Current Borrowings,1000000000.0,1000000000.0,999000000.0,,,,
Current Provisions,2938000000.0,2948000000.0,2807000000.0,2707000000.0,2245000000.0,,
Payables And Accrued Expenses,31986000000.0,36028000000.0,25605000000.0,19925000000.0,20529000000.0,,
Current Accrued Expenses,11721000000.0,12293000000.0,13124000000.0,8386000000.0,9555000000.0,,
Payables,20265000000.0,23735000000.0,12481000000.0,11539000000.0,10974000000.0,,
Total Tax Payable,5206000000.0,10638000000.0,2669000000.0,2915000000.0,1910000000.0,,
Accounts Payable,15059000000.0,13097000000.0,9812000000.0,8624000000.0,9064000000.0,,
Total Assets,320272000000.0,259474000000.0,206803000000.0,161148000000.0,140740000000.0,,
Total Non Current Assets,122860000000.0,108479000000.0,81198000000.0,44656000000.0,38521000000.0,,
Other Non Current Assets,15746000000.0,12733000000.0,8301000000.0,632000000.0,272000000.0,,
Non Current Prepaid Assets,,,,1536000000.0,2103000000.0,2413000000.0,2087000000.0
Non Current Deferred Assets,12159000000.0,11707000000.0,13258000000.0,13674000000.0,13570000000.0,,
Non Current Deferred Taxes Assets,12159000000.0,11707000000.0,13258000000.0,13674000000.0,13570000000.0,,
Non Current Accounts Receivable,,,,1369000000.0,1042000000.0,895000000.0,750000000.0
Investments And Advances,51157000000.0,43364000000.0,22251000000.0,8187000000.0,3799000000.0,,
Investmentin Financial Assets,51157000000.0,43364000000.0,22251000000.0,8187000000.0,3799000000.0,,
Available For Sale Securities,51157000000.0,43364000000.0,22251000000.0,8187000000.0,3799000000.0,,
Goodwill And Other Intangible Assets,24123000000.0,24014000000.0,24138000000.0,7197000000.0,6510000000.0,,
Other Intangible Assets,2998000000.0,3120000000.0,3306000000.0,936000000.0,755000000.0,,
Goodwill,21125000000.0,20894000000.0,20832000000.0,6261000000.0,5755000000.0,,
Net PPE,19675000000.0,16661000000.0,13250000000.0,12061000000.0,11225000000.0,,
Accumulated Depreciation,,,-6587000000.0,,,,-4401000000.0
Gross PPE,19675000000.0,16661000000.0,19837000000.0,12061000000.0,11225000000.0,,
Construction In Progress,,,683000000.0,,,,529000000.0
Other Properties,19675000000.0,16661000000.0,2867000000.0,12061000000.0,11225000000.0,,
Machinery Furniture Equipment,,,12619000000.0,,,,7568000000.0
Buildings And Improvements,,,2891000000.0,,,,2076000000.0
Land And Improvements,,,777000000.0,,,,511000000.0
Properties,,,0.0,,,,0.0
