# Stock data for AAPL from 2025-03-01 to 2025-09-12
# Total records: 135
# Data retrieved on: 2026-09-13 23:05:01

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-03,240.31,242.54,234.67,236.57,47184000,0.0,0.0
2025-03-04,236.26,238.6,233.25,234.49,53798100,0.0,0.0
2025-03-05,233.98,235.1,227.83,234.3,47227600,0.0,0.0
2025-03-06,233.01,236.41,231.73,233.89,45170400,0.0,0.0
2025-03-07,233.67,239.89,233.32,237.61,46273600,0.0,0.0
2025-03-10,234.1,234.72,222.85,226.09,72071200,0.0,0.0
2025-03-11,222.44,224.46,216.12,219.49,76137400,0.0,0.0
2025-03-12,218.79,220.39,213.6,215.65,62547500,0.0,0.0
2025-03-13,214.63,215.51,207.15,208.4,61368300,0.0,0.0
2025-03-14,209.96,212.64,208.3,212.18,60107600,0.0,0.0
2025-03-17,212.01,213.9,208.69,212.69,48073400,0.0,0.0
2025-03-18,212.85,213.83,210.2,211.39,42432400,0.0,0.0
2025-03-19,212.91,217.42,212.44,213.92,54385400,0.0,0.0
2025-03-20,212.68,216.16,210.92,212.79,48862900,0.0,0.0
2025-03-21,210.27,217.5,209.99,216.94,94127800,0.0,0.0
2025-03-24,219.65,220.13,217.24,219.38,44299500,0.0,0.0
2025-03-25,219.42,222.73,218.73,222.38,34493600,0.0,0.0
2025-03-26,222.14,223.64,219.12,220.18,34466100,0.0,0.0
2025-03-27,220.04,223.61,219.21,222.48,37094800,0.0,0.0
2025-03-28,220.31,222.44,216.35,216.57,39818600,0.0,0.0
2025-03-31,215.68,224.24,214.91,220.77,65299300,0.0,0.0
2025-04-01,218.47,222.31,217.56,221.83,36412700,0.0,0.0
2025-04-02,219.97,223.81,219.67,222.52,35905900,0.0,0.0
2025-04-03,204.28,206.22,200.02,201.95,103419000,0.0,0.0
2025-04-04,192.7,198.66,186.19,187.23,125910900,0.0,0.0
2025-04-07,176.12,192.96,173.55,180.35,160466300,0.0,0.0
2025-04-08,185.56,189.18,168.18,171.37,120859500,0.0,0.0
2025-04-09,170.9,199.38,170.84,197.63,184395900,0.0,0.0
2025-04-10,187.91,193.59,181.88,189.26,121880000,0.0,0.0
2025-04-11,184.96,198.32,184.92,196.94,87435900,0.0,0.0
2025-04-14,210.15,211.64,199.93,201.28,101352900,0.0,0.0
2025-04-15,200.63,202.27,198.58,200.9,51343900,0.0,0.0
2025-04-16,197.15,199.47,191.19,193.08,59732400,0.0,0.0
2025-04-17,195.99,197.61,193.23,195.78,52164700,0.0,0.0
2025-04-21,192.09,192.62,188.65,191.98,46742500,0.0,0.0
2025-04-22,194.92,200.36,194.77,198.52,52976400,0.0,0.0
2025-04-23,204.74,206.73,201.56,203.35,52929200,0.0,0.0
2025-04-24,203.64,207.55,201.7,207.1,47311000,0.0,0.0
2025-04-25,205.11,208.47,204.94,208.0,38222300,0.0,0.0
2025-04-28,208.72,210.21,206.19,208.86,38743100,0.0,0.0
2025-04-29,207.41,210.94,207.1,209.92,36827600,0.0,0.0
2025-04-30,208.02,212.27,205.41,211.2,52286500,0.0,0.0
2025-05-01,207.8,213.25,207.62,212.02,57365700,0.0,0.0
2025-05-02,204.83,205.72,200.92,204.09,101010600,0.0,0.0
2025-05-05,201.86,202.85,197.0,197.67,69018500,0.0,0.0
2025-05-06,197.0,199.42,195.82,197.3,51216500,0.0,0.0
2025-05-07,197.95,198.22,192.07,195.05,68536700,0.0,0.0
2025-05-08,196.51,198.83,193.49,196.28,50478900,0.0,0.0
2025-05-09,197.78,199.31,196.33,197.32,36453900,0.0,0.0
2025-05-12,209.96,210.25,205.76,209.78,63775800,0.26,0.0
2025-05-13,209.42,212.37,207.99,211.91,51909300,0.0,0.0
2025-05-14,211.41,212.91,209.57,211.31,49325800,0.0,0.0
2025-05-15,209.94,211.94,208.53,210.43,45029500,0.0,0.0
2025-05-16,211.34,211.55,208.76,210.24,54737900,0.0,0.0
2025-05-19,206.91,208.47,203.28,207.78,46140500,0.0,0.0
2025-05-20,206.67,207.47,204.04,205.87,42496600,0.0,0.0
2025-05-21,204.18,206.04,199.74,201.12,59211800,0.0,0.0
2025-05-22,199.74,201.77,198.74,200.39,46742400,0.0,0.0
2025-05-23,192.74,196.75,192.53,194.33,78432900,0.0,0.0
2025-05-27,197.35,199.77,196.48,199.25,56288500,0.0,0.0
2025-05-28,199.63,201.75,198.94,199.46,45339700,0.0,0.0
2025-05-29,202.6,202.83,197.56,198.99,51396800,0.0,0.0
2025-05-30,198.41,200.99,195.83,199.88,70819900,0.0,0.0
2025-06-02,199.32,201.16,199.16,200.73,35423300,0.0,0.0
2025-06-03,200.38,202.79,199.99,202.29,46381600,0.0,0.0
2025-06-04,201.93,205.25,201.13,201.84,43604000,0.0,0.0
2025-06-05,202.52,203.77,199.19,199.67,55126100,0.0,0.0
2025-06-06,202.02,204.71,201.08,202.94,46607700,0.0,0.0
2025-06-09,203.41,205.01,199.06,200.48,72862600,0.0,0.0
2025-06-10,199.64,203.37,199.61,201.7,54672600,0.0,0.0
2025-06-11,202.52,203.52,197.46,197.82,60989900,0.0,0.0
2025-06-12,198.12,198.72,196.41,198.24,43904600,0.0,0.0
2025-06-13,198.77,199.41,194.76,195.51,51447300,0.0,0.0
2025-06-16,196.35,197.73,195.61,197.47,43020700,0.0,0.0
2025-06-17,196.25,197.44,194.27,194.7,38856200,0.0,0.0
2025-06-18,195.0,196.62,194.13,195.63,45394700,0.0,0.0
2025-06-20,197.29,200.73,195.91,200.03,96813500,0.0,0.0
2025-06-23,200.66,201.33,198.0,200.53,55814300,0.0,0.0
2025-06-24,201.62,202.46,199.24,199.34,54064000,0.0,0.0
2025-06-25,200.48,202.69,199.66,200.59,39525700,0.0,0.0
2025-06-26,200.46,201.67,198.5,200.03,50799100,0.0,0.0
2025-06-27,200.92,202.24,199.04,200.11,73188600,0.0,0.0
2025-06-30,201.04,206.39,198.3,204.18,91912800,0.0,0.0
2025-07-01,205.68,209.18,205.15,206.82,78788900,0.0,0.0
2025-07-02,207.91,212.31,207.14,211.42,67941800,0.0,0.0
2025-07-03,211.13,213.62,210.79,212.52,34955800,0.0,0.0
2025-07-07,211.66,215.19,207.8,208.94,50229000,0.0,0.0
2025-07-08,209.09,210.41,207.45,209.0,42848900,0.0,0.0
2025-07-09,208.52,210.31,206.22,210.12,48749400,0.0,0.0
2025-07-10,209.5,212.45,209.02,211.39,44443600,0.0,0.0
2025-07-11,209.56,211.11,208.85,210.14,39765800,0.0,0.0
2025-07-14,208.92,209.9,206.54,207.62,38840100,0.0,0.0
2025-07-15,208.21,210.87,207.92,208.1,42296300,0.0,0.0
2025-07-16,209.29,211.38,207.64,209.15,47490500,0.0,0.0
2025-07-17,209.56,210.78,208.58,209.01,48068100,0.0,0.0
2025-07-18,209.86,210.77,208.69,210.16,48974600,0.0,0.0
2025-07-21,211.08,214.74,210.61,211.46,51377400,0.0,0.0
2025-07-22,212.11,213.92,211.21,213.37,46404100,0.0,0.0
2025-07-23,213.97,214.12,211.39,213.12,46989300,0.0,0.0
2025-07-24,212.87,214.65,212.5,212.73,46022600,0.0,0.0
2025-07-25,213.67,214.2,212.37,212.85,40268800,0.0,0.0
2025-07-28,213.0,213.82,212.04,213.02,37858000,0.0,0.0
2025-07-29,213.15,213.78,209.81,210.25,51411700,0.0,0.0
2025-07-30,210.88,211.37,206.72,208.04,45512500,0.0,0.0
2025-07-31,207.49,208.83,206.16,206.57,80698400,0.0,0.0
2025-08-01,209.86,212.55,200.53,201.41,104434500,0.0,0.0
2025-08-04,203.53,206.88,200.71,202.37,75109300,0.0,0.0
2025-08-05,202.42,204.35,201.19,201.94,44155100,0.0,0.0
2025-08-06,204.64,214.34,204.6,212.22,108483100,0.0,0.0
2025-08-07,217.83,219.79,215.54,218.97,90224800,0.0,0.0
2025-08-08,219.77,229.89,218.2,228.25,113854000,0.0,0.0
2025-08-11,227.08,228.72,223.93,226.34,61806100,0.26,0.0
2025-08-12,227.17,229.95,226.23,228.8,55626200,0.0,0.0
2025-08-13,230.22,234.14,229.58,232.47,69878500,0.0,0.0
2025-08-14,233.2,234.25,230.0,231.92,51916300,0.0,0.0
2025-08-15,233.14,233.42,228.5,230.74,56038700,0.0,0.0
2025-08-18,230.85,232.26,229.26,230.04,37476200,0.0,0.0
2025-08-19,230.43,232.01,228.51,229.71,39402600,0.0,0.0
2025-08-20,229.13,229.62,224.94,225.18,42263900,0.0,0.0
2025-08-21,225.44,225.69,222.96,224.07,30621200,0.0,0.0
2025-08-22,225.34,228.25,224.58,226.92,42477800,0.0,0.0
2025-08-25,225.65,228.46,225.4,226.32,30983100,0.0,0.0
2025-08-26,226.04,228.65,223.86,228.47,54575100,0.0,0.0
2025-08-27,227.77,230.05,227.42,229.64,31259500,0.0,0.0
2025-08-28,229.97,232.55,228.5,231.7,38074700,0.0,0.0
2025-08-29,231.65,232.52,230.52,231.29,39418400,0.0,0.0
2025-09-02,228.41,230.0,226.13,228.87,44075600,0.0,0.0
2025-09-03,236.34,237.97,233.5,237.59,66427800,0.0,0.0
2025-09-04,237.57,239.02,235.87,238.9,47549400,0.0,0.0
2025-09-05,239.12,240.43,237.61,238.81,54870400,0.0,0.0
2025-09-08,238.42,239.27,235.47,237.0,48999500,0.0,0.0
2025-09-09,236.13,237.9,232.5,233.49,66313900,0.0,0.0
2025-09-10,231.34,231.56,225.12,225.96,83440800,0.0,0.0
2025-09-11,226.05,229.6,225.82,229.18,50208600,0.0,0.0
2025-09-12,228.38,233.65,228.18,233.21,55824200,0.0,0.0
