# Stock data for NVDA from 2025-05-01 to 2025-09-12
# Total records: 93
# Data retrieved on: 2026-09-13 23:05:01

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-01,112.8,114.65,111.02,111.33,236121500,0.0,0.0
2025-05-02,113.89,115.11,113.08,114.21,190194800,0.0,0.0
2025-05-05,112.63,114.38,112.38,113.53,133163200,0.0,0.0
2025-05-06,111.2,114.45,110.54,113.25,158525600,0.0,0.0
2025-05-07,112.77,117.38,112.0,116.77,206758800,0.0,0.0
2025-05-08,117.95,118.38,115.56,117.07,198428100,0.0,0.0
2025-05-09,117.05,117.93,114.92,116.36,132972200,0.0,0.0
2025-05-12,121.66,122.69,119.98,122.69,225023300,0.0,0.0
2025-05-13,124.67,130.89,124.16,129.6,330430100,0.0,0.0
2025-05-14,132.86,135.1,131.35,135.0,281180800,0.0,0.0
2025-05-15,133.95,135.96,132.33,134.49,226632600,0.0,0.0
2025-05-16,135.88,136.01,133.12,135.06,226542500,0.0,0.0
2025-05-19,132.06,135.53,132.06,135.23,193154600,0.0,0.0
2025-05-20,133.95,134.24,132.29,134.04,161514200,0.0,0.0
2025-05-21,132.73,137.05,130.26,131.47,270608700,0.0,0.0
2025-05-22,131.9,133.91,131.22,132.5,187344000,0.0,0.0
2025-05-23,129.67,132.35,128.84,130.96,198821300,0.0,0.0
2025-05-27,133.81,135.32,132.97,135.16,192953600,0.0,0.0
2025-05-28,135.69,136.9,134.45,134.47,304021100,0.0,0.0
2025-05-29,141.89,143.13,137.56,138.84,369241900,0.0,0.0
2025-05-30,138.37,139.27,132.59,134.79,333170900,0.0,0.0
2025-06-02,135.15,137.77,135.06,137.03,197663100,0.0,0.0
2025-06-03,138.43,141.64,137.6,140.86,225578800,0.0,0.0
2025-06-04,141.83,142.03,139.19,141.56,167120800,0.0,0.0
2025-06-05,141.81,143.64,138.48,139.64,231397900,0.0,0.0
2025-06-06,142.15,142.91,141.15,141.36,153986200,0.0,0.0
2025-06-09,142.83,144.64,141.58,142.27,185114500,0.0,0.0
2025-06-10,142.33,143.93,141.17,143.6,155881900,0.0,0.0
2025-06-11,144.26,144.64,141.52,142.48,167694000,0.01,0.0
2025-06-12,141.62,144.65,141.5,144.65,162365000,0.0,0.0
2025-06-13,142.13,143.23,140.51,141.62,180820600,0.0,0.0
2025-06-16,143.0,145.82,142.85,144.34,183133700,0.0,0.0
2025-06-17,144.14,144.86,143.43,143.77,139108000,0.0,0.0
2025-06-18,143.66,145.29,142.77,145.12,161494100,0.0,0.0
2025-06-20,145.09,145.84,142.3,143.5,242956200,0.0,0.0
2025-06-23,142.15,144.43,141.68,143.82,154308900,0.0,0.0
2025-06-24,145.2,147.6,145.14,147.54,187566100,0.0,0.0
2025-06-25,148.9,154.07,148.89,153.93,269146500,0.0,0.0
2025-06-26,155.6,156.34,153.62,154.64,198145700,0.0,0.0
2025-06-27,155.66,158.32,154.88,157.36,263234500,0.0,0.0
2025-06-30,158.01,158.27,155.58,157.6,194580300,0.0,0.0
2025-07-01,155.91,156.82,151.12,152.92,213143600,0.0,0.0
2025-07-02,152.61,157.21,152.6,156.87,171224100,0.0,0.0
2025-07-03,157.98,160.59,157.38,158.95,143716100,0.0,0.0
2025-07-07,157.81,158.92,156.96,157.85,140139000,0.0,0.0
2025-07-08,158.94,159.83,158.0,159.61,138133000,0.0,0.0
2025-07-09,160.83,164.02,160.77,162.48,183656400,0.0,0.0
2025-07-10,163.92,164.1,161.21,163.7,167704100,0.0,0.0
2025-07-11,163.32,167.48,163.07,164.52,193633300,0.0,0.0
2025-07-14,164.97,165.09,161.62,163.67,136975800,0.0,0.0
2025-07-15,170.77,171.98,168.79,170.28,230627400,0.0,0.0
2025-07-16,170.64,171.33,168.49,170.95,158831500,0.0,0.0
2025-07-17,171.6,173.73,170.41,172.58,160841100,0.0,0.0
2025-07-18,173.22,173.82,170.84,171.99,146456400,0.0,0.0
2025-07-21,172.33,172.96,170.58,170.96,123126100,0.0,0.0
2025-07-22,170.92,170.97,164.18,166.62,193114300,0.0,0.0
2025-07-23,169.12,170.84,167.56,170.36,154082200,0.0,0.0
2025-07-24,172.02,173.4,170.88,173.31,128984600,0.0,0.0
2025-07-25,173.19,174.29,172.54,173.08,122316800,0.0,0.0
2025-07-28,173.59,176.57,173.54,176.32,140023500,0.0,0.0
2025-07-29,177.52,178.94,174.59,175.08,154077500,0.0,0.0
2025-07-30,176.08,179.45,175.61,178.83,174312200,0.0,0.0
2025-07-31,182.45,182.85,175.5,177.43,221685400,0.0,0.0
2025-08-01,173.66,176.11,170.47,173.3,204529000,0.0,0.0
2025-08-04,174.73,179.76,174.09,179.56,148174600,0.0,0.0
2025-08-05,179.18,179.82,175.47,177.82,156407600,0.0,0.0
2025-08-06,175.9,179.46,175.82,178.98,137192300,0.0,0.0
2025-08-07,181.13,183.43,178.36,180.33,151878400,0.0,0.0
