# Stock data for AAPL from 2025-01-01 to 2026-05-15
# Total records: 343
# Data retrieved on: 2026-09-13 23:14:14

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,247.14,247.31,240.08,242.09,55740700,0.0,0.0
2025-01-03,241.61,242.42,240.15,241.61,40244100,0.0,0.0
2025-01-06,242.55,245.55,241.45,243.23,45045600,0.0,0.0
2025-01-07,241.23,243.78,239.61,240.46,40856000,0.0,0.0
2025-01-08,240.18,241.95,238.32,240.95,37628900,0.0,0.0
2025-01-10,238.28,238.43,231.32,235.14,61710900,0.0,0.0
2025-01-13,231.85,232.98,228.06,232.71,49630700,0.0,0.0
2025-01-14,233.06,234.42,230.8,231.6,39435300,0.0,0.0
2025-01-15,232.95,237.24,232.74,236.16,39832000,0.0,0.0
2025-01-16,235.64,236.3,226.39,226.62,71759100,0.0,0.0
2025-01-17,230.45,230.62,226.83,228.32,68488300,0.0,0.0
2025-01-21,222.39,222.8,217.8,221.04,98070400,0.0,0.0
2025-01-22,218.21,222.51,218.21,222.22,64126500,0.0,0.0
2025-01-23,223.12,225.39,220.7,222.05,60234800,0.0,0.0
2025-01-24,223.16,224.0,219.81,221.17,54697900,0.0,0.0
2025-01-27,222.41,230.48,222.37,228.2,94863400,0.0,0.0
2025-01-28,229.19,238.46,229.15,236.54,75707600,0.0,0.0
2025-01-29,232.43,238.13,232.32,237.64,45486100,0.0,0.0
2025-01-30,236.95,239.06,235.5,235.88,55658300,0.0,0.0
2025-01-31,245.41,245.41,231.76,234.3,100959800,0.0,0.0
2025-02-03,228.33,230.16,224.07,226.37,73063300,0.0,0.0
2025-02-04,225.61,231.45,225.02,231.12,45067300,0.0,0.0
2025-02-05,226.88,230.99,226.63,230.8,39620300,0.0,0.0
2025-02-06,229.62,232.12,228.77,231.54,29925300,0.0,0.0
2025-02-07,230.92,232.31,225.62,225.99,39707200,0.0,0.0
2025-02-10,228.17,229.18,225.81,226.26,33115600,0.25,0.0
2025-02-11,226.8,233.79,226.74,231.2,53718400,0.0,0.0
2025-02-12,229.79,235.51,229.27,235.42,45243300,0.0,0.0
2025-02-13,235.46,240.86,234.13,240.05,53614100,0.0,0.0
2025-02-14,239.78,244.05,239.52,243.1,40896200,0.0,0.0
2025-02-18,242.66,243.68,240.36,242.98,48822500,0.0,0.0
2025-02-19,243.16,244.51,241.67,243.37,32204200,0.0,0.0
2025-02-20,243.44,245.27,242.8,244.33,32316900,0.0,0.0
2025-02-21,244.45,247.17,243.72,244.05,53197400,0.0,0.0
2025-02-24,243.43,247.34,242.93,245.59,51326400,0.0,0.0
2025-02-25,246.48,248.47,243.41,245.53,48013300,0.0,0.0
2025-02-26,242.84,243.48,237.67,238.89,44433600,0.0,0.0
2025-02-27,237.95,240.98,235.61,235.85,41153600,0.0,0.0
2025-02-28,235.5,240.61,228.79,240.36,56833400,0.0,0.0
2025-03-03,240.31,242.54,234.67,236.57,47184000,0.0,0.0
2025-03-04,236.26,238.6,233.25,234.49,53798100,0.0,0.0
2025-03-05,233.98,235.1,227.83,234.3,47227600,0.0,0.0
2025-03-06,233.01,236.41,231.73,233.89,45170400,0.0,0.0
2025-03-07,233.67,239.89,233.32,237.61,46273600,0.0,0.0
2025-03-10,234.1,234.72,222.85,226.09,72071200,0.0,0.0
2025-03-11,222.44,224.46,216.12,219.49,76137400,0.0,0.0
2025-03-12,218.79,220.39,213.6,215.65,62547500,0.0,0.0
2025-03-13,214.63,215.51,207.15,208.4,61368300,0.0,0.0
2025-03-14,209.96,212.64,208.3,212.18,60107600,0.0,0.0
2025-03-17,212.01,213.9,208.69,212.69,48073400,0.0,0.0
2025-03-18,212.85,213.83,210.2,211.39,42432400,0.0,0.0
2025-03-19,212.91,217.42,212.44,213.92,54385400,0.0,0.0
2025-03-20,212.68,216.16,210.92,212.79,48862900,0.0,0.0
2025-03-21,210.27,217.5,209.99,216.94,94127800,0.0,0.0
2025-03-24,219.65,220.13,217.24,219.38,44299500,0.0,0.0
2025-03-25,219.42,222.73,218.73,222.38,34493600,0.0,0.0
2025-03-26,222.14,223.64,219.12,220.18,34466100,0.0,0.0
2025-03-27,220.04,223.61,219.21,222.48,37094800,0.0,0.0
2025-03-28,220.31,222.44,216.35,216.57,39818600,0.0,0.0
2025-03-31,215.68,224.24,214.91,220.77,65299300,0.0,0.0
2025-04-01,218.47,222.31,217.56,221.83,36412700,0.0,0.0
2025-04-02,219.97,223.81,219.67,222.52,35905900,0.0,0.0
2025-04-03,204.28,206.22,200.02,201.95,103419000,0.0,0.0
2025-04-04,192.7,198.66,186.19,187.23,125910900,0.0,0.0
2025-04-07,176.12,192.96,173.55,180.35,160466300,0.0,0.0
2025-04-08,185.56,189.18,168.18,171.37,120859500,0.0,0.0
2025-04-09,170.9,199.38,170.84,197.63,184395900,0.0,0.0
2025-04-10,187.91,193.59,181.88,189.26,121880000,0.0,0.0
2025-04-11,184.96,198.32,184.92,196.94,87435900,0.0,0.0
2025-04-14,210.15,211.64,199.93,201.28,101352900,0.0,0.0
2025-04-15,200.63,202.27,198.58,200.9,51343900,0.0,0.0
2025-04-16,197.15,199.47,191.19,193.08,59732400,0.0,0.0
2025-04-17,195.99,197.61,193.23,195.78,52164700,0.0,0.0
2025-04-21,192.09,192.62,188.65,191.98,46742500,0.0,0.0
2025-04-22,194.92,200.36,194.77,198.52,52976400,0.0,0.0
2025-04-23,204.74,206.73,201.56,203.35,52929200,0.0,0.0
2025-04-24,203.64,207.55,201.7,207.1,47311000,0.0,0.0
2025-04-25,205.11,208.47,204.94,208.0,38222300,0.0,0.0
2025-04-28,208.72,210.21,206.19,208.86,38743100,0.0,0.0
2025-04-29,207.41,210.94,207.1,209.92,36827600,0.0,0.0
2025-04-30,208.02,212.27,205.41,211.2,52286500,0.0,0.0
2025-05-01,207.8,213.25,207.62,212.02,57365700,0.0,0.0
2025-05-02,204.83,205.72,200.92,204.09,101010600,0.0,0.0
2025-05-05,201.86,202.85,197.0,197.67,69018500,0.0,0.0
2025-05-06,197.0,199.42,195.82,197.3,51216500,0.0,0.0
2025-05-07,197.95,198.22,192.07,195.05,68536700,0.0,0.0
2025-05-08,196.51,198.83,193.49,196.28,50478900,0.0,0.0
2025-05-09,197.78,199.31,196.33,197.32,36453900,0.0,0.0
2025-05-12,209.96,210.25,205.76,209.78,63775800,0.26,0.0
2025-05-13,209.42,212.37,207.99,211.91,51909300,0.0,0.0
2025-05-14,211.41,212.91,209.57,211.31,49325800,0.0,0.0
2025-05-15,209.94,211.94,208.53,210.43,45029500,0.0,0.0
2025-05-16,211.34,211.55,208.76,210.24,54737900,0.0,0.0
2025-05-19,206.91,208.47,203.28,207.78,46140500,0.0,0.0
2025-05-20,206.67,207.47,204.04,205.87,42496600,0.0,0.0
2025-05-21,204.18,206.04,199.74,201.12,59211800,0.0,0.0
2025-05-22,199.74,201.77,198.74,200.39,46742400,0.0,0.0
2025-05-23,192.74,196.75,192.53,194.33,78432900,0.0,0.0
2025-05-27,197.35,199.77,196.48,199.25,56288500,0.0,0.0
2025-05-28,199.63,201.75,198.94,199.46,45339700,0.0,0.0
2025-05-29,202.6,202.83,197.56,198.99,51396800,0.0,0.0
2025-05-30,198.41,200.99,195.83,199.88,70819900,0.0,0.0
2025-06-02,199.32,201.16,199.16,200.73,35423300,0.0,0.0
2025-06-03,200.38,202.79,199.99,202.29,46381600,0.0,0.0
2025-06-04,201.93,205.25,201.13,201.84,43604000,0.0,0.0
2025-06-05,202.52,203.77,199.19,199.67,55126100,0.0,0.0
2025-06-06,202.02,204.71,201.08,202.94,46607700,0.0,0.0
2025-06-09,203.41,205.01,199.06,200.48,72862600,0.0,0.0
2025-06-10,199.64,203.37,199.61,201.7,54672600,0.0,0.0
2025-06-11,202.52,203.52,197.46,197.82,60989900,0.0,0.0
2025-06-12,198.12,198.72,196.41,198.24,43904600,0.0,0.0
2025-06-13,198.77,199.41,194.76,195.51,51447300,0.0,0.0
2025-06-16,196.35,197.73,195.61,197.47,43020700,0.0,0.0
2025-06-17,196.25,197.44,194.27,194.7,38856200,0.0,0.0
2025-06-18,195.0,196.62,194.13,195.63,45394700,0.0,0.0
2025-06-20,197.29,200.73,195.91,200.03,96813500,0.0,0.0
2025-06-23,200.66,201.33,198.0,200.53,55814300,0.0,0.0
2025-06-24,201.62,202.46,199.24,199.34,54064000,0.0,0.0
2025-06-25,200.48,202.69,199.66,200.59,39525700,0.0,0.0
2025-06-26,200.46,201.67,198.5,200.03,50799100,0.0,0.0
2025-06-27,200.92,202.24,199.04,200.11,73188600,0.0,0.0
2025-06-30,201.04,206.39,198.3,204.18,91912800,0.0,0.0
2025-07-01,205.68,209.18,205.15,206.82,78788900,0.0,0.0
2025-07-02,207.91,212.31,207.14,211.42,67941800,0.0,0.0
2025-07-03,211.13,213.62,210.79,212.52,34955800,0.0,0.0
2025-07-07,211.66,215.19,207.8,208.94,50229000,0.0,0.0
2025-07-08,209.09,210.41,207.45,209.0,42848900,0.0,0.0
2025-07-09,208.52,210.31,206.22,210.12,48749400,0.0,0.0
2025-07-10,209.5,212.45,209.02,211.39,44443600,0.0,0.0
2025-07-11,209.56,211.11,208.85,210.14,39765800,0.0,0.0
2025-07-14,208.92,209.9,206.54,207.62,38840100,0.0,0.0
2025-07-15,208.21,210.87,207.92,208.1,42296300,0.0,0.0
2025-07-16,209.29,211.38,207.64,209.15,47490500,0.0,0.0
2025-07-17,209.56,210.78,208.58,209.01,48068100,0.0,0.0
2025-07-18,209.86,210.77,208.69,210.16,48974600,0.0,0.0
2025-07-21,211.08,214.74,210.61,211.46,51377400,0.0,0.0
