# Stock data for NVDA from 2026-01-01 to 2026-09-11
# Total records: 174
# Data retrieved on: 2026-09-13 23:18:45

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-02,189.4,192.48,187.82,188.41,148240500,0.0,0.0
2026-01-05,191.31,193.18,185.72,187.68,183529700,0.0,0.0
2026-01-06,190.08,191.72,186.38,186.8,176862600,0.0,0.0
2026-01-07,188.13,190.92,186.12,188.67,153543200,0.0,0.0
2026-01-08,188.67,189.11,183.28,184.61,172457000,0.0,0.0
2026-01-09,184.65,185.9,183.24,184.43,131327500,0.0,0.0
2026-01-12,182.79,186.68,182.59,184.51,137968500,0.0,0.0
2026-01-13,184.57,187.67,182.97,185.38,160128900,0.0,0.0
2026-01-14,183.89,184.03,180.38,182.71,159586100,0.0,0.0
2026-01-15,186.06,189.26,185.9,186.61,206188600,0.0,0.0
2026-01-16,188.64,190.0,185.65,185.8,187967200,0.0,0.0
2026-01-20,181.48,181.95,177.2,177.65,223345300,0.0,0.0
2026-01-21,178.63,184.95,177.98,182.89,200381000,0.0,0.0
2026-01-22,184.32,185.74,183.5,184.41,139636600,0.0,0.0
2026-01-23,187.06,189.16,186.38,187.23,142748100,0.0,0.0
2026-01-26,186.72,188.68,185.56,186.03,124799600,0.0,0.0
2026-01-27,186.8,189.56,185.27,188.08,143711600,0.0,0.0
2026-01-28,190.82,191.9,189.4,191.07,148552700,0.0,0.0
2026-01-29,190.89,193.03,185.63,192.06,171764400,0.0,0.0
2026-01-30,190.76,194.04,189.03,190.68,179489500,0.0,0.0
2026-02-02,186.76,189.86,184.45,185.18,165794100,0.0,0.0
2026-02-03,185.81,185.84,175.82,179.92,204019600,0.0,0.0
2026-02-04,179.04,179.16,171.51,173.78,207014100,0.0,0.0
2026-02-05,174.52,176.41,170.63,171.48,206312900,0.0,0.0
2026-02-06,176.28,186.56,174.19,184.98,231346200,0.0,0.0
2026-02-09,183.83,193.21,183.52,189.6,196387400,0.0,0.0
2026-02-10,190.93,192.03,187.68,188.1,136764800,0.0,0.0
2026-02-11,192.0,192.81,188.33,189.61,144192700,0.0,0.0
2026-02-12,192.58,193.16,186.07,186.5,189932500,0.0,0.0
2026-02-13,187.04,187.06,181.17,182.38,161888000,0.0,0.0
2026-02-17,181.33,186.71,178.76,184.54,162276900,0.0,0.0
2026-02-18,188.31,189.93,186.32,187.54,164749100,0.0,0.0
2026-02-19,186.62,187.99,185.23,187.46,126554500,0.0,0.0
2026-02-20,186.13,189.89,185.51,189.38,178422300,0.0,0.0
2026-02-23,190.95,193.5,189.14,191.1,171584800,0.0,0.0
2026-02-24,191.04,193.32,186.96,192.4,175123600,0.0,0.0
2026-02-25,194.0,197.17,193.34,195.1,250637100,0.0,0.0
2026-02-26,193.82,193.84,183.89,184.46,360807900,0.0,0.0
2026-02-27,180.83,182.16,175.97,176.78,311636500,0.0,0.0
2026-03-02,174.6,183.03,174.23,182.05,209095300,0.0,0.0
2026-03-03,178.07,180.48,176.51,179.63,178099400,0.0,0.0
2026-03-04,180.02,184.27,179.64,182.61,177731200,0.0,0.0
2026-03-05,180.75,183.63,177.46,182.91,198779700,0.0,0.0
2026-03-06,179.42,182.33,176.41,177.4,189021900,0.0,0.0
2026-03-09,176.42,182.48,175.15,182.22,177213600,0.0,0.0
2026-03-10,181.97,186.0,181.59,184.34,179118500,0.0,0.0
2026-03-11,185.49,187.19,184.03,185.61,145280400,0.01,0.0
2026-03-12,183.63,184.52,181.34,182.72,155762700,0.0,0.0
2026-03-13,184.5,185.67,179.53,179.84,160988400,0.0,0.0
2026-03-16,182.55,188.45,181.0,182.8,217307400,0.0,0.0
2026-03-17,184.64,184.98,181.27,181.52,182497800,0.0,0.0
2026-03-18,182.06,182.96,179.92,179.99,156683100,0.0,0.0
2026-03-19,177.6,179.57,175.39,178.15,170968500,0.0,0.0
2026-03-20,177.59,177.85,171.33,172.31,241323500,0.0,0.0
2026-03-23,176.86,177.96,174.36,175.24,182836300,0.0,0.0
2026-03-24,174.43,175.82,173.58,174.8,147667800,0.0,0.0
2026-03-25,176.7,180.81,176.45,178.27,162602100,0.0,0.0
2026-03-26,175.67,176.11,170.75,170.85,186152200,0.0,0.0
2026-03-27,169.61,170.58,166.63,167.14,196212700,0.0,0.0
2026-03-30,168.4,169.06,163.9,164.79,185627000,0.0,0.0
2026-03-31,166.59,174.22,166.58,174.0,226181300,0.0,0.0
2026-04-01,175.6,176.97,174.35,175.35,168132000,0.0,0.0
2026-04-02,171.79,177.09,170.98,176.99,143143200,0.0,0.0
2026-04-06,176.76,177.38,175.36,177.23,107564300,0.0,0.0
2026-04-07,175.33,177.82,173.26,177.69,132534900,0.0,0.0
2026-04-08,184.08,184.84,179.89,181.66,147732700,0.0,0.0
2026-04-09,181.43,183.66,180.21,183.49,116428500,0.0,0.0
2026-04-10,183.89,189.57,183.88,188.2,160459500,0.0,0.0
2026-04-13,185.61,189.23,185.32,188.88,133648200,0.0,0.0
2026-04-14,190.4,196.06,190.33,196.06,161307000,0.0,0.0
2026-04-15,196.09,199.94,195.29,198.42,185338400,0.0,0.0
2026-04-16,196.98,199.39,195.36,197.9,134012900,0.0,0.0
2026-04-17,199.44,201.24,198.82,201.22,160324400,0.0,0.0
2026-04-20,199.52,201.71,197.39,201.6,119381400,0.0,0.0
2026-04-21,201.67,202.29,198.55,199.42,107945300,0.0,0.0
2026-04-22,200.53,202.04,198.55,202.04,107501000,0.0,0.0
2026-04-23,202.0,203.37,196.77,199.18,113561800,0.0,0.0
2026-04-24,199.5,210.47,199.35,207.8,214134400,0.0,0.0
2026-04-27,209.17,216.34,206.91,216.12,187172400,0.0,0.0
2026-04-28,209.01,214.24,207.73,212.68,180275400,0.0,0.0
2026-04-29,212.21,212.23,207.11,208.77,123711800,0.0,0.0
2026-04-30,209.45,209.82,198.25,199.11,225239200,0.0,0.0
2026-05-01,200.82,202.54,196.67,198.0,128647000,0.0,0.0
2026-05-04,199.05,201.27,194.3,198.03,125368100,0.0,0.0
2026-05-05,198.85,199.78,195.58,196.05,113406600,0.0,0.0
2026-05-06,199.43,207.8,198.16,207.36,188362800,0.0,0.0
2026-05-07,207.86,213.71,206.03,211.02,168307900,0.0,0.0
2026-05-08,212.54,217.3,212.4,214.71,136421400,0.0,0.0
2026-05-11,213.55,221.79,213.4,218.94,160685800,0.0,0.0
2026-05-12,218.05,223.24,214.43,220.28,159176600,0.0,0.0
2026-05-13,224.42,227.32,221.06,225.31,150405400,0.0,0.0
2026-05-14,229.33,236.0,228.78,235.2,180782900,0.0,0.0
2026-05-15,229.24,230.97,223.73,224.81,180977600,0.0,0.0
2026-05-18,229.35,229.48,217.87,221.81,146280900,0.0,0.0
2026-05-19,219.12,223.97,217.41,220.11,140948200,0.0,0.0
2026-05-20,222.67,225.61,220.0,222.96,184201600,0.0,0.0
2026-05-21,221.78,226.88,217.43,219.01,203381800,0.0,0.0
2026-05-22,220.4,220.51,214.31,214.84,169275700,0.0,0.0
2026-05-26,216.05,217.68,211.52,214.37,187202600,0.0,0.0
2026-05-27,213.63,213.66,208.3,212.12,167601200,0.0,0.0
2026-05-28,210.8,215.03,210.74,213.76,143996000,0.0,0.0
2026-05-29,214.09,217.36,210.65,210.66,289410600,0.0,0.0
2026-06-01,215.24,224.36,215.21,223.85,212850700,0.0,0.0
2026-06-02,226.66,231.75,220.85,222.31,193362900,0.0,0.0
2026-06-03,221.21,222.31,214.02,214.26,160907000,0.0,0.0
2026-06-04,213.67,221.35,210.73,218.42,169022200,0.25,0.0
2026-06-05,214.29,214.63,204.1,204.87,219655500,0.0,0.0
2026-06-08,209.95,210.23,205.77,208.41,138372800,0.0,0.0
2026-06-09,210.38,211.16,199.12,207.96,180962500,0.0,0.0
2026-06-10,204.2,206.99,199.7,200.2,161746600,0.0,0.0
2026-06-11,201.26,205.43,199.32,204.64,158643200,0.0,0.0
2026-06-12,204.63,206.84,203.21,204.96,112001800,0.0,0.0
2026-06-15,208.69,212.47,208.11,212.21,149936700,0.0,0.0
2026-06-16,210.94,211.25,207.06,207.18,125694100,0.0,0.0
2026-06-17,208.3,208.98,202.85,204.42,128363500,0.0,0.0
2026-06-18,207.1,211.15,206.27,210.45,241272000,0.0,0.0
2026-06-22,211.2,213.75,207.49,208.42,122041400,0.0,0.0
2026-06-23,201.94,203.54,199.78,199.82,153496200,0.0,0.0
2026-06-24,199.9,201.44,196.36,198.78,151810700,0.0,0.0
2026-06-25,199.86,200.58,191.92,195.52,149550000,0.0,0.0
2026-06-26,192.9,195.33,191.01,192.31,179304100,0.0,0.0
2026-06-29,193.63,195.96,189.59,194.75,148835700,0.0,0.0
2026-06-30,197.02,200.41,194.89,199.87,166476700,0.0,0.0
2026-07-01,195.98,199.63,193.23,197.36,146147600,0.0,0.0
2026-07-02,196.92,199.84,192.14,194.61,142068700,0.0,0.0
2026-07-06,194.2,197.33,193.77,195.33,108999000,0.0,0.0
2026-07-07,192.15,198.19,190.93,196.71,124154600,0.0,0.0
2026-07-08,194.96,204.93,194.84,203.89,147419100,0.0,0.0
2026-07-09,204.23,204.36,198.74,202.55,132037400,0.0,0.0
2026-07-10,201.77,210.76,201.69,210.72,148421000,0.0,0.0
2026-07-13,208.31,210.33,202.77,203.3,121411000,0.0,0.0
2026-07-14,207.97,212.31,203.57,211.56,124379600,0.0,0.0
2026-07-15,211.72,213.57,205.81,212.26,124797200,0.0,0.0
2026-07-16,209.94,210.84,205.62,207.17,122986100,0.0,0.0
2026-07-17,202.41,206.42,197.75,202.58,144281900,0.0,0.0
2026-07-20,205.64,207.51,202.05,203.05,88701500,0.0,0.0
2026-07-21,207.31,208.42,203.78,207.06,108685600,0.0,0.0
2026-07-22,205.58,214.15,204.72,211.82,137645600,0.0,0.0
2026-07-23,209.23,210.63,205.73,208.53,110505300,0.0,0.0
2026-07-24,207.22,211.67,204.58,206.61,114836800,0.0,0.0
2026-07-27,207.97,208.52,195.22,196.29,154353700,0.0,0.0
2026-07-28,194.78,198.48,192.52,196.79,134111500,0.0,0.0
2026-07-29,195.63,196.85,189.8,189.8,147680800,0.0,0.0
2026-07-30,193.23,197.03,191.31,194.82,129010200,0.0,0.0
2026-07-31,198.22,201.77,194.73,200.53,139961200,0.0,0.0
2026-08-03,197.47,208.51,196.63,206.41,128406900,0.0,0.0
2026-08-04,211.06,212.82,208.82,211.7,134922000,0.0,0.0
2026-08-05,216.62,221.97,216.16,218.97,158187400,0.0,0.0
2026-08-06,221.28,223.38,216.76,218.75,113940600,0.0,0.0
2026-08-07,221.29,224.51,220.41,223.71,105669400,0.0,0.0
2026-08-10,223.15,223.89,216.53,217.31,115846600,0.0,0.0
2026-08-11,221.92,221.95,215.96,217.26,101273100,0.0,0.0
2026-08-12,220.79,224.85,219.95,223.84,108783600,0.0,0.0
2026-08-13,224.81,226.98,223.46,225.05,98867200,0.0,0.0
2026-08-14,226.52,227.24,224.25,224.91,75680900,0.0,0.0
2026-08-17,225.73,227.67,224.61,224.76,93678700,0.0,0.0
2026-08-18,220.2,221.39,218.45,219.49,103128200,0.0,0.0
2026-08-19,221.42,222.62,216.52,217.32,96797300,0.0,0.0
2026-08-20,218.12,219.61,215.42,216.61,92457000,0.0,0.0
2026-08-21,218.18,218.5,214.26,214.48,98869300,0.0,0.0
2026-08-24,215.29,215.35,207.02,208.25,135187300,0.0,0.0
2026-08-25,210.79,214.49,209.88,212.81,122309000,0.0,0.0
2026-08-26,212.4,213.36,209.0,209.43,179900000,0.0,0.0
2026-08-27,222.61,230.21,220.65,227.73,298909800,0.0,0.0
2026-08-28,227.11,229.0,216.57,217.31,195116400,0.0,0.0
2026-08-31,218.63,221.05,215.97,220.53,124702700,0.0,0.0
2026-09-01,216.51,220.16,214.86,217.2,109756200,0.0,0.0
2026-09-02,218.55,227.7,218.24,224.16,157104700,0.0,0.0
2026-09-03,225.77,230.14,224.5,228.19,134681600,0.0,0.0
2026-09-04,230.83,234.5,229.37,230.1,135352400,0.0,0.0
