# Balance Sheet data for AAPL (quarterly)
# Data retrieved on: 2026-09-14 00:39:20

,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,14856722000.0,,
Share Issued,14856722000.0,,
Net Debt,65429000000.0,,
Total Debt,101698000000.0,,
Tangible Book Value,65830000000.0,,
Invested Capital,167528000000.0,,
Working Capital,-18629000000.0,,
Net Tangible Assets,65830000000.0,,
Common Stock Equity,65830000000.0,,
Total Capitalization,148260000000.0,,
Total Equity Gross Minority Interest,65830000000.0,,
Stockholders Equity,65830000000.0,,
Gains Losses Not Affecting Retained Earnings,-6369000000.0,,
Other Equity Adjustments,-6369000000.0,,
Retained Earnings,-17607000000.0,,
Capital Stock,89806000000.0,,
Common Stock,89806000000.0,,
Total Liabilities Net Minority Interest,265665000000.0,,
Total Non Current Liabilities Net Minority Interest,124545000000.0,,
Other Non Current Liabilities,42115000000.0,,
Long Term Debt And Capital Lease Obligation,82430000000.0,,
Long Term Debt,82430000000.0,,
Current Liabilities,141120000000.0,,
Other Current Liabilities,62499000000.0,,
Current Deferred Liabilities,8979000000.0,,
Current Deferred Revenue,8979000000.0,,
Current Debt And Capital Lease Obligation,19268000000.0,,
Current Debt,19268000000.0,,
Other Current Borrowings,9345000000.0,,
Commercial Paper,9923000000.0,,
Payables And Accrued Expenses,50374000000.0,,
Current Accrued Expenses,,,
Payables,50374000000.0,,
Total Tax Payable,,,
Income Tax Payable,,,
Accounts Payable,50374000000.0,,
Total Assets,331495000000.0,,
Total Non Current Assets,209004000000.0,,
Other Non Current Assets,82882000000.0,,
Non Current Deferred Assets,,,
Non Current Deferred Taxes Assets,,,
Investments And Advances,77614000000.0,,
Investmentin Financial Assets,77614000000.0,,
Available For Sale Securities,77614000000.0,,
Goodwill And Other Intangible Assets,,,
Net PPE,48508000000.0,,
Accumulated Depreciation,-75803000000.0,,
Gross PPE,124311000000.0,,
Leases,,,
Machinery Furniture Equipment,,,
Land And Improvements,,,
Properties,,,
Current Assets,122491000000.0,,
Other Current Assets,14359000000.0,,
Inventory,5925000000.0,,
Finished Goods,3637000000.0,3596000000.0,4119000000.0
Raw Materials,2288000000.0,2673000000.0,2792000000.0
Receivables,46835000000.0,,
Other Receivables,19278000000.0,,
Accounts Receivable,27557000000.0,,
Cash Cash Equivalents And Short Term Investments,55372000000.0,,
Other Short Term Investments,19103000000.0,,
Cash And Cash Equivalents,36269000000.0,,
Cash Equivalents,9583000000.0,,
Cash Financial,26686000000.0,,
