# Balance Sheet data for AAPL (quarterly)
# Data retrieved on: 2026-09-14 00:43:28

,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,14697926000.0,14773260000.0,14856722000.0,,
Share Issued,14697926000.0,14773260000.0,14856722000.0,,
Net Debt,45192000000.0,62723000000.0,65429000000.0,,
Total Debt,90509000000.0,98657000000.0,101698000000.0,,
Tangible Book Value,88190000000.0,73733000000.0,65830000000.0,,
Invested Capital,178699000000.0,172390000000.0,167528000000.0,,
Working Capital,-4263000000.0,-17674000000.0,-18629000000.0,,
Net Tangible Assets,88190000000.0,73733000000.0,65830000000.0,,
Common Stock Equity,88190000000.0,73733000000.0,65830000000.0,,
Total Capitalization,164875000000.0,152061000000.0,148260000000.0,,
Total Equity Gross Minority Interest,88190000000.0,73733000000.0,65830000000.0,,
Stockholders Equity,88190000000.0,73733000000.0,65830000000.0,,
Gains Losses Not Affecting Retained Earnings,-4854000000.0,-5571000000.0,-6369000000.0,,
Other Equity Adjustments,-4854000000.0,-5571000000.0,-6369000000.0,,
Retained Earnings,-2177000000.0,-14264000000.0,-17607000000.0,,
Capital Stock,95221000000.0,93568000000.0,89806000000.0,,
Common Stock,95221000000.0,93568000000.0,89806000000.0,,
Total Liabilities Net Minority Interest,291107000000.0,285508000000.0,265665000000.0,,
Total Non Current Liabilities Net Minority Interest,128740000000.0,119877000000.0,124545000000.0,,
Other Non Current Liabilities,52055000000.0,41549000000.0,42115000000.0,,
Long Term Debt And Capital Lease Obligation,76685000000.0,78328000000.0,82430000000.0,,
Long Term Debt,76685000000.0,78328000000.0,82430000000.0,,
Current Liabilities,162367000000.0,165631000000.0,141120000000.0,,
Other Current Liabilities,68543000000.0,44452000000.0,62499000000.0,,
Current Deferred Liabilities,9413000000.0,9055000000.0,8979000000.0,,
Current Deferred Revenue,9413000000.0,9055000000.0,8979000000.0,,
Current Debt And Capital Lease Obligation,13824000000.0,20329000000.0,19268000000.0,,
Current Debt,13824000000.0,20329000000.0,19268000000.0,,
Other Current Borrowings,11827000000.0,12350000000.0,9345000000.0,,
Commercial Paper,1997000000.0,7979000000.0,9923000000.0,,
Payables And Accrued Expenses,70587000000.0,91795000000.0,50374000000.0,,
Current Accrued Expenses,,8919000000.0,,,
Payables,70587000000.0,82876000000.0,50374000000.0,,
Total Tax Payable,,13016000000.0,,,
Income Tax Payable,,13016000000.0,,,
Accounts Payable,70587000000.0,69860000000.0,50374000000.0,,
Total Assets,379297000000.0,359241000000.0,331495000000.0,,
Total Non Current Assets,221193000000.0,211284000000.0,209004000000.0,,
Other Non Current Assets,93146000000.0,62950000000.0,82882000000.0,,
Non Current Deferred Assets,,20777000000.0,,,
Non Current Deferred Taxes Assets,,20777000000.0,,,
Investments And Advances,77888000000.0,77723000000.0,77614000000.0,,
Investmentin Financial Assets,77888000000.0,77723000000.0,77614000000.0,,
Available For Sale Securities,77888000000.0,77723000000.0,77614000000.0,,
Goodwill And Other Intangible Assets,,,,,
Net PPE,50159000000.0,49834000000.0,48508000000.0,,
Accumulated Depreciation,-77161000000.0,-76014000000.0,-75803000000.0,,
Gross PPE,127320000000.0,125848000000.0,124311000000.0,,
Leases,,15091000000.0,,,
Machinery Furniture Equipment,,83420000000.0,,,
Land And Improvements,,27337000000.0,,,
Properties,,0.0,,,
Current Assets,158104000000.0,147957000000.0,122491000000.0,,
Other Current Assets,15002000000.0,14585000000.0,14359000000.0,,
Inventory,5875000000.0,5718000000.0,5925000000.0,,
Finished Goods,,,3637000000.0,3596000000.0,4119000000.0
Raw Materials,,,2288000000.0,2673000000.0,2792000000.0
Receivables,70320000000.0,72957000000.0,46835000000.0,,
Other Receivables,30399000000.0,33180000000.0,19278000000.0,,
Accounts Receivable,39921000000.0,39777000000.0,27557000000.0,,
Cash Cash Equivalents And Short Term Investments,66907000000.0,54697000000.0,55372000000.0,,
Other Short Term Investments,21590000000.0,18763000000.0,19103000000.0,,
Cash And Cash Equivalents,45317000000.0,35934000000.0,36269000000.0,,
Cash Equivalents,14491000000.0,7667000000.0,9583000000.0,,
Cash Financial,30826000000.0,28267000000.0,26686000000.0,,
