# Stock data for AAPL from 2025-07-01 to 2026-01-09
# Total records: 134
# Data retrieved on: 2026-09-14 00:42:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-01,205.68,209.18,205.15,206.82,78788900,0.0,0.0
2025-07-02,207.91,212.31,207.14,211.42,67941800,0.0,0.0
2025-07-03,211.13,213.62,210.79,212.52,34955800,0.0,0.0
2025-07-07,211.66,215.19,207.8,208.94,50229000,0.0,0.0
2025-07-08,209.09,210.41,207.45,209.0,42848900,0.0,0.0
2025-07-09,208.52,210.31,206.22,210.12,48749400,0.0,0.0
2025-07-10,209.5,212.45,209.02,211.39,44443600,0.0,0.0
2025-07-11,209.56,211.11,208.85,210.14,39765800,0.0,0.0
2025-07-14,208.92,209.9,206.54,207.62,38840100,0.0,0.0
2025-07-15,208.21,210.87,207.92,208.1,42296300,0.0,0.0
2025-07-16,209.29,211.38,207.64,209.15,47490500,0.0,0.0
2025-07-17,209.56,210.78,208.58,209.01,48068100,0.0,0.0
2025-07-18,209.86,210.77,208.69,210.16,48974600,0.0,0.0
2025-07-21,211.08,214.74,210.61,211.46,51377400,0.0,0.0
2025-07-22,212.11,213.92,211.21,213.37,46404100,0.0,0.0
2025-07-23,213.97,214.12,211.39,213.12,46989300,0.0,0.0
2025-07-24,212.87,214.65,212.5,212.73,46022600,0.0,0.0
2025-07-25,213.67,214.2,212.37,212.85,40268800,0.0,0.0
2025-07-28,213.0,213.82,212.04,213.02,37858000,0.0,0.0
2025-07-29,213.15,213.78,209.81,210.25,51411700,0.0,0.0
2025-07-30,210.88,211.37,206.72,208.04,45512500,0.0,0.0
2025-07-31,207.49,208.83,206.16,206.57,80698400,0.0,0.0
2025-08-01,209.86,212.55,200.53,201.41,104434500,0.0,0.0
2025-08-04,203.53,206.88,200.71,202.37,75109300,0.0,0.0
2025-08-05,202.42,204.35,201.19,201.94,44155100,0.0,0.0
2025-08-06,204.64,214.34,204.6,212.22,108483100,0.0,0.0
2025-08-07,217.83,219.79,215.54,218.97,90224800,0.0,0.0
2025-08-08,219.77,229.89,218.2,228.25,113854000,0.0,0.0
2025-08-11,227.08,228.72,223.93,226.34,61806100,0.26,0.0
2025-08-12,227.17,229.95,226.23,228.8,55626200,0.0,0.0
2025-08-13,230.22,234.14,229.58,232.47,69878500,0.0,0.0
2025-08-14,233.2,234.25,230.0,231.92,51916300,0.0,0.0
2025-08-15,233.14,233.42,228.5,230.74,56038700,0.0,0.0
2025-08-18,230.85,232.26,229.26,230.04,37476200,0.0,0.0
2025-08-19,230.43,232.01,228.51,229.71,39402600,0.0,0.0
2025-08-20,229.13,229.62,224.94,225.18,42263900,0.0,0.0
2025-08-21,225.44,225.69,222.96,224.07,30621200,0.0,0.0
2025-08-22,225.34,228.25,224.58,226.92,42477800,0.0,0.0
2025-08-25,225.65,228.46,225.4,226.32,30983100,0.0,0.0
2025-08-26,226.04,228.65,223.86,228.47,54575100,0.0,0.0
2025-08-27,227.77,230.05,227.42,229.64,31259500,0.0,0.0
2025-08-28,229.97,232.55,228.5,231.7,38074700,0.0,0.0
2025-08-29,231.65,232.52,230.52,231.29,39418400,0.0,0.0
2025-09-02,228.41,230.0,226.13,228.87,44075600,0.0,0.0
2025-09-03,236.34,237.97,233.5,237.59,66427800,0.0,0.0
2025-09-04,237.57,239.02,235.87,238.9,47549400,0.0,0.0
2025-09-05,239.12,240.43,237.61,238.81,54870400,0.0,0.0
2025-09-08,238.42,239.27,235.47,237.0,48999500,0.0,0.0
2025-09-09,236.13,237.9,232.5,233.49,66313900,0.0,0.0
2025-09-10,231.34,231.56,225.12,225.96,83440800,0.0,0.0
2025-09-11,226.04,229.6,225.82,229.18,50208600,0.0,0.0
2025-09-12,228.38,233.65,228.18,233.21,55824200,0.0,0.0
2025-09-15,236.13,237.31,234.17,235.83,42699500,0.0,0.0
2025-09-16,236.31,240.33,235.45,237.27,63421100,0.0,0.0
2025-09-17,238.09,239.22,236.86,238.11,46508000,0.0,0.0
2025-09-18,239.09,240.31,235.78,237.0,44249600,0.0,0.0
2025-09-19,240.34,245.39,239.33,244.6,163741300,0.0,0.0
2025-09-22,247.39,255.7,247.21,255.14,105517400,0.0,0.0
2025-09-23,254.94,256.39,252.65,253.49,60275200,0.0,0.0
2025-09-24,254.28,254.8,250.12,251.38,42303700,0.0,0.0
2025-09-25,252.28,256.22,250.78,255.92,55202100,0.0,0.0
2025-09-26,253.16,256.65,252.85,254.52,46076300,0.0,0.0
2025-09-29,253.62,254.06,252.08,253.49,40127700,0.0,0.0
2025-09-30,253.92,254.98,252.18,253.69,37704300,0.0,0.0
2025-10-01,254.1,257.84,253.99,254.51,48713900,0.0,0.0
2025-10-02,255.64,257.23,253.21,256.18,42630200,0.0,0.0
2025-10-03,253.73,258.29,253.02,257.07,49155600,0.0,0.0
2025-10-06,257.04,258.12,254.11,255.75,44664100,0.0,0.0
2025-10-07,255.86,256.45,254.49,255.54,31955800,0.0,0.0
2025-10-08,255.58,257.57,255.17,257.11,36496900,0.0,0.0
2025-10-09,256.86,257.05,252.21,253.11,38322000,0.0,0.0
2025-10-10,254.0,255.44,243.1,244.37,61999100,0.0,0.0
2025-10-13,248.46,248.77,244.66,246.75,38142900,0.0,0.0
2025-10-14,245.69,247.93,243.8,246.86,35478000,0.0,0.0
2025-10-15,248.57,250.89,246.56,248.42,33893600,0.0,0.0
