# Balance Sheet data for NVDA (quarterly)
# Data retrieved on: 2026-09-14 00:48:37

,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Ordinary Shares Number,24305000000.0,24347000000.0,,
Share Issued,24305000000.0,24347000000.0,,
Net Debt,,,,
Total Debt,10481000000.0,10598000000.0,,
Tangible Book Value,111700000000.0,93621000000.0,,
Invested Capital,127364000000.0,108597000000.0,,
Working Capital,90417000000.0,77962000000.0,,
Net Tangible Assets,111700000000.0,93621000000.0,,
Capital Lease Obligations,2014000000.0,2132000000.0,,
Common Stock Equity,118897000000.0,100131000000.0,,
Total Capitalization,126365000000.0,108597000000.0,,
Total Equity Gross Minority Interest,118897000000.0,100131000000.0,,
Stockholders Equity,118897000000.0,100131000000.0,,
Gains Losses Not Affecting Retained Earnings,339000000.0,170000000.0,,
Other Equity Adjustments,339000000.0,170000000.0,,
Retained Earnings,107908000000.0,88737000000.0,,
Additional Paid In Capital,10626000000.0,11200000000.0,,
Capital Stock,24000000.0,24000000.0,,
Common Stock,24000000.0,24000000.0,,
Preferred Stock,0.0,0.0,,
Total Liabilities Net Minority Interest,42251000000.0,40609000000.0,,
Total Non Current Liabilities Net Minority Interest,16176000000.0,16352000000.0,,
Other Non Current Liabilities,376000000.0,243000000.0,,
Tradeand Other Payables Non Current,3532000000.0,3406000000.0,,
Non Current Deferred Liabilities,2786000000.0,2406000000.0,,
Non Current Deferred Revenue,1165000000.0,1055000000.0,,
Non Current Deferred Taxes Liabilities,1621000000.0,1351000000.0,,
Long Term Debt And Capital Lease Obligation,9482000000.0,10297000000.0,,
Long Term Capital Lease Obligation,2014000000.0,1831000000.0,,
Long Term Debt,7468000000.0,8466000000.0,,
Current Liabilities,26075000000.0,24257000000.0,,
Other Current Liabilities,1196000000.0,202000000.0,,
Current Deferred Liabilities,1248000000.0,980000000.0,,
Current Deferred Revenue,1248000000.0,980000000.0,,
Current Debt And Capital Lease Obligation,999000000.0,301000000.0,,
Current Capital Lease Obligation,,301000000.0,300000000.0,288000000.0
Current Debt,999000000.0,,,
Other Current Borrowings,,,,
Current Provisions,2707000000.0,2245000000.0,,
Payables And Accrued Expenses,19925000000.0,20529000000.0,,
Current Accrued Expenses,8386000000.0,9555000000.0,,
Payables,11539000000.0,10974000000.0,,
Total Tax Payable,2915000000.0,1910000000.0,,
Accounts Payable,8624000000.0,9064000000.0,,
Total Assets,161148000000.0,140740000000.0,,
Total Non Current Assets,44656000000.0,38521000000.0,,
Other Non Current Assets,632000000.0,272000000.0,,
Non Current Prepaid Assets,1536000000.0,2103000000.0,2413000000.0,2087000000.0
Non Current Deferred Assets,13674000000.0,13570000000.0,,
Non Current Deferred Taxes Assets,13674000000.0,13570000000.0,,
Non Current Accounts Receivable,1369000000.0,1042000000.0,895000000.0,750000000.0
Investments And Advances,8187000000.0,3799000000.0,,
Investmentin Financial Assets,8187000000.0,3799000000.0,,
Available For Sale Securities,8187000000.0,3799000000.0,,
Goodwill And Other Intangible Assets,7197000000.0,6510000000.0,,
Other Intangible Assets,936000000.0,755000000.0,,
Goodwill,6261000000.0,5755000000.0,,
Net PPE,12061000000.0,11225000000.0,,
Accumulated Depreciation,,,,-4401000000.0
Gross PPE,12061000000.0,11225000000.0,,
Construction In Progress,,,,529000000.0
Other Properties,12061000000.0,11225000000.0,,
Machinery Furniture Equipment,,,,7568000000.0
Buildings And Improvements,,,,2076000000.0
Land And Improvements,,,,511000000.0
Properties,,,,0.0
Current Assets,116492000000.0,102219000000.0,,
Other Current Assets,2709000000.0,2658000000.0,,
Restricted Cash,,2800000000.0,1000000000.0,
Inventory,19784000000.0,14962000000.0,,
Finished Goods,6840000000.0,8708000000.0,,
Work In Process,8735000000.0,4411000000.0,,
Raw Materials,4209000000.0,1843000000.0,,
Receivables,33391000000.0,27808000000.0,,
Accounts Receivable,33391000000.0,27808000000.0,,
Cash Cash Equivalents And Short Term Investments,60608000000.0,53991000000.0,,
Other Short Term Investments,49122000000.0,42352000000.0,,
Cash And Cash Equivalents,11486000000.0,11639000000.0,,
