# Stock data for NVDA from 2025-01-01 to 2026-05-15
# Total records: 343
# Data retrieved on: 2026-09-14 00:53:00

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,135.65,138.52,134.28,137.95,198247200,0.0,0.0
2025-01-03,139.64,144.52,139.37,144.09,229322500,0.0,0.0
2025-01-06,148.2,151.76,147.43,149.04,265377400,0.0,0.0
2025-01-07,152.63,152.73,139.64,139.77,351782200,0.0,0.0
2025-01-08,142.21,143.57,137.2,139.74,227349900,0.0,0.0
2025-01-10,137.09,139.56,133.87,135.56,207602500,0.0,0.0
2025-01-13,129.65,133.14,129.17,132.88,204808900,0.0,0.0
2025-01-14,135.7,136.02,129.71,131.42,195590500,0.0,0.0
2025-01-15,133.3,136.09,130.95,135.88,185217300,0.0,0.0
2025-01-16,138.28,138.39,133.14,133.22,209235600,0.0,0.0
2025-01-17,136.33,138.14,135.11,137.35,201188800,0.0,0.0
2025-01-21,138.8,141.46,136.73,140.46,197749000,0.0,0.0
2025-01-22,144.28,147.4,143.3,146.69,237651400,0.0,0.0
2025-01-23,144.67,146.85,143.35,146.84,155915500,0.0,0.0
2025-01-24,147.98,148.58,141.51,142.25,234657600,0.0,0.0
2025-01-27,124.47,128.07,116.4,118.11,818830900,0.0,0.0
2025-01-28,121.49,128.66,115.95,128.65,579666400,0.0,0.0
2025-01-29,126.17,126.56,119.74,123.38,467120600,0.0,0.0
2025-01-30,122.78,124.67,117.79,124.32,392925500,0.0,0.0
2025-01-31,123.46,127.52,118.88,119.76,388161100,0.0,0.0
2025-02-03,114.45,118.26,112.72,116.36,371235700,0.0,0.0
2025-02-04,116.66,120.88,116.4,118.34,256550000,0.0,0.0
2025-02-05,121.44,124.67,120.45,124.5,262230800,0.0,0.0
2025-02-06,127.09,128.43,124.88,128.34,251483600,0.0,0.0
2025-02-07,128.88,130.03,124.67,129.5,228186300,0.0,0.0
2025-02-10,129.75,134.65,129.62,133.22,216989100,0.0,0.0
2025-02-11,132.23,134.13,130.68,132.45,178902400,0.0,0.0
2025-02-12,129.68,131.9,128.74,130.8,160278600,0.0,0.0
2025-02-13,131.22,136.14,130.83,134.94,197430000,0.0,0.0
2025-02-14,136.12,138.89,135.15,138.49,195479600,0.0,0.0
2025-02-18,140.9,143.07,137.57,139.04,219176600,0.0,0.0
2025-02-19,139.15,140.99,136.86,138.87,167536000,0.0,0.0
2025-02-20,139.66,140.29,136.43,139.74,143903600,0.0,0.0
2025-02-21,139.67,141.09,133.68,134.08,228217600,0.0,0.0
2025-02-24,136.2,138.23,129.74,129.94,251381100,0.0,0.0
2025-02-25,129.64,129.86,124.12,126.3,271428700,0.0,0.0
2025-02-26,129.65,133.38,128.15,130.94,322553800,0.0,0.0
2025-02-27,134.65,134.66,119.7,119.84,443175800,0.0,0.0
2025-02-28,117.71,124.76,116.1,124.59,389091100,0.0,0.0
2025-03-03,123.19,123.38,111.99,113.76,411381400,0.0,0.0
2025-03-04,110.36,119.0,109.82,115.69,398163300,0.0,0.0
2025-03-05,117.27,117.97,114.21,116.99,284337900,0.0,0.0
2025-03-06,113.23,115.05,109.93,110.28,321181900,0.0,0.0
2025-03-07,110.96,113.18,107.28,112.4,341755500,0.0,0.0
2025-03-10,109.61,111.56,105.19,106.7,366487400,0.0,0.0
2025-03-11,106.71,111.95,104.5,108.48,354865700,0.0,0.0
2025-03-12,113.83,116.47,112.6,115.45,323857500,0.01,0.0
2025-03-13,116.74,117.46,113.5,115.29,299033100,0.0,0.0
2025-03-14,118.31,121.57,117.85,121.36,277593500,0.0,0.0
2025-03-17,122.43,122.58,117.73,119.23,255501500,0.0,0.0
2025-03-18,117.7,118.72,114.25,115.14,299686900,0.0,0.0
2025-03-19,116.97,120.15,115.39,117.22,273426200,0.0,0.0
2025-03-20,116.26,119.9,116.18,118.23,248829700,0.0,0.0
2025-03-21,116.65,117.69,115.13,117.4,266498500,0.0,0.0
2025-03-24,119.58,121.91,119.04,121.1,228452500,0.0,0.0
2025-03-25,120.25,120.98,118.62,120.39,167447200,0.0,0.0
2025-03-26,118.43,118.54,112.43,113.47,293463300,0.0,0.0
2025-03-27,111.07,114.16,110.38,111.15,236902100,0.0,0.0
2025-03-28,111.21,112.59,108.8,109.39,229872500,0.0,0.0
2025-03-31,104.87,110.68,103.39,108.11,299212700,0.0,0.0
2025-04-01,108.25,109.92,106.2,109.87,222614000,0.0,0.0
2025-04-02,107.02,111.7,106.52,110.14,220601200,0.0,0.0
2025-04-03,103.25,105.36,101.34,101.54,338769400,0.0,0.0
2025-04-04,98.66,99.88,91.88,94.07,532273800,0.0,0.0
2025-04-07,87.24,101.49,86.4,97.39,611041300,0.0,0.0
2025-04-08,103.55,105.58,94.22,96.06,476243400,0.0,0.0
2025-04-09,98.64,114.81,97.28,114.04,612918300,0.0,0.0
2025-04-10,109.09,110.58,98.9,107.3,437812400,0.0,0.0
2025-04-11,108.23,111.27,107.21,110.65,313417300,0.0,0.0
2025-04-14,113.82,114.0,108.8,110.43,264705000,0.0,0.0
2025-04-15,110.69,113.33,110.22,111.92,228966900,0.0,0.0
2025-04-16,104.29,106.52,100.2,104.23,397016900,0.0,0.0
2025-04-17,104.19,104.21,99.8,101.23,292517500,0.0,0.0
2025-04-21,98.52,99.19,94.8,96.67,288501100,0.0,0.0
2025-04-22,98.53,99.56,97.04,98.64,241004800,0.0,0.0
2025-04-23,104.26,104.54,101.76,102.45,247526000,0.0,0.0
2025-04-24,103.22,106.27,102.85,106.16,220815000,0.0,0.0
2025-04-25,106.58,111.64,105.46,110.73,251064700,0.0,0.0
2025-04-28,109.41,110.09,105.75,108.46,207708500,0.0,0.0
2025-04-29,107.4,109.92,107.17,108.75,170444300,0.0,0.0
2025-04-30,104.21,108.65,103.82,108.65,235044600,0.0,0.0
2025-05-01,112.8,114.65,111.02,111.33,236121500,0.0,0.0
2025-05-02,113.89,115.11,113.08,114.21,190194800,0.0,0.0
2025-05-05,112.63,114.38,112.38,113.53,133163200,0.0,0.0
2025-05-06,111.2,114.45,110.54,113.25,158525600,0.0,0.0
2025-05-07,112.77,117.38,112.0,116.77,206758800,0.0,0.0
2025-05-08,117.95,118.38,115.56,117.07,198428100,0.0,0.0
2025-05-09,117.05,117.93,114.92,116.36,132972200,0.0,0.0
2025-05-12,121.66,122.69,119.98,122.69,225023300,0.0,0.0
2025-05-13,124.67,130.89,124.16,129.6,330430100,0.0,0.0
2025-05-14,132.86,135.1,131.35,135.0,281180800,0.0,0.0
2025-05-15,133.95,135.96,132.33,134.49,226632600,0.0,0.0
2025-05-16,135.88,136.01,133.12,135.06,226542500,0.0,0.0
2025-05-19,132.06,135.53,132.06,135.23,193154600,0.0,0.0
2025-05-20,133.95,134.24,132.29,134.04,161514200,0.0,0.0
2025-05-21,132.73,137.05,130.26,131.47,270608700,0.0,0.0
2025-05-22,131.9,133.91,131.22,132.5,187344000,0.0,0.0
2025-05-23,129.67,132.35,128.84,130.96,198821300,0.0,0.0
2025-05-27,133.81,135.32,132.97,135.16,192953600,0.0,0.0
2025-05-28,135.69,136.9,134.45,134.47,304021100,0.0,0.0
2025-05-29,141.89,143.13,137.56,138.84,369241900,0.0,0.0
2025-05-30,138.37,139.27,132.59,134.79,333170900,0.0,0.0
2025-06-02,135.15,137.77,135.06,137.03,197663100,0.0,0.0
2025-06-03,138.43,141.64,137.6,140.86,225578800,0.0,0.0
2025-06-04,141.83,142.03,139.19,141.56,167120800,0.0,0.0
2025-06-05,141.81,143.64,138.48,139.64,231397900,0.0,0.0
2025-06-06,142.15,142.91,141.15,141.36,153986200,0.0,0.0
2025-06-09,142.83,144.64,141.58,142.27,185114500,0.0,0.0
2025-06-10,142.33,143.93,141.17,143.6,155881900,0.0,0.0
2025-06-11,144.26,144.64,141.52,142.48,167694000,0.01,0.0
2025-06-12,141.62,144.65,141.5,144.65,162365000,0.0,0.0
2025-06-13,142.13,143.23,140.51,141.62,180820600,0.0,0.0
2025-06-16,143.0,145.82,142.85,144.34,183133700,0.0,0.0
2025-06-17,144.14,144.86,143.43,143.77,139108000,0.0,0.0
2025-06-18,143.66,145.29,142.77,145.12,161494100,0.0,0.0
2025-06-20,145.09,145.84,142.3,143.5,242956200,0.0,0.0
2025-06-23,142.15,144.43,141.68,143.82,154308900,0.0,0.0
2025-06-24,145.2,147.6,145.14,147.54,187566100,0.0,0.0
2025-06-25,148.9,154.07,148.89,153.93,269146500,0.0,0.0
2025-06-26,155.6,156.34,153.62,154.64,198145700,0.0,0.0
2025-06-27,155.66,158.32,154.88,157.36,263234500,0.0,0.0
2025-06-30,158.01,158.27,155.58,157.6,194580300,0.0,0.0
2025-07-01,155.91,156.82,151.12,152.92,213143600,0.0,0.0
2025-07-02,152.61,157.21,152.6,156.87,171224100,0.0,0.0
2025-07-03,157.98,160.59,157.38,158.95,143716100,0.0,0.0
2025-07-07,157.81,158.92,156.96,157.85,140139000,0.0,0.0
2025-07-08,158.94,159.83,158.0,159.61,138133000,0.0,0.0
2025-07-09,160.83,164.02,160.77,162.48,183656400,0.0,0.0
2025-07-10,163.92,164.1,161.21,163.7,167704100,0.0,0.0
2025-07-11,163.32,167.48,163.07,164.52,193633300,0.0,0.0
2025-07-14,164.97,165.09,161.62,163.67,136975800,0.0,0.0
2025-07-15,170.77,171.98,168.79,170.28,230627400,0.0,0.0
2025-07-16,170.64,171.33,168.49,170.95,158831500,0.0,0.0
2025-07-17,171.6,173.73,170.41,172.58,160841100,0.0,0.0
2025-07-18,173.22,173.82,170.84,171.99,146456400,0.0,0.0
2025-07-21,172.33,172.96,170.58,170.96,123126100,0.0,0.0
2025-07-22,170.92,170.97,164.18,166.62,193114300,0.0,0.0
2025-07-23,169.12,170.84,167.56,170.36,154082200,0.0,0.0
2025-07-24,172.02,173.4,170.88,173.31,128984600,0.0,0.0
2025-07-25,173.19,174.29,172.54,173.08,122316800,0.0,0.0
2025-07-28,173.59,176.57,173.54,176.32,140023500,0.0,0.0
2025-07-29,177.52,178.94,174.59,175.08,154077500,0.0,0.0
2025-07-30,176.08,179.45,175.61,178.83,174312200,0.0,0.0
2025-07-31,182.45,182.85,175.5,177.43,221685400,0.0,0.0
2025-08-01,173.66,176.11,170.47,173.3,204529000,0.0,0.0
2025-08-04,174.73,179.76,174.09,179.56,148174600,0.0,0.0
2025-08-05,179.18,179.82,175.47,177.82,156407600,0.0,0.0
2025-08-06,175.9,179.46,175.82,178.98,137192300,0.0,0.0
2025-08-07,181.13,183.43,178.36,180.33,151878400,0.0,0.0
2025-08-08,181.11,182.85,179.96,182.25,123396700,0.0,0.0
2025-08-11,181.6,183.39,179.81,181.61,138323200,0.0,0.0
2025-08-12,182.51,184.03,179.02,182.71,145485700,0.0,0.0
2025-08-13,182.17,183.52,178.91,181.15,179871700,0.0,0.0
2025-08-14,179.31,182.57,179.02,181.57,129554000,0.0,0.0
2025-08-15,181.44,181.45,177.6,180.01,156602200,0.0,0.0
2025-08-18,180.16,182.49,180.15,181.56,132008000,0.0,0.0
2025-08-19,181.98,182.05,175.06,175.21,185229200,0.0,0.0
2025-08-20,174.74,175.57,168.39,174.97,215142700,0.0,0.0
2025-08-21,174.42,176.47,173.38,174.55,140040900,0.0,0.0
2025-08-22,172.19,178.15,170.78,177.55,172789400,0.0,0.0
2025-08-25,177.91,181.47,176.14,179.37,163012800,0.0,0.0
2025-08-26,179.62,181.94,178.37,181.33,168688200,0.0,0.0
2025-08-27,181.53,182.04,178.66,181.16,235518900,0.0,0.0
2025-08-28,180.38,184.02,175.98,179.73,281787800,0.0,0.0
2025-08-29,177.67,177.71,172.73,173.75,243257900,0.0,0.0
2025-09-02,169.58,171.96,166.81,170.36,231164900,0.0,0.0
