# Stock data for AAPL from 2025-11-01 to 2026-05-15
# Total records: 134
# Data retrieved on: 2026-09-14 00:56:21

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-03,269.42,269.85,265.27,268.06,50194600,0.0,0.0
2025-11-04,267.34,270.49,266.64,269.05,49274800,0.0,0.0
2025-11-05,267.62,270.7,265.95,269.15,43683100,0.0,0.0
2025-11-06,266.9,272.39,266.9,268.78,51204000,0.0,0.0
2025-11-07,268.81,271.29,265.79,267.48,48227400,0.0,0.0
2025-11-10,268.23,272.99,266.73,268.7,41312400,0.26,0.0
2025-11-11,269.08,275.16,269.07,274.5,46208300,0.0,0.0
2025-11-12,274.25,274.98,270.96,272.73,48398000,0.0,0.0
2025-11-13,273.37,275.95,271.35,272.21,49602800,0.0,0.0
2025-11-14,270.31,275.21,268.87,271.67,47431300,0.0,0.0
2025-11-17,268.09,269.76,265.01,266.73,45018300,0.0,0.0
2025-11-18,269.26,269.98,264.6,266.71,45677300,0.0,0.0
2025-11-19,264.81,271.47,264.78,267.83,40424500,0.0,0.0
2025-11-20,270.09,274.68,265.2,265.53,45823600,0.0,0.0
2025-11-21,265.23,272.59,264.95,270.75,59030800,0.0,0.0
2025-11-24,270.16,276.25,270.16,275.17,65585800,0.0,0.0
2025-11-25,274.52,279.62,274.5,276.22,46914200,0.0,0.0
2025-11-26,276.21,278.77,275.88,276.8,33431400,0.0,0.0
2025-11-28,276.51,278.24,275.24,278.09,20135600,0.0,0.0
2025-12-01,277.26,282.65,275.39,282.33,46587700,0.0,0.0
2025-12-02,282.23,286.62,281.86,285.41,53669500,0.0,0.0
2025-12-03,285.42,287.84,282.53,283.38,43538700,0.0,0.0
2025-12-04,283.33,283.96,277.83,279.94,43989100,0.0,0.0
2025-12-05,279.78,280.38,277.3,278.02,47265800,0.0,0.0
2025-12-08,277.37,278.91,275.4,277.14,38211800,0.0,0.0
2025-12-09,277.4,279.27,276.17,276.43,32193300,0.0,0.0
2025-12-10,277.0,278.99,275.69,278.02,33038300,0.0,0.0
2025-12-11,278.34,278.83,273.07,277.28,33248000,0.0,0.0
2025-12-12,277.15,278.46,276.07,277.52,39532900,0.0,0.0
2025-12-15,279.39,279.39,272.1,273.37,50409100,0.0,0.0
2025-12-16,272.08,274.75,271.05,273.86,37648600,0.0,0.0
2025-12-17,274.26,275.41,270.9,271.1,50138700,0.0,0.0
2025-12-18,272.87,272.89,266.23,271.45,51630700,0.0,0.0
2025-12-19,271.41,273.85,269.17,272.93,144632000,0.0,0.0
2025-12-22,272.12,273.14,269.78,270.23,36571800,0.0,0.0
2025-12-23,270.1,271.76,268.83,271.62,29642000,0.0,0.0
2025-12-24,271.6,274.68,271.46,273.07,17910600,0.0,0.0
2025-12-26,273.42,274.62,272.12,272.66,21521800,0.0,0.0
2025-12-29,271.95,273.62,271.61,273.02,23715200,0.0,0.0
2025-12-30,272.07,273.34,271.54,272.34,22139600,0.0,0.0
2025-12-31,272.32,272.94,271.01,271.12,27293600,0.0,0.0
2026-01-02,271.52,277.09,268.27,270.27,37838100,0.0,0.0
2026-01-05,269.91,270.77,265.42,266.53,45647200,0.0,0.0
2026-01-06,266.28,266.82,261.41,261.65,52352100,0.0,0.0
2026-01-07,262.49,262.96,259.1,259.62,48309800,0.0,0.0
2026-01-08,256.32,258.59,255.01,258.34,50419300,0.0,0.0
2026-01-09,258.38,259.5,255.52,258.67,39997000,0.0,0.0
2026-01-12,258.46,260.59,256.1,259.54,45263800,0.0,0.0
2026-01-13,258.02,261.1,257.69,260.34,45730800,0.0,0.0
2026-01-14,258.79,261.11,256.01,259.25,40019400,0.0,0.0
2026-01-15,259.94,260.33,256.35,257.51,39388600,0.0,0.0
2026-01-16,257.2,258.2,254.24,254.84,72142800,0.0,0.0
2026-01-20,252.04,254.1,242.76,246.03,80267500,0.0,0.0
2026-01-21,248.02,250.88,244.51,246.98,54641700,0.0,0.0
2026-01-22,248.52,250.32,247.48,247.68,39708300,0.0,0.0
2026-01-23,246.65,248.73,244.02,247.37,41689000,0.0,0.0
2026-01-26,250.8,255.86,249.12,254.72,55969200,0.0,0.0
2026-01-27,258.47,261.24,257.51,257.57,49648300,0.0,0.0
2026-01-28,256.95,258.16,253.82,255.74,41288000,0.0,0.0
2026-01-29,257.3,258.95,253.72,257.58,67253000,0.0,0.0
2026-01-30,254.48,261.19,251.5,258.78,92443400,0.0,0.0
2026-02-02,259.32,269.76,258.51,269.28,73913400,0.0,0.0
2026-02-03,268.47,271.14,266.88,268.75,64394700,0.0,0.0
2026-02-04,271.55,278.19,271.55,275.74,90545700,0.0,0.0
2026-02-05,277.38,278.74,272.49,275.16,52977400,0.0,0.0
2026-02-06,276.37,280.15,276.18,277.36,50453400,0.0,0.0
2026-02-09,277.41,277.7,271.22,274.13,44623400,0.26,0.0
2026-02-10,274.4,274.88,272.45,273.19,34376900,0.0,0.0
2026-02-11,274.21,279.68,273.96,275.01,51931300,0.0,0.0
2026-02-12,275.1,275.23,259.72,261.26,81077200,0.0,0.0
2026-02-13,261.54,261.76,254.99,255.32,56290700,0.0,0.0
2026-02-17,257.59,265.82,255.08,263.41,58469100,0.0,0.0
2026-02-18,263.13,266.34,261.98,263.88,34203300,0.0,0.0
