# Stock data for AAPL from 2026-03-01 to 2026-09-11
# Total records: 135
# Data retrieved on: 2026-09-14 01:00:41

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-02,261.94,266.06,259.74,264.25,41827900,0.0,0.0
2026-03-03,263.01,265.09,259.67,263.28,38568900,0.0,0.0
2026-03-04,264.18,265.68,260.95,262.05,39803100,0.0,0.0
2026-03-05,260.33,261.09,256.79,259.83,49658600,0.0,0.0
2026-03-06,258.17,258.31,253.92,257.0,41120000,0.0,0.0
2026-03-09,255.23,260.68,253.23,259.42,38218500,0.0,0.0
2026-03-10,257.19,262.01,256.49,260.37,30590800,0.0,0.0
2026-03-11,260.62,261.66,259.09,260.35,26218900,0.0,0.0
2026-03-12,258.2,258.49,253.73,255.3,40794000,0.0,0.0
2026-03-13,255.02,255.87,249.08,249.67,36930000,0.0,0.0
2026-03-16,251.66,253.44,249.43,252.37,32074200,0.0,0.0
2026-03-17,252.51,254.68,251.73,253.78,32361600,0.0,0.0
2026-03-18,252.18,254.49,248.56,249.49,35757900,0.0,0.0
2026-03-19,248.96,251.38,246.86,248.52,34864100,0.0,0.0
2026-03-20,247.54,248.76,245.56,247.55,88331100,0.0,0.0
2026-03-23,253.52,254.15,249.83,251.04,40546100,0.0,0.0
2026-03-24,249.9,254.38,249.11,251.19,45152300,0.0,0.0
2026-03-25,253.65,254.55,251.15,252.17,28476700,0.0,0.0
2026-03-26,251.67,256.54,250.32,252.44,41796700,0.0,0.0
2026-03-27,253.45,255.03,247.63,248.36,47900000,0.0,0.0
2026-03-30,249.62,250.42,245.07,246.19,39446200,0.0,0.0
2026-03-31,247.47,255.02,246.66,253.34,49598100,0.0,0.0
2026-04-01,253.63,255.72,252.88,255.17,40059400,0.0,0.0
2026-04-02,253.75,255.67,250.2,255.46,31289400,0.0,0.0
2026-04-06,256.05,261.69,256.0,258.4,29329900,0.0,0.0
2026-04-07,255.7,255.74,245.26,253.05,62148000,0.0,0.0
2026-04-08,257.99,259.29,256.07,258.44,41032800,0.0,0.0
2026-04-09,258.54,260.65,255.61,260.03,28121600,0.0,0.0
2026-04-10,259.52,261.72,258.56,260.02,31291500,0.0,0.0
2026-04-13,259.27,259.72,256.2,258.74,36234700,0.0,0.0
2026-04-14,258.79,261.46,256.73,258.37,48370700,0.0,0.0
2026-04-15,257.7,266.09,257.35,265.96,49913500,0.0,0.0
2026-04-16,266.32,266.68,260.8,262.93,43323100,0.0,0.0
2026-04-17,266.48,271.81,266.24,269.75,61436200,0.0,0.0
2026-04-20,269.85,273.79,269.81,272.56,36590200,0.0,0.0
2026-04-21,271.02,272.31,264.93,265.7,50209800,0.0,0.0
2026-04-22,267.34,273.25,266.39,272.68,43249200,0.0,0.0
2026-04-23,274.56,275.28,271.17,272.94,33399600,0.0,0.0
2026-04-24,272.27,272.57,269.17,270.58,38157100,0.0,0.0
2026-04-27,265.62,267.88,264.6,267.13,41466800,0.0,0.0
2026-04-28,271.85,272.74,268.18,270.23,40018900,0.0,0.0
2026-04-29,267.07,270.56,266.56,269.69,30047900,0.0,0.0
2026-04-30,270.02,275.51,267.66,270.87,91848200,0.0,0.0
2026-05-01,278.36,286.71,277.87,279.64,79915400,0.0,0.0
2026-05-04,279.16,280.13,274.37,276.34,46668400,0.0,0.0
2026-05-05,276.44,284.06,276.01,283.67,49311700,0.0,0.0
2026-05-06,281.42,287.52,280.57,287.0,58336100,0.0,0.0
2026-05-07,288.75,291.61,285.27,286.93,45224300,0.0,0.0
2026-05-08,289.49,294.23,289.48,292.8,52692800,0.0,0.0
2026-05-11,291.73,293.63,289.98,292.43,42247300,0.27,0.0
2026-05-12,292.31,295.02,292.31,294.55,45748100,0.0,0.0
2026-05-13,293.25,300.66,293.25,298.61,52684300,0.0,0.0
2026-05-14,299.56,300.19,295.13,297.95,35324900,0.0,0.0
2026-05-15,297.64,302.94,296.26,299.97,54862800,0.0,0.0
2026-05-18,299.98,300.4,294.66,297.58,34483000,0.0,0.0
2026-05-19,296.71,300.25,296.09,298.71,42243600,0.0,0.0
2026-05-20,297.92,302.54,297.82,301.99,38229800,0.0,0.0
2026-05-21,300.8,305.28,300.14,304.73,42965100,0.0,0.0
2026-05-22,305.86,311.13,305.58,308.55,43670200,0.0,0.0
2026-05-26,309.29,311.55,307.4,308.06,48000500,0.0,0.0
2026-05-27,308.06,312.99,308.03,310.58,50430900,0.0,0.0
2026-05-28,310.41,312.53,309.3,312.24,48220400,0.0,0.0
2026-05-29,311.51,314.73,309.26,311.79,70026800,0.0,0.0
2026-06-01,309.36,310.67,304.76,306.05,48849900,0.0,0.0
2026-06-02,307.2,315.18,306.43,314.93,44534700,0.0,0.0
2026-06-03,313.91,316.67,308.58,309.99,50836700,0.0,0.0
2026-06-04,312.96,313.27,309.38,310.96,44869100,0.0,0.0
2026-06-05,312.59,314.9,306.89,307.08,65310500,0.0,0.0
2026-06-08,308.47,317.13,300.91,301.28,77949100,0.0,0.0
2026-06-09,300.02,300.49,287.53,290.3,70108800,0.0,0.0
2026-06-10,290.49,294.5,287.13,291.33,52793300,0.0,0.0
2026-06-11,293.47,296.74,289.34,295.38,42572500,0.0,0.0
2026-06-12,295.77,296.88,289.37,290.88,38742100,0.0,0.0
2026-06-15,293.87,297.52,291.45,296.16,45732600,0.0,0.0
2026-06-16,295.0,300.22,293.72,298.98,39874400,0.0,0.0
2026-06-17,300.59,301.81,294.11,295.69,42745100,0.0,0.0
2026-06-18,297.85,300.31,295.37,297.75,85962200,0.0,0.0
2026-06-22,297.05,302.16,296.5,296.75,44879900,0.0,0.0
2026-06-23,297.28,301.38,293.93,294.05,52010900,0.0,0.0
2026-06-24,295.11,299.44,292.69,292.83,53081900,0.0,0.0
2026-06-25,287.15,288.55,273.51,274.91,107013700,0.0,0.0
2026-06-26,274.76,285.7,273.97,283.54,261775500,0.0,0.0
2026-06-29,286.48,288.12,279.61,281.5,66427000,0.0,0.0
2026-06-30,280.93,289.69,280.46,289.11,65100200,0.0,0.0
2026-07-01,293.19,296.33,288.95,294.13,50164200,0.0,0.0
2026-07-02,293.87,309.15,293.43,308.36,75352800,0.0,0.0
2026-07-06,307.1,313.93,306.74,312.39,53590000,0.0,0.0
2026-07-07,315.02,315.21,309.88,310.39,42490000,0.0,0.0
2026-07-08,311.64,314.55,306.79,313.12,41323500,0.0,0.0
2026-07-09,310.24,316.26,307.89,315.95,48124500,0.0,0.0
2026-07-10,314.45,316.64,311.9,315.05,34132300,0.0,0.0
2026-07-13,316.75,323.17,315.51,317.04,43257800,0.0,0.0
2026-07-14,313.49,315.92,311.64,314.59,36336800,0.0,0.0
2026-07-15,317.35,328.45,317.05,327.22,60957600,0.0,0.0
