# Stock data for NVDA from 2025-09-01 to 2026-09-11
# Total records: 259
# Data retrieved on: 2026-09-14 01:08:09

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-02,169.58,171.96,166.81,170.36,231164900,0.0,0.0
2025-09-03,170.64,171.99,168.47,170.2,164424900,0.0,0.0
2025-09-04,170.15,171.44,169.0,171.24,141670100,0.0,0.0
2025-09-05,167.62,168.62,163.67,166.61,224441400,0.0,0.0
2025-09-08,167.14,170.54,166.94,167.9,163769100,0.0,0.0
2025-09-09,168.68,170.56,166.33,170.34,157548400,0.0,0.0
2025-09-10,176.21,178.85,175.04,176.9,226852000,0.0,0.0
2025-09-11,179.25,179.85,176.06,176.75,151159300,0.01,0.0
2025-09-12,177.35,178.17,176.03,177.4,124911000,0.0,0.0
2025-09-15,175.25,178.42,174.09,177.33,147061600,0.0,0.0
2025-09-16,176.58,177.08,173.96,174.46,140737800,0.0,0.0
2025-09-17,172.23,172.79,168.01,169.88,211843800,0.0,0.0
2025-09-18,173.56,176.68,172.55,175.82,191763300,0.0,0.0
2025-09-19,175.35,177.65,174.76,176.25,237182100,0.0,0.0
2025-09-22,174.88,184.11,174.29,183.17,269637000,0.0,0.0
2025-09-23,181.54,181.98,175.79,178.0,192559600,0.0,0.0
2025-09-24,179.34,179.35,174.98,176.55,143564100,0.0,0.0
2025-09-25,174.06,179.83,172.72,177.27,191586700,0.0,0.0
2025-09-26,177.74,179.34,174.51,177.76,148573700,0.0,0.0
2025-09-29,180.0,183.56,179.89,181.42,193063500,0.0,0.0
2025-09-30,181.64,186.9,181.05,186.13,236981000,0.0,0.0
2025-10-01,184.8,187.69,183.46,186.79,173844900,0.0,0.0
2025-10-02,189.15,190.59,187.61,188.44,136805800,0.0,0.0
2025-10-03,188.74,189.91,184.94,187.17,137596900,0.0,0.0
2025-10-06,185.06,186.78,182.89,185.1,157678100,0.0,0.0
2025-10-07,185.78,188.61,183.56,184.6,140088000,0.0,0.0
2025-10-08,186.12,189.15,186.09,188.66,130168900,0.0,0.0
2025-10-09,191.77,194.83,190.6,192.11,182997200,0.0,0.0
2025-10-10,193.05,195.15,181.61,182.72,268774400,0.0,0.0
2025-10-13,187.52,189.66,185.52,187.87,153482800,0.0,0.0
2025-10-14,184.33,184.36,179.27,179.6,205641400,0.0,0.0
2025-10-15,184.36,184.43,176.87,179.4,214450500,0.0,0.0
2025-10-16,181.79,182.84,179.34,181.38,179723300,0.0,0.0
2025-10-17,179.75,183.66,179.32,182.78,173135200,0.0,0.0
2025-10-20,182.69,184.76,181.3,182.2,128544700,0.0,0.0
2025-10-21,182.35,182.35,179.37,180.73,124240200,0.0,0.0
2025-10-22,180.71,183.0,176.34,179.85,162249600,0.0,0.0
2025-10-23,179.99,182.59,179.36,181.72,111363700,0.0,0.0
2025-10-24,183.4,187.02,183.06,185.81,131296700,0.0,0.0
2025-10-27,189.54,191.54,187.98,191.03,153452700,0.0,0.0
