# Stock data for MSFT from 2025-09-01 to 2026-09-14
# Total records: 259
# Data retrieved on: 2026-09-14 15:26:45

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-02,496.39,501.87,492.76,501.0,18128000,0.0,0.0
2025-09-03,499.68,503.65,498.22,501.23,16345100,0.0,0.0
2025-09-04,500.18,504.0,499.04,503.82,15509500,0.0,0.0
2025-09-05,504.92,507.79,488.35,490.96,31994800,0.0,0.0
2025-09-08,494.05,497.11,490.99,494.13,16771000,0.0,0.0
2025-09-09,497.34,498.15,493.64,494.34,14410500,0.0,0.0
2025-09-10,498.88,499.12,492.67,496.29,21611800,0.0,0.0
2025-09-11,498.15,499.06,493.82,496.92,18881600,0.0,0.0
2025-09-12,502.52,508.37,499.74,505.74,23624900,0.0,0.0
2025-09-15,504.64,511.26,502.86,511.15,17143800,0.0,0.0
2025-09-16,512.66,513.01,504.45,504.89,19711900,0.0,0.0
2025-09-17,506.45,507.12,501.8,505.86,15816600,0.0,0.0
2025-09-18,507.32,508.88,503.52,504.3,18913700,0.0,0.0
2025-09-19,506.39,515.06,506.15,513.7,52474100,0.0,0.0
2025-09-22,511.38,513.51,508.36,510.25,20009300,0.0,0.0
2025-09-23,509.61,510.39,503.17,505.07,19799600,0.0,0.0
2025-09-24,506.22,508.3,502.78,505.99,13533700,0.0,0.0
2025-09-25,504.15,505.85,500.92,502.89,15786500,0.0,0.0
2025-09-26,505.9,509.75,502.49,507.29,16213100,0.0,0.0
2025-09-29,507.33,512.63,504.73,510.4,17617800,0.0,0.0
2025-09-30,509.05,513.93,505.5,513.72,19728200,0.0,0.0
2025-10-01,510.6,516.26,507.51,515.47,22632300,0.0,0.0
2025-10-02,513.42,517.34,506.51,511.53,21222900,0.0,0.0
2025-10-03,512.88,516.24,510.8,513.13,15112300,0.0,0.0
2025-10-06,514.38,526.7,513.97,524.26,21388600,0.0,0.0
2025-10-07,523.98,525.48,517.18,519.7,14615200,0.0,0.0
2025-10-08,519.01,522.65,518.82,520.57,13363400,0.0,0.0
2025-10-09,518.08,520.05,513.18,518.14,18343600,0.0,0.0
2025-10-10,515.4,519.31,505.47,506.79,24133800,0.0,0.0
2025-10-13,512.2,512.2,507.5,509.86,14284200,0.0,0.0
2025-10-14,506.07,511.08,501.87,509.38,14684300,0.0,0.0
2025-10-15,510.76,512.97,505.84,509.24,14694700,0.0,0.0
2025-10-16,508.4,512.63,503.98,507.43,15559600,0.0,0.0
2025-10-17,504.89,511.27,503.17,509.39,19867800,0.0,0.0
2025-10-20,510.41,514.47,509.24,512.57,14665600,0.0,0.0
2025-10-21,513.28,514.46,508.85,513.44,15586200,0.0,0.0
2025-10-22,516.9,520.94,513.49,516.29,18962700,0.0,0.0
2025-10-23,518.2,519.67,514.38,516.31,14023500,0.0,0.0
2025-10-24,518.52,521.06,516.46,519.34,15532400,0.0,0.0
2025-10-27,527.44,530.22,524.69,527.18,18734700,0.0,0.0
2025-10-28,545.51,549.2,536.36,537.65,29986700,0.0,0.0
2025-10-29,540.49,541.81,532.35,537.13,36023000,0.0,0.0
2025-10-30,526.15,530.6,517.86,521.47,41023100,0.0,0.0
2025-10-31,524.56,525.0,510.9,513.58,34006400,0.0,0.0
2025-11-03,515.57,520.68,510.39,512.81,22374700,0.0,0.0
2025-11-04,507.58,511.34,503.7,510.13,20958700,0.0,0.0
2025-11-05,509.11,510.63,502.45,503.02,23024300,0.0,0.0
2025-11-06,501.53,501.57,491.76,493.04,27406500,0.0,0.0
2025-11-07,492.89,495.3,489.22,492.77,24019800,0.0,0.0
2025-11-10,495.96,502.71,494.73,501.87,26101500,0.0,0.0
2025-11-11,500.68,505.44,498.25,504.53,17980000,0.0,0.0
2025-11-12,505.2,507.49,495.05,506.97,26574900,0.0,0.0
2025-11-13,506.15,509.31,497.2,499.18,25273100,0.0,0.0
2025-11-14,494.16,507.43,493.38,506.02,28505700,0.0,0.0
2025-11-17,504.3,507.94,500.79,503.35,19092800,0.0,0.0
2025-11-18,491.33,498.88,482.81,489.76,33815100,0.0,0.0
2025-11-19,486.1,491.15,478.89,483.14,23245300,0.0,0.0
2025-11-20,489.6,490.46,472.5,475.41,26802500,0.91,0.0
2025-11-21,475.48,475.9,465.32,469.14,31769200,0.0,0.0
2025-11-24,472.01,473.89,465.07,471.01,34421000,0.0,0.0
2025-11-25,471.08,476.13,461.96,473.98,28019800,0.0,0.0
2025-11-26,483.24,485.23,478.17,482.44,25709100,0.0,0.0
2025-11-28,484.53,489.52,483.58,488.91,14386700,0.0,0.0
2025-12-01,485.36,486.77,481.59,483.67,23964000,0.0,0.0
2025-12-02,483.65,490.39,483.25,486.91,19562700,0.0,0.0
2025-12-03,473.32,481.19,472.2,474.72,34615100,0.0,0.0
2025-12-04,476.74,478.29,473.49,477.81,22318200,0.0,0.0
2025-12-05,479.48,480.35,475.86,480.11,22608700,0.0,0.0
2025-12-08,481.83,489.2,481.33,487.92,21965900,0.0,0.0
2025-12-09,486.02,489.02,485.42,488.92,14696100,0.0,0.0
2025-12-10,480.98,481.2,472.09,475.54,35756200,0.0,0.0
2025-12-11,473.63,482.97,472.86,480.42,24669200,0.0,0.0
2025-12-12,476.8,479.41,473.34,475.51,21248100,0.0,0.0
2025-12-15,477.07,477.69,469.54,471.83,23727700,0.0,0.0
2025-12-16,468.94,474.88,467.91,473.39,20705600,0.0,0.0
2025-12-17,473.9,476.97,472.01,473.12,24527200,0.0,0.0
2025-12-18,475.18,486.51,474.88,480.93,28573500,0.0,0.0
2025-12-19,484.29,484.77,479.45,482.86,70836100,0.0,0.0
2025-12-22,483.06,485.65,479.65,481.86,16963000,0.0,0.0
2025-12-23,481.92,484.75,481.68,483.78,14683600,0.0,0.0
2025-12-24,482.62,486.08,481.77,484.94,5855900,0.0,0.0
2025-12-26,483.64,485.04,482.9,484.64,8842200,0.0,0.0
2025-12-29,481.8,485.27,481.13,484.03,10893400,0.0,0.0
2025-12-30,482.87,486.59,482.44,484.41,13944500,0.0,0.0
2025-12-31,484.76,485.06,480.25,480.57,15601600,0.0,0.0
2026-01-02,481.34,481.6,467.2,469.96,25571600,0.0,0.0
2026-01-05,471.07,473.07,466.54,469.87,25250300,0.0,0.0
2026-01-06,470.81,475.72,466.79,475.49,23037700,0.0,0.0
2026-01-07,476.74,486.61,474.94,480.42,25564200,0.0,0.0
2026-01-08,478.21,479.62,472.86,475.1,18162600,0.0,0.0
2026-01-09,471.07,476.8,469.22,476.26,18491000,0.0,0.0
2026-01-12,473.66,477.96,472.68,474.17,23519900,0.0,0.0
2026-01-13,471.69,472.78,463.01,467.7,28545800,0.0,0.0
2026-01-14,463.52,465.25,454.29,456.48,28184300,0.0,0.0
2026-01-15,461.19,461.32,453.03,453.78,23225800,0.0,0.0
2026-01-16,454.94,460.27,453.6,456.96,34246700,0.0,0.0
2026-01-20,448.38,453.92,446.45,451.65,26130000,0.0,0.0
2026-01-21,449.75,449.84,435.91,441.31,37980500,0.0,0.0
2026-01-22,444.8,449.99,441.9,448.3,25349400,0.0,0.0
2026-01-23,449.02,468.13,447.69,463.01,38000200,0.0,0.0
2026-01-26,462.38,471.26,459.09,467.32,29291200,0.0,0.0
2026-01-27,470.71,479.83,470.18,477.55,29213900,0.0,0.0
2026-01-28,480.16,480.69,474.99,478.59,36875400,0.0,0.0
2026-01-29,437.22,439.71,418.37,430.77,128855300,0.0,0.0
2026-01-30,436.4,436.83,423.76,427.58,58566800,0.0,0.0
2026-02-02,427.53,428.02,419.59,420.7,42219900,0.0,0.0
2026-02-03,419.35,419.39,405.98,408.62,61424100,0.0,0.0
2026-02-04,408.41,417.15,406.66,411.58,45012400,0.0,0.0
2026-02-05,404.87,405.73,389.85,391.19,66289200,0.0,0.0
2026-02-06,396.65,399.26,390.44,398.61,53515300,0.0,0.0
2026-02-09,402.3,412.27,398.34,410.99,45480500,0.0,0.0
2026-02-10,416.97,421.01,410.1,410.66,44857900,0.0,0.0
2026-02-11,413.56,413.83,398.48,401.82,42491000,0.0,0.0
2026-02-12,402.45,403.64,395.5,399.31,40802400,0.0,0.0
2026-02-13,401.9,402.98,395.54,398.79,34091600,0.0,0.0
2026-02-17,396.7,398.0,392.04,394.36,32078800,0.0,0.0
2026-02-18,395.62,400.02,393.82,397.08,23223400,0.0,0.0
2026-02-19,399.07,402.8,395.07,396.85,28234000,0.91,0.0
2026-02-20,394.51,398.51,393.57,395.63,34015200,0.0,0.0
2026-02-23,393.41,393.76,381.55,382.92,43238300,0.0,0.0
2026-02-24,382.59,387.79,380.17,387.43,33884700,0.0,0.0
2026-02-25,388.95,399.85,388.59,398.98,43625500,0.0,0.0
2026-02-26,403.08,405.85,397.13,400.1,34405900,0.0,0.0
2026-02-27,389.3,395.22,388.31,391.15,51367200,0.0,0.0
2026-03-02,391.27,399.57,389.05,396.94,35474900,0.0,0.0
2026-03-03,391.55,405.06,391.09,402.3,38199200,0.0,0.0
2026-03-04,399.65,409.37,398.69,403.56,35808000,0.0,0.0
2026-03-05,402.79,409.95,402.77,409.02,39001300,0.0,0.0
2026-03-06,407.55,411.38,406.86,407.31,31123900,0.0,0.0
2026-03-09,403.29,408.55,401.87,407.76,30131900,0.0,0.0
2026-03-10,408.38,408.54,401.3,404.12,31706400,0.0,0.0
2026-03-11,403.93,407.36,399.97,403.25,25512100,0.0,0.0
2026-03-12,403.0,404.48,400.09,400.24,27263900,0.0,0.0
2026-03-13,399.38,403.17,392.66,393.95,26848000,0.0,0.0
