# Income Statement data for INTC (quarterly)
# Data retrieved on: 2026-09-19 00:47:56
# Periods are cut at the fiscal period end; this vendor does not report filing dates, so the most recent period may not have been published yet.

,2025-09-30,2025-06-30
Tax Effect Of Unusual Items,257730000.0,-271740000.0
Tax Rate For Calcs,0.066,0.21
Normalized EBITDA,3943000000.0,1765000000.0
Total Unusual Items,3905000000.0,-1294000000.0
Total Unusual Items Excluding Goodwill,3905000000.0,-1294000000.0
Net Income From Continuing Operation Net Minority Interest,4063000000.0,-2918000000.0
Reconciled Depreciation,2992000000.0,3013000000.0
Reconciled Cost Of Revenue,8435000000.0,9317000000.0
EBITDA,7848000000.0,471000000.0
EBIT,4856000000.0,-2542000000.0
Net Interest Income,-189000000.0,-189000000.0
Interest Expense,282000000.0,227000000.0
Interest Income,228000000.0,210000000.0
Normalized Income,415730000.0,-1895740000.0
Net Income From Continuing And Discontinued Operation,4063000000.0,-2918000000.0
Total Expenses,12795000000.0,14145000000.0
Total Operating Income As Reported,683000000.0,-3176000000.0
Diluted Average Shares,4531000000.0,4369000000.0
Basic Average Shares,4514000000.0,4369000000.0
Diluted EPS,0.9,-0.67
Basic EPS,0.9,-0.67
Diluted NI Availto Com Stockholders,4063000000.0,-2918000000.0
Net Income Common Stockholders,4063000000.0,-2918000000.0
Net Income,4063000000.0,-2918000000.0
Minority Interests,-207000000.0,106000000.0
Net Income Including Noncontrolling Interests,4270000000.0,-3024000000.0
Net Income Continuous Operations,4270000000.0,-3024000000.0
Tax Provision,304000000.0,255000000.0
Pretax Income,4574000000.0,-2769000000.0
Other Income Expense,3905000000.0,-1294000000.0
Special Income Charges,5295000000.0,-1847000000.0
Gain On Sale Of Business,5546000000.0,94000000.0
Other Special Charges,33000000.0,8000000.0
Write Off,72000000.0,467000000.0
Restructuring And Mergern Acquisition,146000000.0,1466000000.0
Gain On Sale Of Security,-1390000000.0,553000000.0
Net Non Operating Interest Income Expense,-189000000.0,-189000000.0
Total Other Finance Cost,135000000.0,172000000.0
Interest Expense Non Operating,282000000.0,227000000.0
Interest Income Non Operating,228000000.0,210000000.0
Operating Income,858000000.0,-1286000000.0
Operating Expense,4360000000.0,4828000000.0
Research And Development,3231000000.0,3684000000.0
Selling General And Administration,1129000000.0,1144000000.0
Gross Profit,5218000000.0,3542000000.0
Cost Of Revenue,8435000000.0,9317000000.0
Total Revenue,13653000000.0,12859000000.0
Operating Revenue,13653000000.0,12859000000.0
