# Stock data for INTC from 2025-05-01 to 2025-11-14
# Total records: 138
# Data retrieved on: 2026-09-19 00:47:20

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-01,20.22,20.65,19.94,19.98,72607500,0.0,0.0
2025-05-02,20.26,20.78,20.21,20.62,63298500,0.0,0.0
2025-05-05,20.39,20.58,20.24,20.27,44237000,0.0,0.0
2025-05-06,19.92,20.12,19.77,19.94,51330800,0.0,0.0
2025-05-07,19.97,20.37,19.82,20.31,61002600,0.0,0.0
2025-05-08,21.01,21.24,20.64,21.0,71651700,0.0,0.0
2025-05-09,21.2,21.45,20.83,21.42,51768600,0.0,0.0
2025-05-12,22.18,22.67,21.88,22.18,94578700,0.0,0.0
2025-05-13,22.36,22.88,22.3,22.56,76850400,0.0,0.0
2025-05-14,22.35,22.46,21.46,21.52,91584800,0.0,0.0
2025-05-15,21.23,21.63,21.19,21.55,66705500,0.0,0.0
2025-05-16,21.53,21.76,21.35,21.66,55795100,0.0,0.0
2025-05-19,21.18,21.56,21.05,21.38,64279100,0.0,0.0
2025-05-20,21.33,21.41,21.12,21.27,48497400,0.0,0.0
2025-05-21,21.19,21.63,20.59,20.69,62904700,0.0,0.0
2025-05-22,20.73,20.9,20.51,20.55,56077500,0.0,0.0
2025-05-23,20.16,20.27,19.94,20.05,68206100,0.0,0.0
2025-05-27,20.44,20.67,20.18,20.55,69504600,0.0,0.0
2025-05-28,20.57,20.64,20.33,20.37,46096500,0.0,0.0
2025-05-29,20.54,20.6,20.1,20.25,66372200,0.0,0.0
2025-05-30,20.26,20.26,19.31,19.55,114281900,0.0,0.0
2025-06-02,19.48,19.82,19.37,19.74,67885500,0.0,0.0
2025-06-03,19.75,20.41,19.4,20.29,80401900,0.0,0.0
2025-06-04,20.34,20.5,20.01,20.25,71166500,0.0,0.0
2025-06-05,20.27,20.55,19.85,19.99,72458400,0.0,0.0
2025-06-06,20.17,20.44,20.03,20.06,70072800,0.0,0.0
2025-06-09,20.22,20.96,20.22,20.48,92893900,0.0,0.0
2025-06-10,20.5,22.44,20.28,22.08,171457000,0.0,0.0
2025-06-11,21.78,21.83,20.38,20.68,146784500,0.0,0.0
2025-06-12,20.5,20.98,20.41,20.77,78175900,0.0,0.0
2025-06-13,20.33,20.6,20.1,20.14,87655900,0.0,0.0
2025-06-16,20.41,20.93,20.3,20.74,86745100,0.0,0.0
2025-06-17,20.63,21.48,20.62,20.8,87512200,0.0,0.0
2025-06-18,20.81,21.6,20.66,21.49,94200600,0.0,0.0
2025-06-20,21.7,21.89,20.88,21.08,133472800,0.0,0.0
2025-06-23,21.07,21.58,20.73,21.19,81461000,0.0,0.0
2025-06-24,21.34,22.69,21.33,22.55,130368700,0.0,0.0
2025-06-25,22.58,22.77,22.13,22.2,64975100,0.0,0.0
2025-06-26,22.4,22.62,22.21,22.5,63229300,0.0,0.0
2025-06-27,22.71,23.38,22.42,22.69,95542400,0.0,0.0
2025-06-30,22.97,22.97,22.27,22.4,77102400,0.0,0.0
2025-07-01,22.33,23.16,22.28,22.85,79094900,0.0,0.0
2025-07-02,22.53,22.77,21.52,21.88,138245300,0.0,0.0
2025-07-03,22.15,22.63,21.99,22.49,61176000,0.0,0.0
2025-07-07,22.21,22.39,21.86,22.0,80725200,0.0,0.0
2025-07-08,22.18,23.79,22.13,23.59,119545500,0.0,0.0
2025-07-09,23.29,23.53,23.13,23.44,70247700,0.0,0.0
2025-07-10,23.63,24.04,23.48,23.82,54599800,0.0,0.0
2025-07-11,23.56,23.66,23.16,23.43,49367900,0.0,0.0
2025-07-14,23.24,23.4,22.88,23.3,48420500,0.0,0.0
2025-07-15,23.57,23.78,22.9,22.92,66099400,0.0,0.0
2025-07-16,22.99,23.13,22.25,22.69,58865900,0.0,0.0
2025-07-17,22.66,23.05,22.59,22.8,49384000,0.0,0.0
2025-07-18,23.22,23.59,22.9,23.1,60195600,0.0,0.0
2025-07-21,23.4,23.83,23.16,23.26,61658000,0.0,0.0
2025-07-22,23.34,23.54,23.08,23.24,53969800,0.0,0.0
2025-07-23,23.26,23.62,22.92,23.49,68711700,0.0,0.0
2025-07-24,23.49,23.58,22.6,22.63,131963300,0.0,0.0
2025-07-25,20.68,21.05,20.36,20.7,245077700,0.0,0.0
2025-07-28,20.82,21.29,20.65,20.68,86105600,0.0,0.0
2025-07-29,20.69,20.85,20.34,20.41,100831500,0.0,0.0
2025-07-30,20.43,20.62,20.08,20.34,67420300,0.0,0.0
2025-07-31,20.17,20.23,19.66,19.8,90665200,0.0,0.0
2025-08-01,19.5,19.55,18.97,19.31,86496100,0.0,0.0
2025-08-04,19.52,19.59,19.35,19.5,69249400,0.0,0.0
2025-08-05,19.7,20.54,19.68,20.19,97338200,0.0,0.0
2025-08-06,20.12,20.48,19.87,20.41,67074200,0.0,0.0
2025-08-07,20.0,20.44,19.6,19.77,131382800,0.0,0.0
2025-08-08,20.0,20.02,19.61,19.95,75415000,0.0,0.0
2025-08-11,20.45,21.6,20.44,20.65,175545600,0.0,0.0
2025-08-12,21.2,21.86,20.76,21.81,134153600,0.0,0.0
2025-08-13,21.62,22.3,21.36,22.22,86024400,0.0,0.0
2025-08-14,21.99,24.2,21.9,23.86,188052500,0.0,0.0
2025-08-15,25.01,25.65,24.11,24.56,310161100,0.0,0.0
2025-08-18,24.0,24.9,23.21,23.66,212515600,0.0,0.0
2025-08-19,24.94,26.53,24.94,25.31,297659200,0.0,0.0
2025-08-20,24.9,24.93,23.33,23.54,161149400,0.0,0.0
2025-08-21,23.53,23.57,22.78,23.5,97718300,0.0,0.0
2025-08-22,23.65,25.23,23.65,24.8,200266800,0.0,0.0
2025-08-25,25.5,25.88,24.44,24.55,156825600,0.0,0.0
2025-08-26,24.58,24.74,24.1,24.35,78558200,0.0,0.0
2025-08-27,24.19,24.99,24.05,24.85,90934400,0.0,0.0
2025-08-28,24.96,25.14,24.61,24.93,60035100,0.0,0.0
2025-08-29,24.76,24.97,24.28,24.35,63734400,0.0,0.0
2025-09-02,23.88,24.24,23.68,24.21,57661800,0.0,0.0
2025-09-03,24.09,24.09,23.72,24.0,47822900,0.0,0.0
2025-09-04,23.85,24.64,23.75,24.61,59056500,0.0,0.0
2025-09-05,24.6,24.71,24.17,24.49,55975300,0.0,0.0
2025-09-08,24.48,24.74,24.12,24.48,51122100,0.0,0.0
2025-09-09,24.53,24.81,24.27,24.44,42146200,0.0,0.0
2025-09-10,24.42,24.87,24.28,24.77,61600700,0.0,0.0
2025-09-11,24.76,24.93,24.57,24.61,55536900,0.0,0.0
2025-09-12,24.61,24.63,24.05,24.08,52672800,0.0,0.0
2025-09-15,24.33,25.46,24.22,24.77,83951600,0.0,0.0
2025-09-16,24.82,25.34,24.69,25.27,60336600,0.0,0.0
2025-09-17,25.08,25.26,24.45,24.9,63093700,0.0,0.0
2025-09-18,31.78,32.38,30.16,30.57,523908000,0.0,0.0
2025-09-19,30.38,30.63,29.33,29.58,225702900,0.0,0.0
2025-09-22,29.67,30.1,28.73,28.76,130314500,0.0,0.0
2025-09-23,28.99,30.2,28.82,29.34,126317900,0.0,0.0
2025-09-24,29.38,31.7,29.23,31.22,164458500,0.0,0.0
2025-09-25,31.61,34.25,31.21,33.99,295709300,0.0,0.0
2025-09-26,35.02,36.3,34.49,35.5,268583300,0.0,0.0
2025-09-29,34.52,35.05,33.73,34.48,152605900,0.0,0.0
2025-09-30,33.93,34.24,33.02,33.55,124818400,0.0,0.0
2025-10-01,33.53,36.06,33.5,35.94,162649700,0.0,0.0
2025-10-02,35.76,37.57,35.44,37.3,149361700,0.0,0.0
2025-10-03,37.95,38.08,36.45,36.83,125359300,0.0,0.0
2025-10-06,37.19,38.68,36.43,36.59,112086100,0.0,0.0
2025-10-07,36.64,38.05,36.35,37.17,111140200,0.0,0.0
2025-10-08,36.55,37.79,35.91,37.43,103202100,0.0,0.0
2025-10-09,37.53,38.1,36.86,37.8,89884700,0.0,0.0
2025-10-10,38.46,39.65,36.3,36.37,183063300,0.0,0.0
2025-10-13,36.44,37.51,36.28,37.22,104020700,0.0,0.0
2025-10-14,36.0,36.55,34.69,35.63,117908300,0.0,0.0
2025-10-15,36.4,37.49,35.64,37.15,99242700,0.0,0.0
2025-10-16,37.15,38.02,36.41,36.84,83357800,0.0,0.0
2025-10-17,36.36,38.38,36.08,37.01,119394700,0.0,0.0
2025-10-20,37.57,38.52,37.56,38.1,80230200,0.0,0.0
2025-10-21,38.14,38.35,37.67,38.12,73134900,0.0,0.0
2025-10-22,37.84,37.93,36.04,36.92,87099900,0.0,0.0
2025-10-23,36.6,38.4,36.43,38.16,121974200,0.0,0.0
2025-10-24,40.02,41.12,37.83,38.28,246380000,0.0,0.0
