# Stock data for NVDA from 2025-08-01 to 2026-02-13
# Total records: 136
# Data retrieved on: 2026-09-19 01:04:47

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-01,173.66,176.11,170.47,173.3,204529000,0.0,0.0
2025-08-04,174.73,179.76,174.09,179.56,148174600,0.0,0.0
2025-08-05,179.18,179.82,175.47,177.82,156407600,0.0,0.0
2025-08-06,175.9,179.46,175.82,178.98,137192300,0.0,0.0
2025-08-07,181.13,183.43,178.36,180.33,151878400,0.0,0.0
2025-08-08,181.11,182.85,179.96,182.25,123396700,0.0,0.0
2025-08-11,181.6,183.39,179.81,181.61,138323200,0.0,0.0
2025-08-12,182.51,184.03,179.02,182.71,145485700,0.0,0.0
2025-08-13,182.17,183.52,178.91,181.15,179871700,0.0,0.0
2025-08-14,179.31,182.57,179.02,181.57,129554000,0.0,0.0
2025-08-15,181.44,181.46,177.6,180.01,156602200,0.0,0.0
2025-08-18,180.16,182.49,180.15,181.56,132008000,0.0,0.0
2025-08-19,181.98,182.05,175.06,175.21,185229200,0.0,0.0
2025-08-20,174.74,175.57,168.39,174.97,215142700,0.0,0.0
2025-08-21,174.42,176.47,173.38,174.55,140040900,0.0,0.0
2025-08-22,172.19,178.15,170.78,177.55,172789400,0.0,0.0
2025-08-25,177.91,181.46,176.14,179.37,163012800,0.0,0.0
2025-08-26,179.62,181.94,178.37,181.33,168688200,0.0,0.0
2025-08-27,181.53,182.04,178.66,181.16,235518900,0.0,0.0
2025-08-28,180.38,184.02,175.98,179.73,281787800,0.0,0.0
2025-08-29,177.67,177.71,172.73,173.75,243257900,0.0,0.0
2025-09-02,169.58,171.96,166.81,170.36,231164900,0.0,0.0
2025-09-03,170.64,171.99,168.47,170.2,164424900,0.0,0.0
2025-09-04,170.15,171.44,169.0,171.24,141670100,0.0,0.0
2025-09-05,167.62,168.62,163.67,166.61,224441400,0.0,0.0
2025-09-08,167.14,170.54,166.94,167.9,163769100,0.0,0.0
2025-09-09,168.68,170.56,166.33,170.34,157548400,0.0,0.0
2025-09-10,176.21,178.85,175.04,176.9,226852000,0.0,0.0
2025-09-11,179.25,179.85,176.06,176.75,151159300,0.01,0.0
2025-09-12,177.35,178.17,176.03,177.4,124911000,0.0,0.0
2025-09-15,175.25,178.42,174.09,177.33,147061600,0.0,0.0
2025-09-16,176.58,177.08,173.96,174.46,140737800,0.0,0.0
2025-09-17,172.23,172.79,168.01,169.88,211843800,0.0,0.0
2025-09-18,173.56,176.68,172.55,175.82,191763300,0.0,0.0
2025-09-19,175.35,177.65,174.76,176.25,237182100,0.0,0.0
2025-09-22,174.88,184.11,174.29,183.17,269637000,0.0,0.0
2025-09-23,181.54,181.98,175.79,178.0,192559600,0.0,0.0
2025-09-24,179.34,179.35,174.98,176.55,143564100,0.0,0.0
2025-09-25,174.06,179.83,172.72,177.27,191586700,0.0,0.0
2025-09-26,177.74,179.34,174.51,177.76,148573700,0.0,0.0
2025-09-29,180.0,183.56,179.89,181.42,193063500,0.0,0.0
2025-09-30,181.64,186.9,181.05,186.13,236981000,0.0,0.0
2025-10-01,184.8,187.69,183.46,186.79,173844900,0.0,0.0
2025-10-02,189.15,190.59,187.61,188.44,136805800,0.0,0.0
2025-10-03,188.74,189.91,184.94,187.17,137596900,0.0,0.0
2025-10-06,185.06,186.78,182.89,185.1,157678100,0.0,0.0
2025-10-07,185.78,188.61,183.56,184.6,140088000,0.0,0.0
2025-10-08,186.12,189.15,186.09,188.66,130168900,0.0,0.0
2025-10-09,191.77,194.83,190.6,192.11,182997200,0.0,0.0
2025-10-10,193.05,195.15,181.61,182.72,268774400,0.0,0.0
