# Stock data for NVDA from 2024-08-01 to 2026-02-13
# Total records: 386
# Data retrieved on: 2026-09-19 01:09:25

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-01,117.21,119.83,106.52,108.91,523462300,0.0,0.0
2024-08-02,103.47,108.42,101.09,106.97,482027500,0.0,0.0
2024-08-05,91.81,103.12,90.44,100.17,552842400,0.0,0.0
2024-08-06,103.55,107.41,100.27,103.96,409012100,0.0,0.0
2024-08-07,107.51,108.5,98.42,98.64,411440400,0.0,0.0
2024-08-08,101.72,105.21,97.25,104.68,391910000,0.0,0.0
2024-08-09,105.35,106.31,103.14,104.46,290844200,0.0,0.0
2024-08-12,106.03,110.76,105.97,108.72,325559900,0.0,0.0
2024-08-13,112.13,115.91,111.27,115.82,312646700,0.0,0.0
2024-08-14,118.2,118.27,113.76,117.75,339246400,0.0,0.0
2024-08-15,118.43,122.9,117.15,122.52,318086700,0.0,0.0
2024-08-16,121.6,124.65,120.85,124.24,302589900,0.0,0.0
2024-08-19,123.94,129.64,123.08,129.64,318333600,0.0,0.0
2024-08-20,128.05,129.52,125.54,126.9,300087400,0.0,0.0
2024-08-21,126.97,128.99,126.31,128.15,257883600,0.0,0.0
2024-08-22,129.66,130.39,122.76,123.4,376189100,0.0,0.0
2024-08-23,125.51,129.24,124.87,129.01,323230300,0.0,0.0
2024-08-26,129.21,130.9,124.03,126.11,331964700,0.0,0.0
2024-08-27,124.7,128.84,123.54,127.95,303134600,0.0,0.0
2024-08-28,127.77,127.98,122.3,125.26,448101100,0.0,0.0
2024-08-29,121.02,124.09,116.39,117.27,453023300,0.0,0.0
2024-08-30,119.2,121.41,116.9,119.04,333751600,0.0,0.0
2024-09-03,115.69,115.89,106.99,107.7,477155100,0.0,0.0
2024-09-04,105.12,112.96,103.83,105.92,372470300,0.0,0.0
2024-09-05,104.7,109.35,104.47,106.91,306850700,0.0,0.0
2024-09-06,107.74,107.85,100.67,102.55,413638100,0.0,0.0
2024-09-09,104.59,106.26,103.4,106.18,273912000,0.0,0.0
2024-09-10,107.51,109.1,104.66,107.8,268283700,0.0,0.0
2024-09-11,109.09,116.87,107.12,116.59,441422400,0.0,0.0
2024-09-12,116.53,120.47,115.07,118.82,366052700,0.01,0.0
2024-09-13,118.76,119.64,117.29,118.78,238358300,0.0,0.0
2024-09-16,116.48,117.86,114.05,116.47,248772300,0.0,0.0
2024-09-17,117.85,118.48,114.52,115.28,231925900,0.0,0.0
2024-09-18,115.58,117.39,112.92,113.07,310318900,0.0,0.0
2024-09-19,117.04,119.34,116.94,117.55,293506400,0.0,0.0
2024-09-20,116.75,118.3,115.08,115.69,382462400,0.0,0.0
2024-09-23,116.24,116.68,114.55,115.95,206228500,0.0,0.0
2024-09-24,116.21,121.47,115.07,120.55,354966800,0.0,0.0
2024-09-25,121.69,124.61,121.28,123.18,284692900,0.0,0.0
2024-09-26,126.46,127.33,121.47,123.71,302582900,0.0,0.0
2024-09-27,123.64,123.7,118.94,121.08,271009200,0.0,0.0
2024-09-30,117.99,121.17,117.83,121.12,226553700,0.0,0.0
2024-10-01,121.44,122.11,115.48,116.69,302094500,0.0,0.0
2024-10-02,116.13,119.06,114.83,118.53,221845900,0.0,0.0
2024-10-03,120.6,124.03,120.02,122.52,277118000,0.0,0.0
2024-10-04,124.61,124.71,121.5,124.59,243678100,0.0,0.0
2024-10-07,124.66,130.29,124.62,127.38,346250200,0.0,0.0
2024-10-08,129.91,133.12,129.07,132.53,285722500,0.0,0.0
2024-10-09,133.75,134.16,131.03,132.3,246191600,0.0,0.0
2024-10-10,131.56,134.64,130.65,134.45,242311300,0.0,0.0
2024-10-11,133.65,135.42,133.3,134.44,170209500,0.0,0.0
2024-10-14,136.1,139.23,135.94,137.7,232347700,0.0,0.0
2024-10-15,137.5,138.2,128.4,131.25,377831000,0.0,0.0
2024-10-16,133.62,136.25,131.23,135.36,264879700,0.0,0.0
2024-10-17,138.97,140.51,136.5,136.56,306435900,0.0,0.0
2024-10-18,138.3,138.53,136.91,137.63,176090200,0.0,0.0
2024-10-21,137.76,143.33,137.63,143.33,264554500,0.0,0.0
2024-10-22,142.53,144.03,141.4,143.21,226311600,0.0,0.0
2024-10-23,141.65,142.05,137.09,139.19,285930000,0.0,0.0
2024-10-24,140.44,140.97,138.09,140.03,172354900,0.0,0.0
2024-10-25,140.55,143.74,140.42,141.16,205122100,0.0,0.0
2024-10-28,142.62,142.76,139.68,140.14,173586700,0.0,0.0
2024-10-29,139.91,141.88,138.53,140.87,157593600,0.0,0.0
2024-10-30,139.17,139.95,136.44,138.97,179418100,0.0,0.0
2024-10-31,137.23,137.24,131.76,132.4,270039600,0.0,0.0
2024-11-01,134.34,136.94,134.21,135.04,207127800,0.0,0.0
2024-11-04,136.84,138.59,135.21,135.69,187528200,0.0,0.0
2024-11-05,137.08,139.99,136.96,139.54,160537400,0.0,0.0
2024-11-06,142.58,146.1,141.58,145.22,242043900,0.0,0.0
2024-11-07,146.0,148.53,145.78,148.48,207323300,0.0,0.0
2024-11-08,148.37,149.37,145.87,147.23,175665800,0.0,0.0
2024-11-11,148.28,148.45,143.19,144.87,182325600,0.0,0.0
2024-11-12,146.39,149.25,145.62,147.89,198634700,0.0,0.0
2024-11-13,148.67,148.93,145.51,145.88,191903300,0.0,0.0
2024-11-14,147.24,148.6,145.16,146.37,194463300,0.0,0.0
2024-11-15,144.48,144.85,139.71,141.6,250132900,0.0,0.0
2024-11-18,139.13,141.17,136.78,139.77,221205300,0.0,0.0
2024-11-19,140.94,146.74,140.61,146.62,227834900,0.0,0.0
2024-11-20,147.02,147.17,142.35,145.5,309871700,0.0,0.0
2024-11-21,148.95,152.48,140.32,146.28,400946600,0.0,0.0
2024-11-22,145.54,146.77,140.72,141.57,236406200,0.0,0.0
2024-11-25,141.61,141.67,135.46,135.66,344941900,0.0,0.0
2024-11-26,137.33,138.93,135.31,136.55,190287700,0.0,0.0
2024-11-27,134.65,136.85,131.45,134.98,226370900,0.0,0.0
2024-11-29,136.41,138.98,135.69,137.88,141863200,0.0,0.0
2024-12-02,138.46,140.07,137.45,138.26,171682800,0.0,0.0
2024-12-03,137.89,140.16,137.58,139.88,164414000,0.0,0.0
2024-12-04,141.62,145.4,139.91,144.75,231224300,0.0,0.0
2024-12-05,144.73,146.16,143.57,144.68,172621200,0.01,0.0
2024-12-06,144.22,145.32,140.94,142.07,188505600,0.0,0.0
2024-12-09,138.61,139.59,136.77,138.45,189308600,0.0,0.0
2024-12-10,138.65,141.45,133.44,134.72,210020900,0.0,0.0
2024-12-11,137.0,139.8,134.86,138.95,184905200,0.0,0.0
2024-12-12,136.72,138.08,135.45,136.98,159211400,0.0,0.0
2024-12-13,138.58,139.24,132.19,133.9,231514900,0.0,0.0
2024-12-16,133.83,134.05,130.08,131.66,237951100,0.0,0.0
2024-12-17,128.75,131.25,126.53,130.05,259410300,0.0,0.0
2024-12-18,133.51,136.34,127.95,128.57,277444500,0.0,0.0
2024-12-19,131.42,133.68,129.21,130.34,209719200,0.0,0.0
2024-12-20,129.47,134.93,127.89,134.35,306528600,0.0,0.0
2024-12-23,135.92,139.43,134.77,139.31,176053500,0.0,0.0
2024-12-24,139.63,141.53,138.29,139.85,105157000,0.0,0.0
2024-12-26,139.34,140.48,137.37,139.57,116205600,0.0,0.0
2024-12-27,138.19,138.66,134.36,136.65,170582600,0.0,0.0
2024-12-30,134.48,139.9,133.67,137.13,167734700,0.0,0.0
2024-12-31,137.67,137.71,133.48,133.94,155659200,0.0,0.0
2025-01-02,135.65,138.52,134.28,137.95,198247200,0.0,0.0
2025-01-03,139.64,144.52,139.37,144.09,229322500,0.0,0.0
2025-01-06,148.2,151.76,147.43,149.04,265377400,0.0,0.0
2025-01-07,152.63,152.73,139.64,139.77,351782200,0.0,0.0
2025-01-08,142.21,143.57,137.2,139.74,227349900,0.0,0.0
2025-01-10,137.09,139.56,133.87,135.56,207602500,0.0,0.0
2025-01-13,129.65,133.14,129.17,132.88,204808900,0.0,0.0
2025-01-14,135.7,136.02,129.71,131.42,195590500,0.0,0.0
2025-01-15,133.3,136.09,130.95,135.88,185217300,0.0,0.0
2025-01-16,138.28,138.39,133.14,133.22,209235600,0.0,0.0
2025-01-17,136.33,138.14,135.11,137.35,201188800,0.0,0.0
2025-01-21,138.8,141.46,136.73,140.46,197749000,0.0,0.0
2025-01-22,144.28,147.4,143.3,146.69,237651400,0.0,0.0
2025-01-23,144.67,146.85,143.35,146.84,155915500,0.0,0.0
2025-01-24,147.98,148.58,141.51,142.25,234657600,0.0,0.0
2025-01-27,124.47,128.07,116.4,118.11,818830900,0.0,0.0
2025-01-28,121.49,128.66,115.95,128.65,579666400,0.0,0.0
2025-01-29,126.17,126.56,119.74,123.38,467120600,0.0,0.0
2025-01-30,122.78,124.67,117.79,124.32,392925500,0.0,0.0
2025-01-31,123.46,127.52,118.88,119.76,388161100,0.0,0.0
2025-02-03,114.45,118.26,112.72,116.36,371235700,0.0,0.0
2025-02-04,116.66,120.88,116.4,118.34,256550000,0.0,0.0
2025-02-05,121.44,124.67,120.45,124.5,262230800,0.0,0.0
2025-02-06,127.09,128.43,124.88,128.34,251483600,0.0,0.0
2025-02-07,128.88,130.03,124.67,129.5,228186300,0.0,0.0
2025-02-10,129.75,134.65,129.62,133.22,216989100,0.0,0.0
2025-02-11,132.23,134.13,130.68,132.45,178902400,0.0,0.0
2025-02-12,129.68,131.9,128.74,130.8,160278600,0.0,0.0
2025-02-13,131.22,136.14,130.83,134.94,197430000,0.0,0.0
2025-02-14,136.12,138.89,135.15,138.49,195479600,0.0,0.0
2025-02-18,140.9,143.07,137.57,139.04,219176600,0.0,0.0
2025-02-19,139.15,140.99,136.86,138.87,167536000,0.0,0.0
2025-02-20,139.66,140.29,136.43,139.74,143903600,0.0,0.0
2025-02-21,139.67,141.09,133.68,134.08,228217600,0.0,0.0
2025-02-24,136.2,138.23,129.74,129.94,251381100,0.0,0.0
2025-02-25,129.64,129.86,124.12,126.3,271428700,0.0,0.0
2025-02-26,129.65,133.38,128.15,130.94,322553800,0.0,0.0
2025-02-27,134.65,134.66,119.7,119.84,443175800,0.0,0.0
2025-02-28,117.71,124.76,116.1,124.59,389091100,0.0,0.0
2025-03-03,123.19,123.38,111.99,113.76,411381400,0.0,0.0
2025-03-04,110.36,119.0,109.82,115.69,398163300,0.0,0.0
2025-03-05,117.27,117.97,114.21,116.99,284337900,0.0,0.0
2025-03-06,113.23,115.05,109.93,110.28,321181900,0.0,0.0
2025-03-07,110.96,113.18,107.28,112.4,341755500,0.0,0.0
2025-03-10,109.61,111.56,105.19,106.7,366487400,0.0,0.0
2025-03-11,106.71,111.95,104.5,108.48,354865700,0.0,0.0
2025-03-12,113.83,116.47,112.6,115.45,323857500,0.01,0.0
2025-03-13,116.74,117.46,113.5,115.29,299033100,0.0,0.0
2025-03-14,118.31,121.57,117.85,121.36,277593500,0.0,0.0
2025-03-17,122.43,122.58,117.73,119.23,255501500,0.0,0.0
2025-03-18,117.7,118.72,114.25,115.14,299686900,0.0,0.0
2025-03-19,116.97,120.15,115.39,117.22,273426200,0.0,0.0
2025-03-20,116.26,119.9,116.18,118.23,248829700,0.0,0.0
2025-03-21,116.65,117.69,115.13,117.4,266498500,0.0,0.0
2025-03-24,119.58,121.91,119.04,121.1,228452500,0.0,0.0
2025-03-25,120.25,120.98,118.62,120.39,167447200,0.0,0.0
2025-03-26,118.43,118.54,112.43,113.47,293463300,0.0,0.0
2025-03-27,111.07,114.16,110.38,111.15,236902100,0.0,0.0
2025-03-28,111.21,112.59,108.8,109.39,229872500,0.0,0.0
2025-03-31,104.87,110.68,103.39,108.11,299212700,0.0,0.0
2025-04-01,108.25,109.92,106.2,109.87,222614000,0.0,0.0
2025-04-02,107.02,111.7,106.52,110.14,220601200,0.0,0.0
2025-04-03,103.25,105.36,101.34,101.54,338769400,0.0,0.0
2025-04-04,98.66,99.88,91.88,94.07,532273800,0.0,0.0
2025-04-07,87.24,101.49,86.4,97.39,611041300,0.0,0.0
2025-04-08,103.55,105.58,94.22,96.06,476243400,0.0,0.0
2025-04-09,98.64,114.81,97.28,114.04,612918300,0.0,0.0
2025-04-10,109.09,110.58,98.9,107.3,437812400,0.0,0.0
2025-04-11,108.23,111.27,107.21,110.65,313417300,0.0,0.0
2025-04-14,113.82,114.0,108.8,110.43,264705000,0.0,0.0
2025-04-15,110.69,113.33,110.22,111.92,228966900,0.0,0.0
2025-04-16,104.29,106.52,100.2,104.23,397016900,0.0,0.0
2025-04-17,104.19,104.21,99.8,101.23,292517500,0.0,0.0
2025-04-21,98.52,99.19,94.8,96.67,288501100,0.0,0.0
2025-04-22,98.53,99.56,97.04,98.64,241004800,0.0,0.0
2025-04-23,104.26,104.54,101.76,102.45,247526000,0.0,0.0
2025-04-24,103.22,106.27,102.85,106.16,220815000,0.0,0.0
2025-04-25,106.58,111.64,105.46,110.73,251064700,0.0,0.0
2025-04-28,109.41,110.09,105.75,108.46,207708500,0.0,0.0
2025-04-29,107.4,109.92,107.17,108.75,170444300,0.0,0.0
2025-04-30,104.21,108.65,103.82,108.65,235044600,0.0,0.0
2025-05-01,112.8,114.65,111.02,111.33,236121500,0.0,0.0
2025-05-02,113.89,115.11,113.08,114.21,190194800,0.0,0.0
2025-05-05,112.63,114.38,112.38,113.53,133163200,0.0,0.0
2025-05-06,111.2,114.45,110.54,113.25,158525600,0.0,0.0
2025-05-07,112.77,117.38,112.0,116.77,206758800,0.0,0.0
2025-05-08,117.95,118.38,115.56,117.07,198428100,0.0,0.0
2025-05-09,117.05,117.93,114.92,116.36,132972200,0.0,0.0
2025-05-12,121.66,122.69,119.98,122.69,225023300,0.0,0.0
2025-05-13,124.67,130.89,124.16,129.6,330430100,0.0,0.0
2025-05-14,132.86,135.1,131.35,135.0,281180800,0.0,0.0
2025-05-15,133.95,135.96,132.33,134.49,226632600,0.0,0.0
2025-05-16,135.88,136.01,133.12,135.06,226542500,0.0,0.0
2025-05-19,132.06,135.53,132.06,135.23,193154600,0.0,0.0
2025-05-20,133.95,134.24,132.29,134.04,161514200,0.0,0.0
2025-05-21,132.73,137.05,130.26,131.47,270608700,0.0,0.0
2025-05-22,131.9,133.91,131.22,132.5,187344000,0.0,0.0
2025-05-23,129.67,132.35,128.84,130.96,198821300,0.0,0.0
2025-05-27,133.81,135.32,132.97,135.16,192953600,0.0,0.0
2025-05-28,135.69,136.9,134.45,134.47,304021100,0.0,0.0
2025-05-29,141.89,143.13,137.56,138.84,369241900,0.0,0.0
2025-05-30,138.37,139.27,132.59,134.79,333170900,0.0,0.0
2025-06-02,135.15,137.77,135.06,137.03,197663100,0.0,0.0
2025-06-03,138.43,141.64,137.6,140.86,225578800,0.0,0.0
2025-06-04,141.83,142.03,139.19,141.56,167120800,0.0,0.0
2025-06-05,141.81,143.64,138.48,139.64,231397900,0.0,0.0
2025-06-06,142.15,142.91,141.15,141.36,153986200,0.0,0.0
2025-06-09,142.83,144.64,141.58,142.27,185114500,0.0,0.0
2025-06-10,142.33,143.93,141.17,143.6,155881900,0.0,0.0
2025-06-11,144.26,144.64,141.52,142.48,167694000,0.01,0.0
2025-06-12,141.62,144.65,141.5,144.65,162365000,0.0,0.0
2025-06-13,142.13,143.23,140.51,141.62,180820600,0.0,0.0
2025-06-16,143.0,145.82,142.85,144.34,183133700,0.0,0.0
2025-06-17,144.14,144.86,143.43,143.77,139108000,0.0,0.0
2025-06-18,143.66,145.29,142.77,145.12,161494100,0.0,0.0
2025-06-20,145.09,145.84,142.3,143.5,242956200,0.0,0.0
2025-06-23,142.15,144.43,141.68,143.82,154308900,0.0,0.0
2025-06-24,145.2,147.6,145.14,147.54,187566100,0.0,0.0
2025-06-25,148.9,154.07,148.89,153.93,269146500,0.0,0.0
2025-06-26,155.6,156.34,153.62,154.64,198145700,0.0,0.0
2025-06-27,155.66,158.32,154.88,157.36,263234500,0.0,0.0
2025-06-30,158.01,158.27,155.58,157.6,194580300,0.0,0.0
2025-07-01,155.91,156.82,151.12,152.92,213143600,0.0,0.0
2025-07-02,152.61,157.21,152.6,156.87,171224100,0.0,0.0
2025-07-03,157.98,160.59,157.38,158.95,143716100,0.0,0.0
2025-07-07,157.81,158.92,156.96,157.85,140139000,0.0,0.0
2025-07-08,158.94,159.83,158.0,159.61,138133000,0.0,0.0
2025-07-09,160.83,164.02,160.77,162.48,183656400,0.0,0.0
2025-07-10,163.92,164.1,161.21,163.7,167704100,0.0,0.0
2025-07-11,163.32,167.48,163.07,164.52,193633300,0.0,0.0
2025-07-14,164.97,165.09,161.62,163.67,136975800,0.0,0.0
2025-07-15,170.77,171.98,168.79,170.28,230627400,0.0,0.0
2025-07-16,170.64,171.33,168.49,170.95,158831500,0.0,0.0
2025-07-17,171.6,173.73,170.41,172.58,160841100,0.0,0.0
2025-07-18,173.22,173.82,170.84,171.99,146456400,0.0,0.0
2025-07-21,172.33,172.96,170.58,170.96,123126100,0.0,0.0
2025-07-22,170.92,170.97,164.18,166.62,193114300,0.0,0.0
2025-07-23,169.12,170.84,167.56,170.36,154082200,0.0,0.0
2025-07-24,172.02,173.4,170.88,173.31,128984600,0.0,0.0
2025-07-25,173.19,174.29,172.54,173.08,122316800,0.0,0.0
2025-07-28,173.59,176.57,173.54,176.32,140023500,0.0,0.0
2025-07-29,177.52,178.94,174.59,175.08,154077500,0.0,0.0
2025-07-30,176.08,179.45,175.61,178.83,174312200,0.0,0.0
2025-07-31,182.45,182.85,175.5,177.43,221685400,0.0,0.0
