# Stock data for INTC from 2025-08-01 to 2026-02-13
# Total records: 136
# Data retrieved on: 2026-09-19 01:15:35

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-01,19.5,19.55,18.97,19.31,86496100,0.0,0.0
2025-08-04,19.52,19.59,19.35,19.5,69249400,0.0,0.0
2025-08-05,19.7,20.54,19.68,20.19,97338200,0.0,0.0
2025-08-06,20.12,20.48,19.87,20.41,67074200,0.0,0.0
2025-08-07,20.0,20.44,19.6,19.77,131382800,0.0,0.0
2025-08-08,20.0,20.02,19.61,19.95,75415000,0.0,0.0
2025-08-11,20.45,21.6,20.44,20.65,175545600,0.0,0.0
2025-08-12,21.2,21.86,20.76,21.81,134153600,0.0,0.0
2025-08-13,21.62,22.3,21.36,22.22,86024400,0.0,0.0
2025-08-14,21.99,24.2,21.9,23.86,188052500,0.0,0.0
2025-08-15,25.01,25.65,24.11,24.56,310161100,0.0,0.0
2025-08-18,24.0,24.9,23.21,23.66,212515600,0.0,0.0
2025-08-19,24.94,26.53,24.94,25.31,297659200,0.0,0.0
2025-08-20,24.9,24.93,23.33,23.54,161149400,0.0,0.0
2025-08-21,23.53,23.57,22.78,23.5,97718300,0.0,0.0
2025-08-22,23.65,25.23,23.65,24.8,200266800,0.0,0.0
2025-08-25,25.5,25.88,24.44,24.55,156825600,0.0,0.0
2025-08-26,24.58,24.74,24.1,24.35,78558200,0.0,0.0
2025-08-27,24.19,24.99,24.05,24.85,90934400,0.0,0.0
2025-08-28,24.96,25.14,24.61,24.93,60035100,0.0,0.0
2025-08-29,24.76,24.97,24.28,24.35,63734400,0.0,0.0
2025-09-02,23.88,24.24,23.68,24.21,57661800,0.0,0.0
2025-09-03,24.09,24.09,23.72,24.0,47822900,0.0,0.0
2025-09-04,23.85,24.64,23.75,24.61,59056500,0.0,0.0
2025-09-05,24.6,24.71,24.17,24.49,55975300,0.0,0.0
2025-09-08,24.48,24.74,24.12,24.48,51122100,0.0,0.0
2025-09-09,24.53,24.81,24.27,24.44,42146200,0.0,0.0
2025-09-10,24.42,24.87,24.28,24.77,61600700,0.0,0.0
2025-09-11,24.76,24.93,24.57,24.61,55536900,0.0,0.0
2025-09-12,24.61,24.63,24.05,24.08,52672800,0.0,0.0
2025-09-15,24.33,25.46,24.22,24.77,83951600,0.0,0.0
2025-09-16,24.82,25.34,24.69,25.27,60336600,0.0,0.0
2025-09-17,25.08,25.26,24.45,24.9,63093700,0.0,0.0
2025-09-18,31.78,32.38,30.16,30.57,523908000,0.0,0.0
2025-09-19,30.38,30.63,29.33,29.58,225702900,0.0,0.0
2025-09-22,29.67,30.1,28.73,28.76,130314500,0.0,0.0
2025-09-23,28.99,30.2,28.82,29.34,126317900,0.0,0.0
2025-09-24,29.38,31.7,29.23,31.22,164458500,0.0,0.0
2025-09-25,31.61,34.25,31.21,33.99,295709300,0.0,0.0
2025-09-26,35.02,36.3,34.49,35.5,268583300,0.0,0.0
2025-09-29,34.52,35.05,33.73,34.48,152605900,0.0,0.0
2025-09-30,33.93,34.24,33.02,33.55,124818400,0.0,0.0
2025-10-01,33.53,36.06,33.5,35.94,162649700,0.0,0.0
2025-10-02,35.76,37.57,35.44,37.3,149361700,0.0,0.0
2025-10-03,37.95,38.08,36.45,36.83,125359300,0.0,0.0
2025-10-06,37.19,38.68,36.43,36.59,112086100,0.0,0.0
2025-10-07,36.64,38.05,36.35,37.17,111140200,0.0,0.0
2025-10-08,36.55,37.79,35.91,37.43,103202100,0.0,0.0
2025-10-09,37.53,38.1,36.86,37.8,89884700,0.0,0.0
2025-10-10,38.46,39.65,36.3,36.37,183063300,0.0,0.0
2025-10-13,36.44,37.51,36.28,37.22,104020700,0.0,0.0
2025-10-14,36.0,36.55,34.69,35.63,117908300,0.0,0.0
2025-10-15,36.4,37.49,35.64,37.15,99242700,0.0,0.0
2025-10-16,37.15,38.02,36.41,36.84,83357800,0.0,0.0
2025-10-17,36.36,38.38,36.08,37.01,119394700,0.0,0.0
2025-10-20,37.57,38.52,37.56,38.1,80230200,0.0,0.0
2025-10-21,38.14,38.35,37.67,38.12,73134900,0.0,0.0
2025-10-22,37.84,37.93,36.04,36.92,87099900,0.0,0.0
2025-10-23,36.6,38.4,36.43,38.16,121974200,0.0,0.0
2025-10-24,40.02,41.12,37.83,38.28,246380000,0.0,0.0
2025-10-27,38.39,40.67,38.23,39.54,160007600,0.0,0.0
2025-10-28,39.59,42.48,39.54,41.53,181256400,0.0,0.0
2025-10-29,41.6,42.04,40.92,41.34,106962900,0.0,0.0
2025-10-30,40.97,41.43,40.11,40.16,84855500,0.0,0.0
2025-10-31,40.68,40.83,39.79,39.99,80471400,0.0,0.0
2025-11-03,40.25,40.45,39.05,39.5,61267500,0.0,0.0
2025-11-04,38.14,38.25,36.63,37.03,102250300,0.0,0.0
2025-11-05,37.42,38.69,37.11,38.38,74631600,0.0,0.0
2025-11-06,38.34,39.84,36.8,37.24,77629900,0.0,0.0
2025-11-07,37.26,38.27,36.97,38.13,95521400,0.0,0.0
2025-11-10,38.93,39.53,37.97,38.45,77820300,0.0,0.0
2025-11-11,38.15,38.22,37.49,37.88,53741900,0.0,0.0
2025-11-12,38.06,38.2,37.35,37.89,53876000,0.0,0.0
2025-11-13,37.27,37.31,35.45,35.91,95593200,0.0,0.0
2025-11-14,35.03,36.1,34.62,35.52,71716200,0.0,0.0
2025-11-17,35.45,35.73,34.23,34.71,72580100,0.0,0.0
2025-11-18,34.25,34.76,33.57,34.33,61504800,0.0,0.0
2025-11-19,34.33,35.75,34.25,35.11,67115500,0.0,0.0
2025-11-20,36.0,36.68,33.48,33.62,96389100,0.0,0.0
2025-11-21,33.51,34.98,32.89,34.5,105641700,0.0,0.0
2025-11-24,34.97,36.16,34.69,35.79,103804200,0.0,0.0
2025-11-25,35.55,36.13,34.68,35.83,62203300,0.0,0.0
2025-11-26,36.2,37.24,36.13,36.81,54563400,0.0,0.0
2025-11-28,37.4,40.59,37.34,40.56,95799500,0.0,0.0
2025-12-01,39.86,40.38,39.6,40.01,74534900,0.0,0.0
2025-12-02,40.47,43.68,40.05,43.47,167205800,0.0,0.0
2025-12-03,43.39,44.02,42.51,43.76,91957200,0.0,0.0
2025-12-04,43.26,43.28,40.14,40.5,107850200,0.0,0.0
2025-12-05,41.16,42.83,41.15,41.41,103042000,0.0,0.0
2025-12-08,41.94,42.12,39.7,40.3,93953600,0.0,0.0
2025-12-09,40.73,41.26,40.03,40.5,61877200,0.0,0.0
2025-12-10,40.11,40.99,38.89,40.78,75974900,0.0,0.0
2025-12-11,40.07,40.19,39.08,39.51,59096800,0.0,0.0
2025-12-12,39.25,40.03,37.62,37.81,87784500,0.0,0.0
2025-12-15,38.33,38.48,37.32,37.51,60898500,0.0,0.0
2025-12-16,37.58,37.96,36.92,37.31,50490300,0.0,0.0
2025-12-17,37.59,37.84,35.97,36.05,54792000,0.0,0.0
2025-12-18,37.38,37.49,35.67,36.28,69468400,0.0,0.0
2025-12-19,36.48,37.58,36.44,36.82,163221300,0.0,0.0
2025-12-22,37.89,37.9,36.29,36.37,51685400,0.0,0.0
2025-12-23,36.24,36.8,36.03,36.35,35958000,0.0,0.0
2025-12-24,35.17,36.18,34.95,36.16,37443800,0.0,0.0
2025-12-26,36.17,36.49,35.85,36.2,28779400,0.0,0.0
2025-12-29,36.01,36.8,35.82,36.68,38062300,0.0,0.0
2025-12-30,36.91,38.26,36.82,37.3,61935300,0.0,0.0
2025-12-31,37.4,37.58,36.87,36.9,51524700,0.0,0.0
2026-01-02,37.77,39.86,37.76,39.38,95396400,0.0,0.0
2026-01-05,41.59,42.1,39.27,39.37,96665400,0.0,0.0
2026-01-06,39.86,40.31,38.95,40.04,66395100,0.0,0.0
2026-01-07,40.18,44.57,40.12,42.63,166028400,0.0,0.0
2026-01-08,42.62,43.34,40.68,41.11,88242000,0.0,0.0
2026-01-09,41.83,45.73,41.57,45.55,186691400,0.0,0.0
2026-01-12,44.24,45.45,43.89,44.06,101989100,0.0,0.0
2026-01-13,45.89,48.24,45.22,47.29,168656400,0.0,0.0
2026-01-14,48.95,49.0,47.42,48.72,148225800,0.0,0.0
2026-01-15,49.35,50.39,47.83,48.32,132328900,0.0,0.0
2026-01-16,49.27,50.21,46.71,46.96,127314700,0.0,0.0
2026-01-20,47.3,50.23,47.0,48.56,150153000,0.0,0.0
2026-01-21,50.32,54.41,50.15,54.25,220565300,0.0,0.0
2026-01-22,54.21,54.6,53.08,54.32,190066400,0.0,0.0
2026-01-23,46.86,48.13,44.45,45.07,294675400,0.0,0.0
2026-01-26,44.28,44.46,42.28,42.49,149407800,0.0,0.0
2026-01-27,43.97,44.53,43.1,43.93,121832200,0.0,0.0
2026-01-28,46.6,49.29,46.32,48.78,201995100,0.0,0.0
2026-01-29,47.56,48.77,46.99,48.66,124256600,0.0,0.0
2026-01-30,48.98,49.58,45.96,46.47,114920100,0.0,0.0
2026-02-02,45.63,49.84,45.5,48.81,101414600,0.0,0.0
2026-02-03,50.06,51.49,48.43,49.25,122205100,0.0,0.0
2026-02-04,49.54,49.7,47.0,48.6,128702300,0.0,0.0
2026-02-05,47.59,50.86,46.79,48.24,114307800,0.0,0.0
2026-02-06,49.1,51.3,48.83,50.59,115600200,0.0,0.0
2026-02-09,49.59,51.22,47.59,50.24,94841400,0.0,0.0
2026-02-10,50.41,50.54,46.77,47.13,99832900,0.0,0.0
2026-02-11,48.11,49.55,46.86,48.29,107681200,0.0,0.0
2026-02-12,47.8,48.95,46.19,46.48,88321200,0.0,0.0
2026-02-13,45.76,47.69,44.97,46.79,69740400,0.0,0.0
