# Stock data for PFE from 2025-08-01 to 2026-02-13
# Total records: 136
# Data retrieved on: 2026-09-19 01:15:37

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-01,21.77,21.98,21.6,21.95,51332700,0.0,0.0
2025-08-04,21.9,22.13,21.87,21.99,57010700,0.0,0.0
2025-08-05,22.68,23.26,22.68,23.13,113955100,0.0,0.0
2025-08-06,23.06,23.09,22.3,22.36,65689200,0.0,0.0
2025-08-07,22.59,22.87,22.37,22.64,45494400,0.0,0.0
2025-08-08,22.7,23.0,22.58,22.97,36377000,0.0,0.0
2025-08-11,22.99,23.29,22.92,22.97,38115700,0.0,0.0
2025-08-12,23.04,23.15,22.87,23.03,34402700,0.0,0.0
2025-08-13,23.13,23.55,23.12,23.51,40176500,0.0,0.0
2025-08-14,23.45,23.53,23.19,23.46,32514000,0.0,0.0
2025-08-15,23.57,23.64,23.33,23.49,31844800,0.0,0.0
2025-08-18,23.49,23.58,23.37,23.43,35623300,0.0,0.0
2025-08-19,23.49,23.76,23.46,23.66,29170500,0.0,0.0
2025-08-20,23.73,24.01,23.68,23.72,38111000,0.0,0.0
2025-08-21,23.74,24.19,23.71,24.05,37068100,0.0,0.0
2025-08-22,24.2,24.4,24.07,24.18,34560500,0.0,0.0
2025-08-25,24.18,24.19,23.46,23.49,32684200,0.0,0.0
2025-08-26,23.49,23.59,23.24,23.29,43938700,0.0,0.0
2025-08-27,23.37,23.52,23.22,23.43,31840300,0.0,0.0
2025-08-28,23.43,23.43,22.9,22.99,44306800,0.0,0.0
2025-08-29,23.06,23.25,22.9,23.14,37030000,0.0,0.0
2025-09-02,23.11,23.43,23.09,23.34,44725000,0.0,0.0
2025-09-03,23.25,23.47,23.1,23.17,30957600,0.0,0.0
2025-09-04,23.16,23.16,22.75,22.93,41695500,0.0,0.0
2025-09-05,22.96,23.26,22.9,23.25,34613200,0.0,0.0
2025-09-08,23.27,23.33,22.72,22.94,49242900,0.0,0.0
2025-09-09,22.94,23.17,22.9,23.09,32751300,0.0,0.0
2025-09-10,23.03,23.03,22.85,22.96,32975900,0.0,0.0
2025-09-11,22.99,23.23,22.93,23.23,36784100,0.0,0.0
2025-09-12,23.18,23.21,22.28,22.31,81378200,0.0,0.0
2025-09-15,22.42,22.54,22.13,22.4,50760200,0.0,0.0
2025-09-16,22.39,22.63,22.31,22.33,57010800,0.0,0.0
2025-09-17,22.41,22.79,22.33,22.47,46351600,0.0,0.0
2025-09-18,22.47,22.65,22.39,22.57,34419000,0.0,0.0
2025-09-19,22.66,22.66,22.26,22.46,86577600,0.0,0.0
2025-09-22,22.69,23.17,22.46,22.46,67863300,0.0,0.0
2025-09-23,22.52,22.76,22.47,22.55,38955200,0.0,0.0
2025-09-24,22.59,22.6,22.41,22.51,39669400,0.0,0.0
2025-09-25,22.51,22.57,22.03,22.05,56738300,0.0,0.0
2025-09-26,22.17,22.25,22.06,22.2,33374500,0.0,0.0
2025-09-29,22.23,22.3,22.09,22.29,39184300,0.0,0.0
2025-09-30,22.29,23.95,22.25,23.81,164867300,0.0,0.0
2025-10-01,24.27,25.65,23.9,25.43,150879900,0.0,0.0
2025-10-02,25.17,25.39,24.88,25.31,69684100,0.0,0.0
2025-10-03,25.42,25.88,25.27,25.58,70524000,0.0,0.0
2025-10-06,25.48,25.57,24.66,24.7,62945600,0.0,0.0
2025-10-07,24.69,24.84,24.34,24.55,47744200,0.0,0.0
2025-10-08,24.69,24.76,23.95,24.0,48693300,0.0,0.0
2025-10-09,24.09,24.2,23.56,23.59,47278700,0.0,0.0
2025-10-10,23.6,23.75,23.01,23.16,64963900,0.0,0.0
2025-10-13,23.21,23.31,23.0,23.11,45356600,0.0,0.0
2025-10-14,23.03,23.17,22.88,22.91,42277000,0.0,0.0
2025-10-15,22.89,22.97,22.62,22.79,47729800,0.0,0.0
2025-10-16,22.84,23.0,22.62,22.64,44390000,0.0,0.0
2025-10-17,22.61,22.92,22.58,22.9,40101900,0.0,0.0
2025-10-20,22.96,23.11,22.9,23.07,35856800,0.0,0.0
2025-10-21,23.1,23.32,22.99,23.22,40726900,0.0,0.0
2025-10-22,23.17,23.3,23.01,23.1,48662900,0.0,0.0
2025-10-23,23.14,23.16,22.9,23.05,34219900,0.0,0.0
2025-10-24,23.08,23.2,23.06,23.14,27429200,0.0,0.0
2025-10-27,23.12,23.17,23.02,23.15,34974900,0.0,0.0
2025-10-28,23.16,23.16,22.78,22.89,50152400,0.0,0.0
2025-10-29,22.92,23.02,22.64,22.7,65438400,0.0,0.0
2025-10-30,22.72,23.08,22.57,22.7,157478000,0.0,0.0
2025-10-31,22.69,23.11,22.58,23.03,132697400,0.0,0.0
2025-11-03,22.98,23.13,22.81,23.04,140871300,0.0,0.0
2025-11-04,22.79,23.55,22.61,22.71,166162000,0.0,0.0
2025-11-05,22.78,23.05,22.58,23.0,107240900,0.0,0.0
2025-11-06,23.13,23.48,22.93,23.22,124137200,0.0,0.0
2025-11-07,23.14,23.42,22.93,23.23,117794500,0.43,0.0
2025-11-10,23.45,23.67,22.74,23.19,148958600,0.0,0.0
2025-11-11,23.29,24.26,23.24,24.26,139673800,0.0,0.0
2025-11-12,24.15,24.68,24.01,24.6,96008000,0.0,0.0
2025-11-13,24.67,25.18,24.41,24.52,123083100,0.0,0.0
2025-11-14,24.41,24.51,23.74,23.83,96507600,0.0,0.0
2025-11-17,23.88,24.31,23.73,23.85,88042200,0.0,0.0
2025-11-18,23.82,24.26,23.75,24.2,66511800,0.0,0.0
2025-11-19,24.11,24.25,23.51,23.66,62000200,0.0,0.0
2025-11-20,23.67,23.77,23.09,23.2,51983200,0.0,0.0
2025-11-21,23.38,24.27,23.38,23.81,73079400,0.0,0.0
2025-11-24,23.88,24.22,23.82,23.98,63074900,0.0,0.0
2025-11-25,24.12,24.7,24.12,24.46,39130300,0.0,0.0
2025-11-26,24.44,24.54,24.32,24.45,33461000,0.0,0.0
2025-11-28,24.58,24.59,24.4,24.48,22627600,0.0,0.0
2025-12-01,24.5,24.67,23.99,24.03,53198600,0.0,0.0
2025-12-02,24.08,24.08,23.81,23.92,43827000,0.0,0.0
2025-12-03,24.08,24.62,24.06,24.31,56121200,0.0,0.0
2025-12-04,24.37,24.48,24.11,24.44,35454000,0.0,0.0
2025-12-05,24.51,24.84,24.38,24.75,47443700,0.0,0.0
2025-12-08,24.76,24.9,24.5,24.51,45209300,0.0,0.0
2025-12-09,24.72,24.85,23.9,24.09,43483800,0.0,0.0
2025-12-10,24.24,24.52,23.98,24.51,43635400,0.0,0.0
2025-12-11,24.53,24.76,24.35,24.53,35570200,0.0,0.0
2025-12-12,24.57,24.76,24.46,24.58,51599700,0.0,0.0
2025-12-15,24.55,25.34,24.54,25.13,60360000,0.0,0.0
2025-12-16,25.14,25.21,23.7,24.28,111695500,0.0,0.0
2025-12-17,24.15,24.24,23.8,23.81,61255300,0.0,0.0
2025-12-18,23.78,23.99,23.75,23.81,47062500,0.0,0.0
2025-12-19,23.78,24.27,23.75,23.95,87590000,0.0,0.0
2025-12-22,23.96,24.15,23.9,23.97,38758900,0.0,0.0
