# Stock data for INTC from 2025-11-01 to 2026-05-15
# Total records: 134
# Data retrieved on: 2026-09-19 01:38:53

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-03,40.25,40.45,39.05,39.5,61267500,0.0,0.0
2025-11-04,38.14,38.25,36.63,37.03,102250300,0.0,0.0
2025-11-05,37.42,38.69,37.11,38.38,74631600,0.0,0.0
2025-11-06,38.34,39.84,36.8,37.24,77629900,0.0,0.0
2025-11-07,37.26,38.27,36.97,38.13,95521400,0.0,0.0
2025-11-10,38.93,39.53,37.97,38.45,77820300,0.0,0.0
2025-11-11,38.15,38.22,37.49,37.88,53741900,0.0,0.0
2025-11-12,38.06,38.2,37.35,37.89,53876000,0.0,0.0
2025-11-13,37.27,37.31,35.45,35.91,95593200,0.0,0.0
2025-11-14,35.03,36.1,34.62,35.52,71716200,0.0,0.0
2025-11-17,35.45,35.73,34.23,34.71,72580100,0.0,0.0
2025-11-18,34.25,34.76,33.57,34.33,61504800,0.0,0.0
2025-11-19,34.33,35.75,34.25,35.11,67115500,0.0,0.0
2025-11-20,36.0,36.68,33.48,33.62,96389100,0.0,0.0
2025-11-21,33.51,34.98,32.89,34.5,105641700,0.0,0.0
2025-11-24,34.97,36.16,34.69,35.79,103804200,0.0,0.0
2025-11-25,35.55,36.13,34.68,35.83,62203300,0.0,0.0
2025-11-26,36.2,37.24,36.13,36.81,54563400,0.0,0.0
2025-11-28,37.4,40.59,37.34,40.56,95799500,0.0,0.0
2025-12-01,39.86,40.38,39.6,40.01,74534900,0.0,0.0
2025-12-02,40.47,43.68,40.05,43.47,167205800,0.0,0.0
2025-12-03,43.39,44.02,42.51,43.76,91957200,0.0,0.0
2025-12-04,43.26,43.28,40.14,40.5,107850200,0.0,0.0
2025-12-05,41.16,42.83,41.15,41.41,103042000,0.0,0.0
2025-12-08,41.94,42.12,39.7,40.3,93953600,0.0,0.0
2025-12-09,40.73,41.26,40.03,40.5,61877200,0.0,0.0
2025-12-10,40.11,40.99,38.89,40.78,75974900,0.0,0.0
2025-12-11,40.07,40.19,39.08,39.51,59096800,0.0,0.0
2025-12-12,39.25,40.03,37.62,37.81,87784500,0.0,0.0
2025-12-15,38.33,38.48,37.32,37.51,60898500,0.0,0.0
2025-12-16,37.58,37.96,36.92,37.31,50490300,0.0,0.0
2025-12-17,37.59,37.84,35.97,36.05,54792000,0.0,0.0
2025-12-18,37.38,37.49,35.67,36.28,69468400,0.0,0.0
2025-12-19,36.48,37.58,36.44,36.82,163221300,0.0,0.0
2025-12-22,37.89,37.9,36.29,36.37,51685400,0.0,0.0
2025-12-23,36.24,36.8,36.03,36.35,35958000,0.0,0.0
2025-12-24,35.17,36.18,34.95,36.16,37443800,0.0,0.0
2025-12-26,36.17,36.49,35.85,36.2,28779400,0.0,0.0
2025-12-29,36.01,36.8,35.82,36.68,38062300,0.0,0.0
2025-12-30,36.91,38.26,36.82,37.3,61935300,0.0,0.0
2025-12-31,37.4,37.58,36.87,36.9,51524700,0.0,0.0
