# Stock data for PFE from 2025-11-15 to 2026-05-15
# Total records: 124
# Data retrieved on: 2026-09-19 01:39:47

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-17,23.88,24.31,23.73,23.85,88042200,0.0,0.0
2025-11-18,23.82,24.26,23.75,24.2,66511800,0.0,0.0
2025-11-19,24.11,24.25,23.51,23.66,62000200,0.0,0.0
2025-11-20,23.67,23.77,23.09,23.2,51983200,0.0,0.0
2025-11-21,23.38,24.27,23.38,23.81,73079400,0.0,0.0
2025-11-24,23.88,24.22,23.82,23.98,63074900,0.0,0.0
2025-11-25,24.12,24.7,24.12,24.46,39130300,0.0,0.0
2025-11-26,24.44,24.54,24.32,24.45,33461000,0.0,0.0
2025-11-28,24.58,24.59,24.4,24.48,22627600,0.0,0.0
2025-12-01,24.5,24.67,23.99,24.03,53198600,0.0,0.0
2025-12-02,24.08,24.08,23.81,23.92,43827000,0.0,0.0
2025-12-03,24.08,24.62,24.06,24.31,56121200,0.0,0.0
2025-12-04,24.37,24.48,24.11,24.44,35454000,0.0,0.0
2025-12-05,24.51,24.84,24.38,24.75,47443700,0.0,0.0
2025-12-08,24.76,24.9,24.5,24.51,45209300,0.0,0.0
2025-12-09,24.72,24.85,23.9,24.09,43483800,0.0,0.0
2025-12-10,24.24,24.52,23.98,24.51,43635400,0.0,0.0
2025-12-11,24.53,24.76,24.35,24.53,35570200,0.0,0.0
2025-12-12,24.57,24.76,24.46,24.58,51599700,0.0,0.0
2025-12-15,24.55,25.34,24.54,25.13,60360000,0.0,0.0
2025-12-16,25.14,25.21,23.7,24.28,111695500,0.0,0.0
2025-12-17,24.15,24.24,23.8,23.81,61255300,0.0,0.0
2025-12-18,23.78,23.99,23.75,23.81,47062500,0.0,0.0
2025-12-19,23.78,24.27,23.75,23.95,87590000,0.0,0.0
2025-12-22,23.96,24.15,23.9,23.97,38758900,0.0,0.0
2025-12-23,24.02,24.1,23.61,23.66,43692900,0.0,0.0
2025-12-24,23.7,23.91,23.69,23.8,19328500,0.0,0.0
2025-12-26,23.79,23.88,23.7,23.86,21617800,0.0,0.0
2025-12-29,23.82,23.96,23.74,23.77,33067700,0.0,0.0
2025-12-30,23.78,23.82,23.7,23.76,28821700,0.0,0.0
2025-12-31,23.74,23.79,23.66,23.68,29409200,0.0,0.0
2026-01-02,23.75,24.06,23.61,23.94,35976700,0.0,0.0
