# Stock data for NVDA from 2026-03-01 to 2026-09-21
# Total records: 141
# Data retrieved on: 2026-09-21 17:23:58

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-02,174.6,183.03,174.23,182.05,209095300,0.0,0.0
2026-03-03,178.07,180.48,176.51,179.63,178099400,0.0,0.0
2026-03-04,180.02,184.27,179.64,182.61,177731200,0.0,0.0
2026-03-05,180.75,183.63,177.46,182.91,198779700,0.0,0.0
2026-03-06,179.42,182.33,176.41,177.4,189021900,0.0,0.0
2026-03-09,176.42,182.48,175.15,182.22,177213600,0.0,0.0
2026-03-10,181.97,186.0,181.59,184.34,179118500,0.0,0.0
2026-03-11,185.49,187.19,184.03,185.61,145280400,0.01,0.0
2026-03-12,183.63,184.52,181.34,182.72,155762700,0.0,0.0
2026-03-13,184.5,185.67,179.53,179.84,160988400,0.0,0.0
2026-03-16,182.55,188.45,181.0,182.8,217307400,0.0,0.0
2026-03-17,184.64,184.98,181.27,181.52,182497800,0.0,0.0
2026-03-18,182.06,182.96,179.92,179.99,156683100,0.0,0.0
2026-03-19,177.6,179.57,175.39,178.15,170968500,0.0,0.0
2026-03-20,177.59,177.85,171.33,172.31,241323500,0.0,0.0
2026-03-23,176.86,177.96,174.36,175.24,182836300,0.0,0.0
2026-03-24,174.43,175.82,173.58,174.8,147667800,0.0,0.0
2026-03-25,176.7,180.81,176.45,178.27,162602100,0.0,0.0
2026-03-26,175.67,176.11,170.75,170.85,186152200,0.0,0.0
2026-03-27,169.61,170.58,166.63,167.14,196212700,0.0,0.0
2026-03-30,168.4,169.06,163.9,164.79,185627000,0.0,0.0
2026-03-31,166.59,174.22,166.58,174.0,226181300,0.0,0.0
2026-04-01,175.6,176.97,174.35,175.35,168132000,0.0,0.0
2026-04-02,171.79,177.09,170.98,176.99,143143200,0.0,0.0
2026-04-06,176.76,177.38,175.36,177.23,107564300,0.0,0.0
2026-04-07,175.33,177.82,173.26,177.69,132534900,0.0,0.0
2026-04-08,184.08,184.84,179.89,181.66,147732700,0.0,0.0
2026-04-09,181.43,183.66,180.21,183.49,116428500,0.0,0.0
2026-04-10,183.89,189.57,183.88,188.2,160459500,0.0,0.0
2026-04-13,185.61,189.23,185.32,188.88,133648200,0.0,0.0
2026-04-14,190.4,196.06,190.33,196.06,161307000,0.0,0.0
