# Stock data for MSFT from 2025-01-01 to 2026-09-22
# Total records: 430
# Data retrieved on: 2026-09-22 00:42:58

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,419.75,420.28,409.22,412.9,16896500,0.0,0.0
2025-01-03,415.36,418.27,413.84,417.6,16662900,0.0,0.0
2025-01-06,422.19,428.42,419.7,422.04,20573600,0.0,0.0
2025-01-07,423.17,424.8,415.09,416.63,18139100,0.0,0.0
2025-01-08,417.71,421.17,415.82,418.79,15054600,0.0,0.0
2025-01-10,418.86,418.94,409.38,413.26,20201100,0.0,0.0
2025-01-13,409.6,412.82,406.69,411.52,17604800,0.0,0.0
2025-01-14,412.14,414.04,405.14,410.02,16935900,0.0,0.0
2025-01-15,413.44,422.34,412.59,420.52,19637800,0.0,0.0
2025-01-16,422.88,423.66,418.63,418.81,15300000,0.0,0.0
2025-01-17,428.19,428.58,422.36,423.2,26197500,0.0,0.0
2025-01-21,424.36,425.05,419.82,422.68,26085700,0.0,0.0
2025-01-22,431.62,441.2,430.08,440.14,27803800,0.0,0.0
2025-01-23,436.0,440.68,435.5,440.64,18389300,0.0,0.0
2025-01-24,439.11,440.58,435.41,438.03,15549500,0.0,0.0
2025-01-27,418.25,429.29,417.75,428.66,35647800,0.0,0.0
2025-01-28,428.7,442.29,425.52,441.13,23491700,0.0,0.0
2025-01-29,440.62,440.81,434.42,436.32,23581400,0.0,0.0
2025-01-30,413.08,417.12,407.55,409.35,54586300,0.0,0.0
2025-01-31,413.29,414.98,409.28,409.42,34161900,0.0,0.0
2025-02-03,406.01,409.77,403.11,405.34,25679100,0.0,0.0
2025-02-04,407.09,408.3,404.18,406.77,20532100,0.0,0.0
2025-02-05,406.75,408.21,404.83,407.68,16316700,0.0,0.0
2025-02-06,408.38,412.52,408.38,410.17,16309800,0.0,0.0
2025-02-07,410.82,412.96,402.56,404.19,22886800,0.0,0.0
2025-02-10,408.09,409.82,405.34,406.62,20817900,0.0,0.0
2025-02-11,404.08,406.89,403.74,405.85,18140600,0.0,0.0
2025-02-12,401.68,405.17,398.88,403.48,19121700,0.0,0.0
2025-02-13,401.47,405.42,400.84,404.96,23891700,0.0,0.0
2025-02-14,402.25,403.36,400.37,402.88,22758500,0.0,0.0
2025-02-18,402.46,405.02,400.98,404.08,21423100,0.0,0.0
2025-02-19,402.34,409.85,402.11,409.14,24114200,0.0,0.0
2025-02-20,410.47,414.44,407.75,411.3,23508700,0.83,0.0
2025-02-21,412.5,413.2,403.16,403.47,27524800,0.0,0.0
2025-02-24,403.77,404.62,394.69,399.31,26443700,0.0,0.0
2025-02-25,396.45,397.26,392.1,393.28,29387400,0.0,0.0
2025-02-26,393.39,398.92,389.68,395.09,19619000,0.0,0.0
2025-02-27,396.61,401.03,387.62,387.98,21127400,0.0,0.0
2025-02-28,388.1,393.02,382.08,392.38,32845700,0.0,0.0
2025-03-03,394.19,394.19,381.68,383.98,23007700,0.0,0.0
2025-03-04,378.95,388.02,376.58,384.1,29342900,0.0,0.0
2025-03-05,384.82,397.01,384.3,396.37,23433100,0.0,0.0
2025-03-06,389.71,397.48,388.12,392.28,23304600,0.0,0.0
2025-03-07,387.77,390.22,381.07,388.75,22034100,0.0,0.0
2025-03-10,381.36,381.92,372.84,375.75,32840100,0.0,0.0
2025-03-11,374.6,381.52,372.54,376.04,30380200,0.0,0.0
2025-03-12,378.51,380.75,374.55,378.82,24253600,0.0,0.0
2025-03-13,378.71,380.85,373.07,374.38,20473000,0.0,0.0
2025-03-14,375.37,385.7,375.11,384.05,19952800,0.0,0.0
2025-03-17,382.21,388.15,381.1,384.19,22474300,0.0,0.0
2025-03-18,382.58,382.88,376.68,379.07,19486900,0.0,0.0
2025-03-19,381.06,385.16,379.54,383.32,19185500,0.0,0.0
2025-03-20,381.26,387.24,378.83,382.35,18470500,0.0,0.0
2025-03-21,378.77,387.19,378.36,386.72,39675900,0.0,0.0
2025-03-24,390.81,390.81,385.29,388.52,21004500,0.0,0.0
2025-03-25,389.35,391.76,388.08,390.58,15775000,0.0,0.0
2025-03-26,390.42,390.72,384.06,385.45,16108400,0.0,0.0
2025-03-27,385.6,387.69,382.91,386.05,13766800,0.0,0.0
2025-03-28,383.58,384.61,372.56,374.4,21632000,0.0,0.0
2025-03-31,368.22,372.69,362.98,371.03,35184700,0.0,0.0
2025-04-01,370.3,378.41,368.9,377.76,19689500,0.0,0.0
2025-04-02,373.58,380.61,372.25,377.71,16092600,0.0,0.0
2025-04-03,370.44,373.1,365.06,368.78,30198000,0.0,0.0
2025-04-04,359.91,370.24,355.31,355.66,49209900,0.0,0.0
2025-04-07,346.81,366.7,340.79,353.71,50425000,0.0,0.0
2025-04-08,363.99,369.31,346.19,350.45,35868900,0.0,0.0
2025-04-09,349.44,388.67,349.0,385.96,50199700,0.0,0.0
2025-04-10,377.63,379.45,363.53,376.93,38024400,0.0,0.0
2025-04-11,376.22,385.52,374.49,383.94,23839200,0.0,0.0
2025-04-14,388.66,390.07,379.75,383.31,19251200,0.0,0.0
2025-04-15,384.0,387.34,379.7,381.25,17199900,0.0,0.0
2025-04-16,376.25,377.18,363.73,367.3,21967800,0.0,0.0
2025-04-17,369.41,369.98,362.63,363.51,21120200,0.0,0.0
2025-04-21,358.61,360.25,351.54,354.95,20807300,0.0,0.0
2025-04-22,359.16,363.5,355.68,362.56,19485000,0.0,0.0
2025-04-23,371.7,375.98,368.69,370.05,20545500,0.0,0.0
2025-04-24,371.34,383.94,370.84,382.81,22232300,0.0,0.0
2025-04-25,382.51,387.61,380.14,387.3,18973200,0.0,0.0
2025-04-28,387.41,388.18,382.15,386.62,16579400,0.0,0.0
2025-04-29,386.76,390.52,385.85,389.47,14974000,0.0,0.0
2025-04-30,385.77,392.06,379.98,390.67,36461100,0.0,0.0
2025-05-01,426.11,431.92,419.97,420.46,58938100,0.0,0.0
2025-05-02,426.73,434.34,425.0,430.23,30757400,0.0,0.0
2025-05-05,427.85,434.4,427.1,431.11,20136100,0.0,0.0
2025-05-06,427.19,432.65,426.17,428.28,15104200,0.0,0.0
2025-05-07,428.81,433.04,426.11,428.32,23295300,0.0,0.0
2025-05-08,432.85,438.52,430.61,433.09,23491300,0.0,0.0
2025-05-09,434.89,435.63,430.82,433.64,15324200,0.0,0.0
2025-05-12,440.77,444.16,434.68,444.05,22821900,0.0,0.0
2025-05-13,442.58,445.44,440.19,443.93,23618800,0.0,0.0
2025-05-14,442.94,448.63,442.94,447.68,19902800,0.0,0.0
2025-05-15,446.36,451.72,446.02,448.69,21992300,0.83,0.0
