# Insider Transactions data for MSFT
# Rows are dated by transaction date. A trade becomes public when its Form 4 is filed, up to two business days later, so the newest rows may not have been known on this date.

,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
0,41674,20764845,,Sale at price 495.97 - 500.78 per share.,HOOD AMY E,Chief Financial Officer,,2026-09-14,D
1,14000,0,,Stock Gift at price 0.00 per share.,SMITH BRADFORD LEE,Officer,,2026-09-09,D
2,125,0,,Stock Award(Grant) at price 0.00 per share.,LIST-STOLL TERI L.,Director,,2026-09-04,D
3,125,0,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2026-09-04,D
4,125,0,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2026-09-04,D
5,86525,43388532,,Sale at price 498.24 - 505.20 per share.,NADELLA SATYA,Chief Executive Officer,,2026-09-01,D
6,12684,0,,Stock Award(Grant) at price 0.00 per share.,NUMOTO TAKESHI,Officer,,2026-08-31,D
7,31260,0,,Stock Award(Grant) at price 0.00 per share.,HOOD AMY E,Chief Financial Officer,,2026-08-31,D
8,5575,0,,Stock Award(Grant) at price 0.00 per share.,JOLLA ALICE L,Officer,,2026-08-31,D
9,29724,0,,Stock Award(Grant) at price 0.00 per share.,ALTHOFF JUDSON,Officer,,2026-08-31,D
10,178622,0,,Stock Award(Grant) at price 0.00 per share.,NADELLA SATYA,Chief Executive Officer,,2026-08-31,D
11,27688,0,,Stock Award(Grant) at price 0.00 per share.,SMITH BRADFORD LEE,President,,2026-08-31,D
12,10000,4878930,,Sale at price 487.89 per share.,ALTHOFF JUDSON,Officer,,2026-08-05,D
13,4810,2388244,,Sale at price 496.48 per share.,NUMOTO TAKESHI,Officer,,2026-08-04,D
14,5004,0,,Stock Award(Grant) at price 0.00 per share.,JOLLA ALICE L,Officer,,2026-06-15,D
15,4500,1812780,,Sale at price 402.84 per share.,NUMOTO TAKESHI,Officer,,2026-06-10,D
16,2500,1031125,,Sale at price 412.45 per share.,NUMOTO TAKESHI,Officer,,2026-06-08,D
17,149,0,,Stock Award(Grant) at price 0.00 per share.,LIST-STOLL TERI L.,Director,,2026-06-05,D
18,15,0,,Stock Award(Grant) at price 0.00 per share.,DI SIBIO CARMINE,Director,,2026-06-05,D
19,149,0,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2026-06-05,D
20,149,0,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2026-06-05,D
21,15500,7145314,,Sale at price 460.99 per share.,ALTHOFF JUDSON,Officer,,2026-06-01,D
22,1262,519242,,Sale at price 411.34 per share.,COLEMAN AMY,Officer,,2026-05-14,D
23,12320,5045643,,Sale at price 409.52 per share.,HOGAN KATHLEEN T,Officer,,2026-03-06,D
24,5000,1986750,,Purchase at price 397.35 per share.,STANTON JOHN W.,Director,,2026-02-18,D
25,145,0,,Stock Award(Grant) at price 0.00 per share.,LIST-STOLL TERI L.,Director,,2026-01-30,D
26,145,0,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2026-01-30,D
27,145,0,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2026-01-30,D
28,145,0,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2026-01-30,D
29,150,0,,Stock Gift at price 0.00 per share.,HOGAN KATHLEEN T,Officer,,2025-12-10,D
30,2850,1364352,,Sale at price 478.72 per share.,NUMOTO TAKESHI,Officer,,2025-12-04,D
31,130,0,,Stock Award(Grant) at price 0.00 per share.,LIST-STOLL TERI L.,Director,,2025-12-04,D
32,130,0,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2025-12-04,D
33,130,0,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2025-12-04,D
34,130,0,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2025-12-04,D
35,12750,6266829,,Sale at price 491.52 per share.,ALTHOFF JUDSON,Officer,,2025-12-02,D
36,3463,0,,Stock Gift at price 0.00 per share.,ALTHOFF JUDSON,Officer,,2025-11-20,D
37,3977,0,,Stock Gift at price 0.00 per share.,NADELLA SATYA,Chief Executive Officer,,2025-11-10,D
38,10000,0,,Stock Gift at price 0.00 per share.,SMITH BRADFORD LEE,President,,2025-11-06,D
39,38500,19967707,,Sale at price 518.49 - 519.21 per share.,SMITH BRADFORD LEE,President,,2025-11-03,D
40,11583,0,,Stock Award(Grant) at price 0.00 per share.,NUMOTO TAKESHI,Officer,,2025-09-15,D
41,4022,0,,Stock Award(Grant) at price 0.00 per share.,COLEMAN AMY,Officer,,2025-09-15,D
